aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-316,0,6,283,309,-295,-219,65,2,2015-01-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-337,0,1,283,801,-335,-248,42,2,2015-02-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-288,0,22,283,1448,-269,-159,97,3,2015-03-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-241,0,27,283,2082,-119,-28,340,3,2015-04-01,5020df60,57.4390307434468,-76.6008436780955
111,0,-205,257,33,283,2184,-22,41,466,21,2015-05-01,5020df60,57.4390307434468,-76.6008436780955
928,0,-181,928,41,283,2307,34,123,697,41,2015-06-01,5020df60,57.4390307434468,-76.6008436780955
707,354,-188,1061,56,104,1888,93,192,1132,57,2015-07-01,5020df60,57.4390307434468,-76.6008436780955
486,329,-263,815,48,72,1650,84,177,1160,41,2015-08-01,5020df60,57.4390307434468,-76.6008436780955
316,0,-168,316,118,283,954,31,100,870,13,2015-09-01,5020df60,57.4390307434468,-76.6008436780955
5,0,-162,29,44,283,550,-23,24,549,8,2015-10-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-87,0,65,283,237,-94,-34,405,0,2015-11-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-56,0,35,283,146,-169,-75,284,0,2015-12-01,5020df60,57.4390307434468,-76.6008436780955
0,0,90,0,16,283,235,-222,-142,134,4,2016-01-01,5020df60,57.4390307434468,-76.6008436780955
0,0,60,0,8,283,692,-281,-183,85,3,2016-02-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-20,0,13,283,1398,-241,-137,117,4,2016-03-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-110,0,7,283,2288,-171,-72,210,4,2016-04-01,5020df60,57.4390307434468,-76.6008436780955
448,0,-140,448,28,283,2437,-14,55,526,20,2016-05-01,5020df60,57.4390307434468,-76.6008436780955
921,10,-130,931,55,265,2283,41,139,774,54,2016-06-01,5020df60,57.4390307434468,-76.6008436780955
656,432,-160,1088,52,104,1974,104,196,1116,71,2016-07-01,5020df60,57.4390307434468,-76.6008436780955
737,102,-170,839,74,72,1533,91,177,1147,47,2016-08-01,5020df60,57.4390307434468,-76.6008436780955
304,115,-260,419,30,56,1037,37,107,862,21,2016-09-01,5020df60,57.4390307434468,-76.6008436780955
33,0,-370,33,36,173,529,-18,25,592,9,2016-10-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-450,0,29,173,218,-77,-20,433,3,2016-11-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-450,0,17,173,186,-192,-114,192,5,2016-12-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-360,0,29,173,253,-213,-135,154,2,2017-01-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-140,0,61,173,710,-270,-177,105,3,2017-02-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-110,0,23,173,1491,-224,-117,135,5,2017-03-01,5020df60,57.4390307434468,-76.6008436780955
0,0,270,0,44,173,1961,-133,-36,288,6,2017-04-01,5020df60,57.4390307434468,-76.6008436780955
543,0,130,543,9,283,2614,-12,61,536,24,2017-05-01,5020df60,57.4390307434468,-76.6008436780955
630,333,-270,963,16,104,2306,52,138,766,55,2017-06-01,5020df60,57.4390307434468,-76.6008436780955
984,248,-190,1232,100,72,2223,93,177,947,69,2017-07-01,5020df60,57.4390307434468,-76.6008436780955
599,223,-230,822,61,56,1533,82,161,1014,46,2017-08-01,5020df60,57.4390307434468,-76.6008436780955
342,80,-300,422,35,46,988,52,103,874,19,2017-09-01,5020df60,57.4390307434468,-76.6008436780955
218,0,-370,218,76,283,448,2,53,642,10,2017-10-01,5020df60,57.4390307434468,-76.6008436780955
0,0,-350,0,44,283,235,-89,-33,330,5,2017-11-01,5020df60,57.4390307434468,-76.6008436780955
