aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,205,0,109,249,397,-300,-191,59,3,2015-01-01,529993ec,54.1886205244746,-62.1920932557508
0,0,226,0,77,249,858,-313,-194,43,5,2015-02-01,529993ec,54.1886205244746,-62.1920932557508
0,0,93,0,22,249,1486,-235,-105,101,8,2015-03-01,529993ec,54.1886205244746,-62.1920932557508
0,0,80,0,49,249,1773,-122,-15,289,11,2015-04-01,529993ec,54.1886205244746,-62.1920932557508
163,0,85,313,65,249,1930,-34,58,473,23,2015-05-01,529993ec,54.1886205244746,-62.1920932557508
973,0,-154,973,57,249,2294,31,147,752,47,2015-06-01,529993ec,54.1886205244746,-62.1920932557508
794,0,-191,794,88,249,1818,62,154,1010,34,2015-07-01,529993ec,54.1886205244746,-62.1920932557508
677,0,-234,677,73,249,1511,63,163,1082,32,2015-08-01,529993ec,54.1886205244746,-62.1920932557508
467,0,-256,467,81,249,1190,21,116,777,27,2015-09-01,529993ec,54.1886205244746,-62.1920932557508
4,0,-312,31,43,249,697,-40,33,458,16,2015-10-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-348,0,62,249,325,-112,-32,275,10,2015-11-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-411,0,38,249,285,-185,-90,168,6,2015-12-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-360,0,67,249,358,-228,-128,122,5,2016-01-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-250,0,91,249,791,-255,-123,118,5,2016-02-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-260,0,47,249,1520,-223,-92,107,9,2016-03-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-220,0,58,249,1793,-134,-19,269,11,2016-04-01,529993ec,54.1886205244746,-62.1920932557508
532,0,-270,532,49,249,2153,-29,78,521,27,2016-05-01,529993ec,54.1886205244746,-62.1920932557508
794,0,-180,794,121,249,1947,25,132,743,37,2016-06-01,529993ec,54.1886205244746,-62.1920932557508
834,0,-190,834,93,249,1915,62,165,1023,37,2016-07-01,529993ec,54.1886205244746,-62.1920932557508
738,0,-110,738,122,249,1416,62,167,1007,32,2016-08-01,529993ec,54.1886205244746,-62.1920932557508
503,0,-170,503,59,249,1142,16,109,700,24,2016-09-01,529993ec,54.1886205244746,-62.1920932557508
38,0,-90,38,98,249,592,-39,34,467,15,2016-10-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-140,0,67,249,343,-100,-19,335,7,2016-11-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-180,0,54,249,309,-228,-128,90,6,2016-12-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-170,0,63,249,379,-232,-128,130,4,2017-01-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-180,0,48,249,811,-251,-136,108,5,2017-02-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-200,0,51,249,1507,-214,-82,127,9,2017-03-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-240,0,29,249,2011,-123,-5,268,14,2017-04-01,529993ec,54.1886205244746,-62.1920932557508
314,0,-210,314,61,249,1990,-41,66,468,21,2017-05-01,529993ec,54.1886205244746,-62.1920932557508
738,0,-200,738,81,249,1839,23,128,745,35,2017-06-01,529993ec,54.1886205244746,-62.1920932557508
905,0,-180,905,115,249,1906,58,173,993,41,2017-07-01,529993ec,54.1886205244746,-62.1920932557508
717,0,-90,717,120,249,1404,58,163,1009,32,2017-08-01,529993ec,54.1886205244746,-62.1920932557508
521,0,-100,521,81,249,1217,24,119,763,28,2017-09-01,529993ec,54.1886205244746,-62.1920932557508
327,0,-160,327,78,249,641,-14,69,547,22,2017-10-01,529993ec,54.1886205244746,-62.1920932557508
0,0,-90,0,108,249,310,-105,-28,273,10,2017-11-01,529993ec,54.1886205244746,-62.1920932557508
