aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,109,0,19,327,311,-301,-199,103,0,2015-01-01,539071fc,57.4579453287069,-95.0930920856227
0,0,89,0,12,327,765,-347,-254,33,2,2015-02-01,539071fc,57.4579453287069,-95.0930920856227
0,0,75,0,16,327,1514,-235,-113,162,1,2015-03-01,539071fc,57.4579453287069,-95.0930920856227
0,0,66,0,23,327,2093,-133,-22,310,6,2015-04-01,539071fc,57.4579453287069,-95.0930920856227
165,0,73,360,39,327,2670,-50,70,405,31,2015-05-01,539071fc,57.4579453287069,-95.0930920856227
1025,0,114,1025,58,327,2395,51,162,869,50,2015-06-01,539071fc,57.4579453287069,-95.0930920856227
930,91,141,1020,82,172,2182,84,197,1228,48,2015-07-01,539071fc,57.4579453287069,-95.0930920856227
618,7,154,625,65,167,1460,79,167,1221,27,2015-08-01,539071fc,57.4579453287069,-95.0930920856227
334,0,172,334,61,327,983,44,115,949,15,2015-09-01,539071fc,57.4579453287069,-95.0930920856227
1,0,180,9,35,327,529,-39,26,559,4,2015-10-01,539071fc,57.4579453287069,-95.0930920856227
0,0,172,0,31,327,280,-131,-68,316,0,2015-11-01,539071fc,57.4579453287069,-95.0930920856227
0,0,158,0,22,327,166,-193,-137,232,0,2015-12-01,539071fc,57.4579453287069,-95.0930920856227
0,0,150,0,18,327,253,-254,-178,119,0,2016-01-01,539071fc,57.4579453287069,-95.0930920856227
0,0,130,0,13,327,789,-294,-186,98,2,2016-02-01,539071fc,57.4579453287069,-95.0930920856227
0,0,120,0,17,327,1491,-213,-99,186,4,2016-03-01,539071fc,57.4579453287069,-95.0930920856227
0,0,90,0,18,327,2430,-160,-26,286,9,2016-04-01,539071fc,57.4579453287069,-95.0930920856227
622,0,-40,622,37,327,2375,-17,93,611,29,2016-05-01,539071fc,57.4579453287069,-95.0930920856227
694,299,-90,993,47,120,2586,48,167,941,65,2016-06-01,539071fc,57.4579453287069,-95.0930920856227
726,189,-60,915,73,83,2157,87,198,1354,48,2016-07-01,539071fc,57.4579453287069,-95.0930920856227
656,53,20,709,67,68,1804,72,176,1257,41,2016-08-01,539071fc,57.4579453287069,-95.0930920856227
371,0,80,371,67,327,942,37,122,946,24,2016-09-01,539071fc,57.4579453287069,-95.0930920856227
0,0,150,0,52,327,414,-46,-5,586,5,2016-10-01,539071fc,57.4579453287069,-95.0930920856227
0,0,140,0,31,327,279,-98,-38,345,0,2016-11-01,539071fc,57.4579453287069,-95.0930920856227
0,0,120,0,19,327,200,-266,-197,123,0,2016-12-01,539071fc,57.4579453287069,-95.0930920856227
0,0,110,0,19,327,246,-254,-174,120,0,2017-01-01,539071fc,57.4579453287069,-95.0930920856227
0,0,160,0,25,327,699,-261,-181,110,0,2017-02-01,539071fc,57.4579453287069,-95.0930920856227
0,0,320,0,54,327,1472,-248,-131,161,3,2017-03-01,539071fc,57.4579453287069,-95.0930920856227
0,0,290,0,24,327,2301,-144,-27,311,9,2017-04-01,539071fc,57.4579453287069,-95.0930920856227
394,0,250,394,38,327,2301,-26,64,571,26,2017-05-01,539071fc,57.4579453287069,-95.0930920856227
917,0,260,917,50,327,2469,46,158,917,59,2017-06-01,539071fc,57.4579453287069,-95.0930920856227
948,181,240,1129,78,120,2457,75,214,1245,68,2017-07-01,539071fc,57.4579453287069,-95.0930920856227
713,138,210,851,71,83,2044,66,187,1183,55,2017-08-01,539071fc,57.4579453287069,-95.0930920856227
454,0,170,454,52,119,1078,37,126,894,27,2017-09-01,539071fc,57.4579453287069,-95.0930920856227
5,0,170,5,51,166,447,-40,16,590,2,2017-10-01,539071fc,57.4579453287069,-95.0930920856227
0,0,170,0,32,166,336,-204,-129,216,3,2017-11-01,539071fc,57.4579453287069,-95.0930920856227
0,0,150,0,22,166,204,-279,-196,120,0,2017-12-01,539071fc,57.4579453287069,-95.0930920856227
0,0,130,0,17,166,320,-296,-218,87,0,2018-01-01,539071fc,57.4579453287069,-95.0930920856227
0,0,100,0,12,166,782,-338,-231,73,1,2018-02-01,539071fc,57.4579453287069,-95.0930920856227
0,0,80,0,15,166,1497,-238,-118,156,5,2018-03-01,539071fc,57.4579453287069,-95.0930920856227
0,0,70,0,22,166,2195,-184,-54,279,13,2018-04-01,539071fc,57.4579453287069,-95.0930920856227
675,0,-60,675,35,327,2613,-29,95,552,34,2018-05-01,539071fc,57.4579453287069,-95.0930920856227
770,205,-110,975,50,120,2419,60,175,1002,61,2018-06-01,539071fc,57.4579453287069,-95.0930920856227
728,279,-100,1007,73,83,2385,85,198,1310,64,2018-07-01,539071fc,57.4579453287069,-95.0930920856227
633,0,70,633,81,217,1682,64,168,1239,36,2018-08-01,539071fc,57.4579453287069,-95.0930920856227
195,0,150,195,58,327,1085,-5,70,809,18,2018-09-01,539071fc,57.4579453287069,-95.0930920856227
0,0,190,0,32,327,646,-80,-15,500,4,2018-10-01,539071fc,57.4579453287069,-95.0930920856227
0,0,190,0,33,327,279,-207,-132,226,-2,2018-11-01,539071fc,57.4579453287069,-95.0930920856227
0,0,170,0,20,327,191,-233,-157,149,-1,2018-12-01,539071fc,57.4579453287069,-95.0930920856227
0,0,150,0,18,327,335,-324,-228,69,0,2019-01-01,539071fc,57.4579453287069,-95.0930920856227
0,0,100,0,7,327,771,-309,-204,73,1,2019-02-01,539071fc,57.4579453287069,-95.0930920856227
0,0,-40,0,8,327,1403,-203,-77,189,4,2019-03-01,539071fc,57.4579453287069,-95.0930920856227
0,0,-110,0,13,327,2209,-113,5,278,17,2019-04-01,539071fc,57.4579453287069,-95.0930920856227
689,0,-200,689,21,327,2282,-25,81,456,34,2019-05-01,539071fc,57.4579453287069,-95.0930920856227
951,197,-220,1148,66,120,2623,63,183,899,64,2019-06-01,539071fc,57.4579453287069,-95.0930920856227
555,627,-280,1182,55,83,2331,92,210,1184,65,2019-07-01,539071fc,57.4579453287069,-95.0930920856227
597,0,-60,597,125,327,1324,61,168,1202,23,2019-08-01,539071fc,57.4579453287069,-95.0930920856227
492,11,0,503,50,308,1171,47,126,889,27,2019-09-01,539071fc,57.4579453287069,-95.0930920856227
35,0,270,35,52,327,520,-32,34,555,8,2019-10-01,539071fc,57.4579453287069,-95.0930920856227
0,0,260,0,31,327,321,-181,-106,217,0,2019-11-01,539071fc,57.4579453287069,-95.0930920856227
0,0,180,0,11,327,202,-264,-177,116,0,2019-12-01,539071fc,57.4579453287069,-95.0930920856227
