aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,92,0,14,107,43,-302,-233,115,0,2015-01-01,5428684e,67.270926554949,-137.904072948639
0,0,71,0,11,107,201,-292,-207,123,0,2015-02-01,5428684e,67.270926554949,-137.904072948639
0,0,72,0,14,107,804,-264,-157,122,0,2015-03-01,5428684e,67.270926554949,-137.904072948639
0,0,62,0,10,107,1632,-142,-42,256,7,2015-04-01,5428684e,67.270926554949,-137.904072948639
856,0,-130,866,12,337,2207,2,122,570,45,2015-05-01,5428684e,67.270926554949,-137.904072948639
611,609,-160,1220,40,124,2299,76,185,743,85,2015-06-01,5428684e,67.270926554949,-137.904072948639
430,562,-148,992,41,86,1593,98,192,954,77,2015-07-01,5428684e,67.270926554949,-137.904072948639
644,0,80,644,68,87,1054,59,145,808,49,2015-08-01,5428684e,67.270926554949,-137.904072948639
253,0,197,277,53,337,566,-6,63,545,23,2015-09-01,5428684e,67.270926554949,-137.904072948639
0,0,264,0,37,337,263,-76,-14,389,6,2015-10-01,5428684e,67.270926554949,-137.904072948639
0,0,292,0,24,337,73,-232,-153,169,0,2015-11-01,5428684e,67.270926554949,-137.904072948639
0,0,234,0,11,337,8,-287,-204,93,0,2015-12-01,5428684e,67.270926554949,-137.904072948639
0,0,170,0,9,271,36,-259,-170,60,0,2016-01-01,5428684e,67.270926554949,-137.904072948639
0,0,140,0,11,271,201,-256,-157,87,1,2016-02-01,5428684e,67.270926554949,-137.904072948639
0,0,150,0,16,271,714,-229,-134,111,4,2016-03-01,5428684e,67.270926554949,-137.904072948639
0,0,120,0,8,271,1730,-123,-4,258,10,2016-04-01,5428684e,67.270926554949,-137.904072948639
752,0,-100,752,21,337,1867,4,102,466,53,2016-05-01,5428684e,67.270926554949,-137.904072948639
585,591,-150,1176,38,124,2205,78,188,765,86,2016-06-01,5428684e,67.270926554949,-137.904072948639
456,616,-150,1072,44,86,1765,107,204,1025,81,2016-07-01,5428684e,67.270926554949,-137.904072948639
500,278,-150,778,51,67,1153,81,176,920,57,2016-08-01,5428684e,67.270926554949,-137.904072948639
263,122,-190,385,26,55,796,3,86,597,31,2016-09-01,5428684e,67.270926554949,-137.904072948639
