aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,664,0,8,262,20,-271,-211,44,5,2015-01-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,674,0,10,262,163,-283,-206,54,4,2015-02-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,681,0,11,262,737,-266,-190,53,5,2015-03-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,691,0,12,262,1720,-168,-101,153,7,2015-04-01,54ae7cf1,69.3406199888439,-127.278325344243
5,0,524,54,3,336,2324,-45,32,374,23,2015-05-01,54ae7cf1,69.3406199888439,-127.278325344243
982,0,543,982,26,351,2196,50,129,679,50,2015-06-01,54ae7cf1,69.3406199888439,-127.278325344243
606,267,642,873,40,129,1602,78,148,899,48,2015-07-01,54ae7cf1,69.3406199888439,-127.278325344243
446,115,660,561,43,90,1218,52,112,814,30,2015-08-01,54ae7cf1,69.3406199888439,-127.278325344243
49,0,670,92,29,260,582,-9,34,592,9,2015-09-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,757,0,17,260,279,-78,-39,473,0,2015-10-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,774,0,12,260,40,-195,-136,198,0,2015-11-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,773,0,6,260,2,-241,-183,95,2,2015-12-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,720,0,7,201,20,-253,-181,0,5,2016-01-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,650,0,2,201,196,-268,-196,4,4,2016-02-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,650,0,9,201,701,-254,-174,7,5,2016-03-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,560,0,2,201,1801,-172,-85,155,6,2016-04-01,54ae7cf1,69.3406199888439,-127.278325344243
19,0,460,19,5,210,2130,-51,18,379,21,2016-05-01,54ae7cf1,69.3406199888439,-127.278325344243
856,66,450,922,21,156,2364,47,129,699,45,2016-06-01,54ae7cf1,69.3406199888439,-127.278325344243
495,497,570,992,46,100,1984,79,165,941,53,2016-07-01,54ae7cf1,69.3406199888439,-127.278325344243
281,351,450,632,27,75,1321,58,129,867,33,2016-08-01,54ae7cf1,69.3406199888439,-127.278325344243
218,0,370,218,27,100,744,-5,49,588,20,2016-09-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,350,0,6,100,276,-95,-47,314,10,2016-10-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,320,0,11,100,41,-199,-137,104,6,2016-11-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,390,0,10,100,2,-268,-201,53,4,2016-12-01,54ae7cf1,69.3406199888439,-127.278325344243
0,0,500,0,21,100,20,-288,-213,0,4,2017-01-01,54ae7cf1,69.3406199888439,-127.278325344243
