aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-2,0,19,80,58,-259,-202,142,0,2015-01-01,56f4d747,66.095993411268,-136.871245578209
0,0,-2,0,16,80,250,-261,-181,115,0,2015-02-01,56f4d747,66.095993411268,-136.871245578209
0,0,-3,0,15,80,853,-235,-137,135,2,2015-03-01,56f4d747,66.095993411268,-136.871245578209
0,0,-2,0,11,80,1657,-126,-32,272,9,2015-04-01,56f4d747,66.095993411268,-136.871245578209
885,0,-161,896,18,380,2258,-7,123,534,47,2015-05-01,56f4d747,66.095993411268,-136.871245578209
636,616,-227,1252,40,140,2366,70,184,707,86,2015-06-01,56f4d747,66.095993411268,-136.871245578209
563,442,-176,1005,55,97,1629,96,188,889,80,2015-07-01,56f4d747,66.095993411268,-136.871245578209
523,175,-129,697,53,75,1181,63,145,760,55,2015-08-01,56f4d747,66.095993411268,-136.871245578209
298,25,-127,342,31,70,562,-2,67,492,30,2015-09-01,56f4d747,66.095993411268,-136.871245578209
0,0,-145,0,33,70,252,-68,-7,378,10,2015-10-01,56f4d747,66.095993411268,-136.871245578209
0,0,-162,0,25,70,91,-218,-141,147,1,2015-11-01,56f4d747,66.095993411268,-136.871245578209
0,0,-137,0,25,70,16,-252,-176,106,1,2015-12-01,56f4d747,66.095993411268,-136.871245578209
0,0,-130,0,19,62,49,-217,-145,96,1,2016-01-01,56f4d747,66.095993411268,-136.871245578209
0,0,-120,0,16,62,244,-220,-131,107,4,2016-02-01,56f4d747,66.095993411268,-136.871245578209
0,0,-100,0,16,62,764,-199,-114,147,5,2016-03-01,56f4d747,66.095993411268,-136.871245578209
0,0,-100,0,11,62,1704,-106,7,289,11,2016-04-01,56f4d747,66.095993411268,-136.871245578209
748,0,-180,748,18,380,1828,-4,106,486,51,2016-05-01,56f4d747,66.095993411268,-136.871245578209
647,522,-240,1169,41,140,2289,75,187,771,94,2016-06-01,56f4d747,66.095993411268,-136.871245578209
548,486,-210,1034,53,97,1699,109,197,1029,83,2016-07-01,56f4d747,66.095993411268,-136.871245578209
506,286,-180,792,51,75,1245,84,173,921,65,2016-08-01,56f4d747,66.095993411268,-136.871245578209
328,81,-170,409,33,62,813,7,88,597,38,2016-09-01,56f4d747,66.095993411268,-136.871245578209
0,0,-180,0,34,62,445,-113,-28,288,11,2016-10-01,56f4d747,66.095993411268,-136.871245578209
0,0,-190,0,25,62,91,-231,-149,138,1,2016-11-01,56f4d747,66.095993411268,-136.871245578209
0,0,-160,0,25,62,18,-293,-206,77,2,2016-12-01,56f4d747,66.095993411268,-136.871245578209
0,0,-150,0,19,62,54,-298,-206,73,1,2017-01-01,56f4d747,66.095993411268,-136.871245578209
0,0,-130,0,16,62,230,-271,-177,75,4,2017-02-01,56f4d747,66.095993411268,-136.871245578209
0,0,-120,0,16,62,962,-310,-187,77,4,2017-03-01,56f4d747,66.095993411268,-136.871245578209
0,0,-110,0,11,62,1863,-131,-12,239,12,2017-04-01,56f4d747,66.095993411268,-136.871245578209
661,0,-150,661,18,380,1913,-15,89,466,49,2017-05-01,56f4d747,66.095993411268,-136.871245578209
677,614,-230,1291,41,140,2753,71,189,781,100,2017-06-01,56f4d747,66.095993411268,-136.871245578209
547,676,-240,1223,53,97,2182,106,211,996,108,2017-07-01,56f4d747,66.095993411268,-136.871245578209
507,289,-210,796,51,75,1397,77,169,891,82,2017-08-01,56f4d747,66.095993411268,-136.871245578209
329,69,-200,398,33,62,590,20,95,620,37,2017-09-01,56f4d747,66.095993411268,-136.871245578209
0,0,-200,0,34,62,257,-76,-16,341,11,2017-10-01,56f4d747,66.095993411268,-136.871245578209
0,0,-200,0,25,62,85,-256,-176,98,2,2017-11-01,56f4d747,66.095993411268,-136.871245578209
0,0,-170,0,25,62,18,-214,-133,117,2,2017-12-01,56f4d747,66.095993411268,-136.871245578209
0,0,-160,0,19,62,54,-275,-197,73,-1,2018-01-01,56f4d747,66.095993411268,-136.871245578209
0,0,-140,0,16,62,223,-293,-209,67,3,2018-02-01,56f4d747,66.095993411268,-136.871245578209
0,0,-130,0,16,62,870,-232,-134,117,5,2018-03-01,56f4d747,66.095993411268,-136.871245578209
0,0,-120,0,11,62,1830,-158,-46,229,9,2018-04-01,56f4d747,66.095993411268,-136.871245578209
546,0,-130,546,18,380,1774,-25,79,466,34,2018-05-01,56f4d747,66.095993411268,-136.871245578209
776,265,-130,1041,41,140,1989,66,172,779,78,2018-06-01,56f4d747,66.095993411268,-136.871245578209
547,669,-140,1216,53,97,2019,98,215,949,96,2018-07-01,56f4d747,66.095993411268,-136.871245578209
507,133,-80,640,51,75,890,69,144,908,49,2018-08-01,56f4d747,66.095993411268,-136.871245578209
328,63,-70,391,33,62,835,-1,88,547,30,2018-09-01,56f4d747,66.095993411268,-136.871245578209
0,0,-90,0,34,62,369,-79,9,332,8,2018-10-01,56f4d747,66.095993411268,-136.871245578209
0,0,-100,0,25,62,99,-204,-132,148,1,2018-11-01,56f4d747,66.095993411268,-136.871245578209
