aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,789,0,61,371,497,-275,-138,113,3,2015-01-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,742,0,43,371,1060,-319,-175,75,2,2015-02-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,730,0,67,371,1547,-211,-52,196,7,2015-03-01,580bddcc,50.6135487953828,-78.0994552728252
1,0,744,16,80,371,1878,-86,47,421,17,2015-04-01,580bddcc,50.6135487953828,-78.0994552728252
990,0,692,990,90,371,2083,18,159,714,54,2015-05-01,580bddcc,50.6135487953828,-78.0994552728252
876,217,598,1093,67,137,2378,58,199,1044,59,2015-06-01,580bddcc,50.6135487953828,-78.0994552728252
693,439,460,1133,69,95,2002,110,237,1443,68,2015-07-01,580bddcc,50.6135487953828,-78.0994552728252
911,0,495,911,149,371,1518,123,225,1449,64,2015-08-01,580bddcc,50.6135487953828,-78.0994552728252
617,0,401,617,76,371,1536,76,187,1240,36,2015-09-01,580bddcc,50.6135487953828,-78.0994552728252
215,0,353,231,81,371,761,-12,73,644,15,2015-10-01,580bddcc,50.6135487953828,-78.0994552728252
1,0,230,7,41,371,338,-49,33,552,5,2015-11-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,257,0,75,371,323,-107,-37,393,0,2015-12-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,350,0,94,371,419,-208,-97,212,8,2016-01-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,390,0,58,371,870,-234,-89,176,7,2016-02-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,310,0,30,371,1618,-166,-16,277,13,2016-03-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,200,0,16,371,2128,-107,30,336,17,2016-04-01,580bddcc,50.6135487953828,-78.0994552728252
855,0,200,855,82,371,2229,7,152,733,50,2016-05-01,580bddcc,50.6135487953828,-78.0994552728252
1000,55,200,1055,95,277,2118,68,204,1045,60,2016-06-01,580bddcc,50.6135487953828,-78.0994552728252
1145,0,260,1145,137,371,2112,114,239,1437,71,2016-07-01,580bddcc,50.6135487953828,-78.0994552728252
1022,0,400,1022,178,371,1717,124,245,1481,77,2016-08-01,580bddcc,50.6135487953828,-78.0994552728252
666,0,450,666,135,371,1371,75,181,1135,37,2016-09-01,580bddcc,50.6135487953828,-78.0994552728252
333,0,450,333,114,371,732,9,94,727,19,2016-10-01,580bddcc,50.6135487953828,-78.0994552728252
15,0,490,15,112,371,293,-38,31,563,12,2016-11-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,460,0,63,371,315,-172,-80,245,6,2016-12-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,440,0,60,371,430,-181,-83,258,8,2017-01-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,430,0,46,371,840,-203,-68,217,8,2017-02-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,320,0,21,371,1602,-196,-40,225,11,2017-03-01,580bddcc,50.6135487953828,-78.0994552728252
96,0,340,96,74,371,1804,-61,65,469,23,2017-04-01,580bddcc,50.6135487953828,-78.0994552728252
669,0,500,669,134,371,1742,11,126,750,33,2017-05-01,580bddcc,50.6135487953828,-78.0994552728252
886,167,430,1053,69,137,2280,74,203,1082,60,2017-06-01,580bddcc,50.6135487953828,-78.0994552728252
838,503,300,1341,84,95,2599,95,240,1281,83,2017-07-01,580bddcc,50.6135487953828,-78.0994552728252
929,0,400,929,173,371,1647,93,216,1279,60,2017-08-01,580bddcc,50.6135487953828,-78.0994552728252
579,0,380,579,99,371,1326,76,177,1190,38,2017-09-01,580bddcc,50.6135487953828,-78.0994552728252
315,0,500,315,165,371,719,21,107,830,26,2017-10-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,440,0,72,371,345,-93,-9,406,7,2017-11-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,350,0,43,371,356,-212,-111,223,4,2017-12-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,340,0,60,371,511,-240,-117,163,6,2018-01-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,360,0,49,371,893,-231,-84,177,7,2018-02-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,230,0,13,371,1536,-183,-27,239,11,2018-03-01,580bddcc,50.6135487953828,-78.0994552728252
0,0,190,0,39,371,2169,-116,23,319,20,2018-04-01,580bddcc,50.6135487953828,-78.0994552728252
976,0,120,976,57,371,2336,4,164,699,50,2018-05-01,580bddcc,50.6135487953828,-78.0994552728252
698,552,-260,1250,49,137,2789,59,207,951,86,2018-06-01,580bddcc,50.6135487953828,-78.0994552728252
1139,212,-270,1351,116,95,2380,124,260,1497,106,2018-07-01,580bddcc,50.6135487953828,-78.0994552728252
662,475,-370,1137,67,73,1989,111,247,1399,87,2018-08-01,580bddcc,50.6135487953828,-78.0994552728252
623,0,-330,623,138,371,1288,63,177,1136,37,2018-09-01,580bddcc,50.6135487953828,-78.0994552728252
