aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,462,0,13,384,220,-309,-215,89,0,2015-01-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,386,0,6,384,629,-351,-264,22,3,2015-02-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,316,0,11,384,1374,-265,-154,122,1,2015-03-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,241,0,10,384,2132,-171,-70,259,0,2015-04-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,131,0,8,384,2683,-86,18,340,17,2015-05-01,58c7d2f6,59.7307937098788,-96.2378588848036
949,0,145,949,49,384,2479,39,136,780,41,2015-06-01,58c7d2f6,59.7307937098788,-96.2378588848036
918,95,221,1013,79,220,2174,80,185,1124,48,2015-07-01,58c7d2f6,59.7307937098788,-96.2378588848036
689,13,271,702,72,210,1464,84,165,1123,37,2015-08-01,58c7d2f6,59.7307937098788,-96.2378588848036
312,0,228,312,36,238,978,31,99,853,14,2015-09-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,250,0,53,238,432,-58,9,493,3,2015-10-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,271,0,31,238,224,-160,-80,274,0,2015-11-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,356,0,38,238,100,-216,-151,197,0,2015-12-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,340,0,15,228,181,-265,-187,83,1,2016-01-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,330,0,15,228,642,-313,-214,65,2,2016-02-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,270,0,12,228,1376,-251,-142,122,2,2016-03-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,180,0,5,228,2316,-193,-75,209,2,2016-04-01,58c7d2f6,59.7307937098788,-96.2378588848036
32,0,190,32,38,360,2399,-55,37,486,7,2016-05-01,58c7d2f6,59.7307937098788,-96.2378588848036
947,0,130,947,34,384,2542,40,143,783,42,2016-06-01,58c7d2f6,59.7307937098788,-96.2378588848036
859,134,140,993,66,154,2084,92,191,1174,48,2016-07-01,58c7d2f6,59.7307937098788,-96.2378588848036
654,140,140,794,64,103,1528,80,172,1102,39,2016-08-01,58c7d2f6,59.7307937098788,-96.2378588848036
415,0,370,415,121,384,850,31,107,807,21,2016-09-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,410,0,33,384,437,-64,-18,481,4,2016-10-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,440,0,38,384,210,-131,-60,251,0,2016-11-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,370,0,10,384,130,-276,-197,98,0,2016-12-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,370,0,21,384,170,-269,-187,72,0,2017-01-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,500,0,38,384,524,-290,-208,75,0,2017-02-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,570,0,42,384,1426,-275,-164,112,1,2017-03-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,450,0,5,384,2390,-189,-81,219,4,2017-04-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,400,0,28,384,2227,-62,18,456,6,2017-05-01,58c7d2f6,59.7307937098788,-96.2378588848036
930,0,310,930,28,384,2614,38,137,762,45,2017-06-01,58c7d2f6,59.7307937098788,-96.2378588848036
925,278,270,1203,72,141,2451,80,203,1074,68,2017-07-01,58c7d2f6,59.7307937098788,-96.2378588848036
497,462,170,959,48,98,1970,82,185,1052,54,2017-08-01,58c7d2f6,59.7307937098788,-96.2378588848036
480,0,260,480,89,384,895,31,112,777,23,2017-09-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,550,0,109,384,459,-55,4,492,2,2017-10-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,490,0,19,384,258,-214,-135,170,2,2017-11-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,430,0,14,384,132,-278,-193,98,1,2017-12-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,340,0,6,384,219,-308,-233,62,1,2018-01-01,58c7d2f6,59.7307937098788,-96.2378588848036
0,0,280,0,6,384,629,-348,-249,54,1,2018-02-01,58c7d2f6,59.7307937098788,-96.2378588848036
