aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,100,0,105,160,416,-233,-126,120,4,2015-01-01,58d3d8f7,52.6479523380339,-57.5106217636118
0,0,185,0,121,160,771,-247,-138,101,5,2015-02-01,58d3d8f7,52.6479523380339,-57.5106217636118
0,0,110,0,56,160,1465,-182,-75,152,10,2015-03-01,58d3d8f7,52.6479523380339,-57.5106217636118
0,0,137,0,67,160,1686,-86,-10,333,11,2015-04-01,58d3d8f7,52.6479523380339,-57.5106217636118
509,0,110,583,80,160,2191,-15,66,515,25,2015-05-01,58d3d8f7,52.6479523380339,-57.5106217636118
889,0,-48,889,84,160,2059,50,141,813,43,2015-06-01,58d3d8f7,52.6479523380339,-57.5106217636118
727,0,-93,727,78,160,1762,73,139,1035,28,2015-07-01,58d3d8f7,52.6479523380339,-57.5106217636118
609,0,-100,609,86,160,1553,71,155,1170,22,2015-08-01,58d3d8f7,52.6479523380339,-57.5106217636118
476,0,-101,476,91,160,1180,42,120,861,26,2015-09-01,58d3d8f7,52.6479523380339,-57.5106217636118
194,0,-81,249,101,160,737,-9,50,536,19,2015-10-01,58d3d8f7,52.6479523380339,-57.5106217636118
0,0,-85,0,88,160,379,-71,-13,331,13,2015-11-01,58d3d8f7,52.6479523380339,-57.5106217636118
0,0,-168,0,55,160,313,-129,-51,228,10,2015-12-01,58d3d8f7,52.6479523380339,-57.5106217636118
0,0,-210,0,62,160,394,-166,-80,194,7,2016-01-01,58d3d8f7,52.6479523380339,-57.5106217636118
0,0,-140,0,98,160,747,-183,-74,206,6,2016-02-01,58d3d8f7,52.6479523380339,-57.5106217636118
0,0,-130,0,77,160,1385,-168,-62,187,11,2016-03-01,58d3d8f7,52.6479523380339,-57.5106217636118
0,0,-100,0,59,160,1565,-78,-3,373,12,2016-04-01,58d3d8f7,52.6479523380339,-57.5106217636118
571,0,-140,571,65,160,1906,-3,78,586,25,2016-05-01,58d3d8f7,52.6479523380339,-57.5106217636118
730,0,150,730,161,160,2010,47,126,867,34,2016-06-01,58d3d8f7,52.6479523380339,-57.5106217636118
755,0,160,755,105,160,1949,79,158,1171,32,2016-07-01,58d3d8f7,52.6479523380339,-57.5106217636118
701,0,140,701,103,160,1646,80,166,1180,34,2016-08-01,58d3d8f7,52.6479523380339,-57.5106217636118
460,0,150,460,101,160,1140,37,115,853,21,2016-09-01,58d3d8f7,52.6479523380339,-57.5106217636118
242,0,250,242,150,160,657,-8,54,582,17,2016-10-01,58d3d8f7,52.6479523380339,-57.5106217636118
0,0,210,0,88,160,319,-53,5,444,9,2016-11-01,58d3d8f7,52.6479523380339,-57.5106217636118
