aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-64,0,23,387,276,-314,-212,81,0,2015-01-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,-74,0,8,387,688,-354,-256,44,1,2015-02-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,-67,0,21,387,1436,-256,-132,140,1,2015-03-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,9,0,26,387,2014,-136,-28,329,3,2015-04-01,59d6f731,57.0270662311362,-89.9932033960786
9,0,77,75,46,387,2625,-57,50,465,17,2015-05-01,59d6f731,57.0270662311362,-89.9932033960786
792,0,93,792,44,387,2124,32,129,811,32,2015-06-01,59d6f731,57.0270662311362,-89.9932033960786
892,0,306,892,135,387,1923,79,183,1204,38,2015-07-01,59d6f731,57.0270662311362,-89.9932033960786
647,2,354,649,68,384,1529,86,163,1219,28,2015-08-01,59d6f731,57.0270662311362,-89.9932033960786
397,0,528,397,102,387,996,54,124,970,20,2015-09-01,59d6f731,57.0270662311362,-89.9932033960786
5,0,553,30,42,387,571,-34,34,540,9,2015-10-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,577,0,50,387,245,-106,-45,324,3,2015-11-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,516,0,29,387,151,-189,-126,195,0,2015-12-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,420,0,15,387,252,-269,-184,115,2,2016-01-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,390,0,14,387,740,-305,-192,85,1,2016-02-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,390,0,28,387,1413,-238,-111,156,3,2016-03-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,270,0,5,387,2347,-166,-46,247,4,2016-04-01,59d6f731,57.0270662311362,-89.9932033960786
344,0,200,344,38,387,2327,-33,66,570,17,2016-05-01,59d6f731,57.0270662311362,-89.9932033960786
828,13,110,841,24,365,2461,35,134,824,37,2016-06-01,59d6f731,57.0270662311362,-89.9932033960786
796,111,70,907,66,191,2144,85,184,1225,42,2016-07-01,59d6f731,57.0270662311362,-89.9932033960786
525,262,-230,787,47,117,1711,84,173,1169,36,2016-08-01,59d6f731,57.0270662311362,-89.9932033960786
467,0,-210,467,54,163,1082,51,124,917,26,2016-09-01,59d6f731,57.0270662311362,-89.9932033960786
16,0,-90,16,83,283,441,-33,20,521,9,2016-10-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,-100,0,24,283,262,-90,-25,319,8,2016-11-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,-90,0,28,283,178,-255,-172,114,1,2016-12-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,-70,0,26,283,248,-263,-172,90,0,2017-01-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,220,0,39,283,651,-279,-178,113,0,2017-02-01,59d6f731,57.0270662311362,-89.9932033960786
0,0,390,0,61,283,1301,-249,-122,144,2,2017-03-01,59d6f731,57.0270662311362,-89.9932033960786
