aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,397,0,35,569,493,-240,-107,196,0,2015-01-01,5cd9ce71,49.2987390346946,-91.3697759013014
0,0,395,0,40,569,994,-293,-137,80,5,2015-02-01,5cd9ce71,49.2987390346946,-91.3697759013014
0,0,327,0,29,569,1451,-137,10,281,16,2015-03-01,5cd9ce71,49.2987390346946,-91.3697759013014
345,0,234,486,29,569,2044,-57,93,417,37,2015-04-01,5cd9ce71,49.2987390346946,-91.3697759013014
908,0,370,908,153,569,2101,12,157,763,47,2015-05-01,5cd9ce71,49.2987390346946,-91.3697759013014
1008,93,351,1101,89,409,2372,75,216,1200,61,2015-06-01,5cd9ce71,49.2987390346946,-91.3697759013014
1197,94,385,1291,116,311,2431,125,249,1559,75,2015-07-01,5cd9ce71,49.2987390346946,-91.3697759013014
790,121,354,911,74,223,1838,107,221,1501,48,2015-08-01,5cd9ce71,49.2987390346946,-91.3697759013014
634,0,290,634,78,332,1583,81,202,1371,36,2015-09-01,5cd9ce71,49.2987390346946,-91.3697759013014
310,0,284,314,90,569,846,-2,104,696,24,2015-10-01,5cd9ce71,49.2987390346946,-91.3697759013014
1,0,419,7,96,569,363,-48,38,601,2,2015-11-01,5cd9ce71,49.2987390346946,-91.3697759013014
0,0,428,0,55,569,290,-120,-43,391,0,2015-12-01,5cd9ce71,49.2987390346946,-91.3697759013014
0,0,360,0,26,569,430,-213,-108,232,0,2016-01-01,5cd9ce71,49.2987390346946,-91.3697759013014
0,0,340,0,33,569,841,-194,-72,216,4,2016-02-01,5cd9ce71,49.2987390346946,-91.3697759013014
0,0,420,0,75,569,1479,-106,31,390,16,2016-03-01,5cd9ce71,49.2987390346946,-91.3697759013014
119,0,440,119,56,569,1875,-57,63,458,27,2016-04-01,5cd9ce71,49.2987390346946,-91.3697759013014
971,0,370,971,61,569,2249,30,173,749,60,2016-05-01,5cd9ce71,49.2987390346946,-91.3697759013014
1052,0,360,1052,117,569,2343,86,209,1241,56,2016-06-01,5cd9ce71,49.2987390346946,-91.3697759013014
1113,106,350,1219,98,387,2500,128,241,1579,86,2016-07-01,5cd9ce71,49.2987390346946,-91.3697759013014
963,0,370,963,103,399,1989,116,231,1620,64,2016-08-01,5cd9ce71,49.2987390346946,-91.3697759013014
538,0,380,538,104,569,1274,83,175,1304,35,2016-09-01,5cd9ce71,49.2987390346946,-91.3697759013014
287,0,350,287,62,569,749,16,98,817,23,2016-10-01,5cd9ce71,49.2987390346946,-91.3697759013014
90,0,290,90,34,569,445,-28,59,626,10,2016-11-01,5cd9ce71,49.2987390346946,-91.3697759013014
0,0,400,0,81,569,323,-189,-96,241,0,2016-12-01,5cd9ce71,49.2987390346946,-91.3697759013014
0,0,370,0,39,569,463,-202,-99,280,0,2017-01-01,5cd9ce71,49.2987390346946,-91.3697759013014
0,0,430,0,57,569,912,-173,-51,276,5,2017-02-01,5cd9ce71,49.2987390346946,-91.3697759013014
0,0,350,0,25,569,1556,-146,-8,281,12,2017-03-01,5cd9ce71,49.2987390346946,-91.3697759013014
425,0,300,425,48,569,1746,-42,88,508,32,2017-04-01,5cd9ce71,49.2987390346946,-91.3697759013014
847,0,270,847,67,569,2084,18,144,699,50,2017-05-01,5cd9ce71,49.2987390346946,-91.3697759013014
1050,29,270,1079,105,519,2269,87,214,1126,65,2017-06-01,5cd9ce71,49.2987390346946,-91.3697759013014
