aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-118,0,26,121,332,-127,-24,331,4,2015-01-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-60,0,28,121,665,-119,-16,302,9,2015-02-01,5ce38512,54.4852672474235,-116.660852395135
17,0,-90,83,9,336,1315,-62,64,410,27,2015-03-01,5ce38512,54.4852672474235,-116.660852395135
761,0,-107,778,20,605,1947,-25,110,420,49,2015-04-01,5ce38512,54.4852672474235,-116.660852395135
538,738,-275,1276,16,236,2652,19,182,594,81,2015-05-01,5ce38512,54.4852672474235,-116.660852395135
706,651,-320,1357,67,163,2684,76,222,909,95,2015-06-01,5ce38512,54.4852672474235,-116.660852395135
650,787,-395,1438,65,127,2680,86,239,1078,97,2015-07-01,5ce38512,54.4852672474235,-116.660852395135
725,376,-363,1101,74,104,2140,77,229,1057,87,2015-08-01,5ce38512,54.4852672474235,-116.660852395135
575,0,-228,575,91,393,1292,19,162,792,48,2015-09-01,5ce38512,54.4852672474235,-116.660852395135
346,35,-169,381,33,363,828,-5,136,647,43,2015-10-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-103,0,34,363,413,-92,14,381,11,2015-11-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-85,0,10,363,270,-130,-29,318,4,2015-12-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-70,0,32,310,357,-138,-33,323,7,2016-01-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-60,0,18,310,723,-94,26,369,23,2016-02-01,5ce38512,54.4852672474235,-116.660852395135
50,0,-70,50,12,416,1286,-58,54,403,28,2016-03-01,5ce38512,54.4852672474235,-116.660852395135
744,0,-90,744,19,642,1965,-16,123,494,63,2016-04-01,5ce38512,54.4852672474235,-116.660852395135
870,212,-130,1082,52,278,2299,22,181,674,73,2016-05-01,5ce38512,54.4852672474235,-116.660852395135
899,331,-140,1230,84,180,2467,69,216,941,82,2016-06-01,5ce38512,54.4852672474235,-116.660852395135
967,230,-120,1197,97,136,2350,89,230,1175,78,2016-07-01,5ce38512,54.4852672474235,-116.660852395135
637,411,-130,1048,64,110,1909,80,226,1111,69,2016-08-01,5ce38512,54.4852672474235,-116.660852395135
510,149,-130,659,52,93,1343,23,170,814,56,2016-09-01,5ce38512,54.4852672474235,-116.660852395135
263,0,-70,263,37,177,638,-25,84,583,20,2016-10-01,5ce38512,54.4852672474235,-116.660852395135
17,0,-80,17,23,221,384,-54,51,496,16,2016-11-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-90,0,19,221,264,-175,-66,212,6,2016-12-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-100,0,33,221,354,-153,-34,257,7,2017-01-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-70,0,21,221,763,-131,-13,279,12,2017-02-01,5ce38512,54.4852672474235,-116.660852395135
0,0,20,0,15,221,1348,-106,8,348,16,2017-03-01,5ce38512,54.4852672474235,-116.660852395135
519,0,50,519,24,642,1564,-30,92,464,31,2017-04-01,5ce38512,54.4852672474235,-116.660852395135
906,218,40,1124,49,267,2367,23,183,658,77,2017-05-01,5ce38512,54.4852672474235,-116.660852395135
958,276,-10,1234,91,176,2525,60,204,869,84,2017-06-01,5ce38512,54.4852672474235,-116.660852395135
873,497,-50,1370,87,134,2701,84,233,1049,88,2017-07-01,5ce38512,54.4852672474235,-116.660852395135
585,625,-120,1210,59,109,2238,75,239,1035,83,2017-08-01,5ce38512,54.4852672474235,-116.660852395135
482,229,-150,711,49,92,1380,30,190,852,56,2017-09-01,5ce38512,54.4852672474235,-116.660852395135
328,129,-150,457,33,80,701,-20,109,536,39,2017-10-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-150,0,25,80,380,-117,-11,324,9,2017-11-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-170,0,19,80,315,-154,-35,266,10,2017-12-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-200,0,33,80,362,-150,-44,303,5,2018-01-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-170,0,19,80,794,-183,-44,207,9,2018-02-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-140,0,14,80,1347,-107,21,316,21,2018-03-01,5ce38512,54.4852672474235,-116.660852395135
302,0,-80,302,20,424,2072,-60,82,388,42,2018-04-01,5ce38512,54.4852672474235,-116.660852395135
1142,84,-70,1226,50,346,2579,37,201,703,101,2018-05-01,5ce38512,54.4852672474235,-116.660852395135
972,259,-70,1231,87,202,2456,64,204,914,91,2018-06-01,5ce38512,54.4852672474235,-116.660852395135
898,377,-90,1275,89,147,2307,82,234,1060,70,2018-07-01,5ce38512,54.4852672474235,-116.660852395135
638,514,-130,1152,64,117,2122,70,225,1035,88,2018-08-01,5ce38512,54.4852672474235,-116.660852395135
541,13,-100,554,57,115,1134,-6,130,666,27,2018-09-01,5ce38512,54.4852672474235,-116.660852395135
295,59,-80,354,30,103,774,-38,104,495,33,2018-10-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-100,0,24,103,322,-88,11,388,7,2018-11-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-110,0,20,103,260,-128,-24,296,8,2018-12-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-120,0,36,103,322,-125,-11,330,7,2019-01-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-90,0,21,103,821,-265,-136,95,5,2019-02-01,5ce38512,54.4852672474235,-116.660852395135
0,0,-110,0,5,103,1520,-97,29,281,24,2019-03-01,5ce38512,54.4852672474235,-116.660852395135
659,0,-80,659,28,642,1828,-29,105,439,45,2019-04-01,5ce38512,54.4852672474235,-116.660852395135
789,331,-140,1120,37,236,2395,18,167,582,72,2019-05-01,5ce38512,54.4852672474235,-116.660852395135
1030,0,280,1030,195,642,2120,51,190,963,58,2019-06-01,5ce38512,54.4852672474235,-116.660852395135
1024,0,510,1024,147,642,2055,71,214,1186,60,2019-07-01,5ce38512,54.4852672474235,-116.660852395135
817,0,710,817,102,642,1679,54,201,1139,49,2019-08-01,5ce38512,54.4852672474235,-116.660852395135
548,0,820,548,85,642,1209,22,169,911,41,2019-09-01,5ce38512,54.4852672474235,-116.660852395135
277,0,910,277,62,642,732,-46,86,489,29,2019-10-01,5ce38512,54.4852672474235,-116.660852395135
0,0,1080,0,74,642,343,-95,13,396,9,2019-11-01,5ce38512,54.4852672474235,-116.660852395135
0,0,1010,0,12,642,257,-137,-27,283,7,2019-12-01,5ce38512,54.4852672474235,-116.660852395135
