aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,46,0,26,203,182,-292,-202,113,0,2015-01-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,-51,0,10,203,575,-331,-213,53,2,2015-02-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,-81,0,12,203,1346,-238,-89,168,3,2015-03-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,-101,0,13,203,2159,-133,7,240,19,2015-04-01,5e07ef47,60.2841714939035,-107.1545259009
948,0,-223,980,6,624,2856,-33,109,366,53,2015-05-01,5e07ef47,60.2841714939035,-107.1545259009
753,481,-329,1234,38,278,2666,53,186,817,71,2015-06-01,5e07ef47,60.2841714939035,-107.1545259009
851,161,-203,1012,82,209,2044,85,195,1122,57,2015-07-01,5e07ef47,60.2841714939035,-107.1545259009
652,166,-161,818,63,159,1671,80,183,1060,53,2015-08-01,5e07ef47,60.2841714939035,-107.1545259009
414,0,-122,419,54,260,1113,17,109,720,28,2015-09-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,181,6,52,304,468,-43,14,466,10,2015-10-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,192,0,23,304,212,-151,-81,284,0,2015-11-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,235,0,21,304,86,-213,-146,226,0,2015-12-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,210,0,18,255,154,-262,-176,145,0,2016-01-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,220,0,17,255,556,-275,-156,144,3,2016-02-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,180,0,15,255,1279,-208,-78,215,5,2016-03-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,130,0,14,255,2037,-142,-6,306,12,2016-04-01,5e07ef47,60.2841714939035,-107.1545259009
734,0,150,734,36,773,2297,-1,120,656,41,2016-05-01,5e07ef47,60.2841714939035,-107.1545259009
878,162,210,1040,61,494,2474,64,187,1028,66,2016-06-01,5e07ef47,60.2841714939035,-107.1545259009
698,329,190,1027,49,261,2282,101,208,1382,68,2016-07-01,5e07ef47,60.2841714939035,-107.1545259009
728,0,500,728,138,773,1583,84,185,1255,43,2016-08-01,5e07ef47,60.2841714939035,-107.1545259009
375,0,570,375,56,773,953,32,112,873,24,2016-09-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,670,0,36,773,515,-52,-18,538,11,2016-10-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,740,0,31,773,188,-120,-59,351,0,2016-11-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,700,0,16,773,104,-266,-195,139,0,2016-12-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,670,0,25,773,166,-269,-177,116,0,2017-01-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,670,0,24,773,435,-263,-166,136,0,2017-02-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,610,0,21,773,1279,-245,-122,198,1,2017-03-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,480,0,5,773,2251,-139,-15,306,17,2017-04-01,5e07ef47,60.2841714939035,-107.1545259009
706,0,430,706,27,773,2338,-14,107,588,43,2017-05-01,5e07ef47,60.2841714939035,-107.1545259009
747,257,350,1004,29,331,2599,53,172,968,67,2017-06-01,5e07ef47,60.2841714939035,-107.1545259009
727,392,320,1119,64,216,2456,95,215,1310,68,2017-07-01,5e07ef47,60.2841714939035,-107.1545259009
671,239,290,910,65,163,1891,89,207,1236,64,2017-08-01,5e07ef47,60.2841714939035,-107.1545259009
325,112,190,437,32,137,1073,40,130,921,29,2017-09-01,5e07ef47,60.2841714939035,-107.1545259009
3,0,200,3,45,165,470,-43,6,548,10,2017-10-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,140,0,19,165,210,-215,-149,212,3,2017-11-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,80,0,14,165,100,-253,-162,167,0,2017-12-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,60,0,22,165,193,-290,-212,116,-2,2018-01-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,-140,0,9,165,531,-317,-200,96,1,2018-02-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,-170,0,11,165,1266,-244,-111,168,3,2018-03-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,-130,0,22,165,1935,-166,-34,287,11,2018-04-01,5e07ef47,60.2841714939035,-107.1545259009
705,0,-60,705,41,773,2399,-19,106,578,42,2018-05-01,5e07ef47,60.2841714939035,-107.1545259009
794,157,160,951,52,503,2220,65,182,1048,62,2018-06-01,5e07ef47,60.2841714939035,-107.1545259009
1005,4,340,1009,105,499,2184,93,204,1312,67,2018-07-01,5e07ef47,60.2841714939035,-107.1545259009
598,104,370,702,53,405,1724,66,170,1185,49,2018-08-01,5e07ef47,60.2841714939035,-107.1545259009
148,0,400,148,32,526,1190,-22,56,723,20,2018-09-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,380,0,26,526,611,-71,-15,468,11,2018-10-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,400,0,26,526,206,-195,-133,241,0,2018-11-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,460,0,28,526,96,-231,-152,169,-1,2018-12-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,450,0,24,526,183,-322,-229,80,0,2019-01-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,350,0,4,526,611,-348,-236,52,1,2019-02-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,270,0,11,526,1158,-184,-51,225,6,2019-03-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,310,0,30,526,1959,-118,5,273,17,2019-04-01,5e07ef47,60.2841714939035,-107.1545259009
715,0,200,715,11,773,2754,-36,79,328,44,2019-05-01,5e07ef47,60.2841714939035,-107.1545259009
815,28,220,843,50,726,2073,49,164,914,46,2019-06-01,5e07ef47,60.2841714939035,-107.1545259009
885,243,170,1128,53,347,2418,84,194,1088,60,2019-07-01,5e07ef47,60.2841714939035,-107.1545259009
667,0,280,667,80,438,1390,68,166,1099,34,2019-08-01,5e07ef47,60.2841714939035,-107.1545259009
421,0,290,421,47,461,1109,34,111,806,25,2019-09-01,5e07ef47,60.2841714939035,-107.1545259009
0,0,310,0,38,461,554,-52,3,428,9,2019-10-01,5e07ef47,60.2841714939035,-107.1545259009
