aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,851,0,68,492,508,-280,-145,160,0,2015-01-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,805,0,57,492,1080,-323,-177,105,0,2015-02-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,782,0,62,492,1515,-200,-45,255,3,2015-03-01,5f9b3a42,50.0723513998224,-81.1413962874633
1,0,783,15,71,492,1828,-84,46,455,13,2015-04-01,5f9b3a42,50.0723513998224,-81.1413962874633
893,0,742,893,77,492,2132,18,155,815,42,2015-05-01,5f9b3a42,50.0723513998224,-81.1413962874633
882,166,651,1048,63,206,2401,63,199,1136,51,2015-06-01,5f9b3a42,50.0723513998224,-81.1413962874633
736,392,508,1127,70,136,2231,109,235,1528,58,2015-07-01,5f9b3a42,50.0723513998224,-81.1413962874633
819,0,526,819,118,439,1652,108,215,1506,43,2015-08-01,5f9b3a42,50.0723513998224,-81.1413962874633
605,0,417,605,75,492,1556,78,192,1319,33,2015-09-01,5f9b3a42,50.0723513998224,-81.1413962874633
209,0,369,219,72,492,788,-11,81,695,13,2015-10-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,252,2,42,492,391,-53,33,619,0,2015-11-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,288,0,88,492,295,-107,-40,482,0,2015-12-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,420,0,110,492,426,-217,-110,249,1,2016-01-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,490,0,81,492,820,-231,-93,216,3,2016-02-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,440,0,43,492,1542,-152,-15,338,10,2016-03-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,400,0,45,492,2073,-98,27,392,17,2016-04-01,5f9b3a42,50.0723513998224,-81.1413962874633
838,0,360,838,59,492,2330,12,153,792,45,2016-05-01,5f9b3a42,50.0723513998224,-81.1413962874633
914,75,330,989,83,363,2187,68,201,1141,58,2016-06-01,5f9b3a42,50.0723513998224,-81.1413962874633
1074,0,310,1074,115,382,2187,111,235,1539,65,2016-07-01,5f9b3a42,50.0723513998224,-81.1413962874633
870,25,290,895,89,352,1736,114,232,1580,59,2016-08-01,5f9b3a42,50.0723513998224,-81.1413962874633
601,0,250,601,101,492,1371,76,181,1232,34,2016-09-01,5f9b3a42,50.0723513998224,-81.1413962874633
298,0,240,298,80,492,707,12,95,778,16,2016-10-01,5f9b3a42,50.0723513998224,-81.1413962874633
13,0,210,13,75,492,316,-42,38,606,7,2016-11-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,190,0,67,492,322,-181,-95,295,0,2016-12-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,170,0,56,492,410,-189,-101,279,0,2017-01-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,160,0,43,492,823,-199,-74,266,4,2017-02-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,140,0,42,492,1618,-182,-41,278,8,2017-03-01,5f9b3a42,50.0723513998224,-81.1413962874633
97,0,120,97,45,492,1789,-59,65,514,22,2017-04-01,5f9b3a42,50.0723513998224,-81.1413962874633
624,0,150,624,59,492,1804,15,121,799,28,2017-05-01,5f9b3a42,50.0723513998224,-81.1413962874633
898,61,170,959,84,387,2210,78,200,1184,54,2017-06-01,5f9b3a42,50.0723513998224,-81.1413962874633
1167,57,160,1224,116,319,2609,97,231,1376,81,2017-07-01,5f9b3a42,50.0723513998224,-81.1413962874633
776,0,190,776,89,391,1677,83,197,1346,47,2017-08-01,5f9b3a42,50.0723513998224,-81.1413962874633
520,0,210,520,99,492,1274,71,180,1268,34,2017-09-01,5f9b3a42,50.0723513998224,-81.1413962874633
273,0,210,273,82,492,784,23,106,879,25,2017-10-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,190,0,75,492,383,-98,-21,443,4,2017-11-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,170,0,67,492,391,-225,-124,257,0,2017-12-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,150,0,56,492,529,-244,-127,203,2,2018-01-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,140,0,43,492,871,-245,-101,207,4,2018-02-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,120,0,42,492,1569,-182,-33,274,8,2018-03-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,120,0,45,492,2219,-120,16,349,19,2018-04-01,5f9b3a42,50.0723513998224,-81.1413962874633
940,0,80,940,59,492,2321,15,172,786,55,2018-05-01,5f9b3a42,50.0723513998224,-81.1413962874633
1048,153,-40,1201,83,228,2755,69,212,1082,76,2018-06-01,5f9b3a42,50.0723513998224,-81.1413962874633
1140,99,-80,1239,114,169,2433,120,251,1589,93,2018-07-01,5f9b3a42,50.0723513998224,-81.1413962874633
880,118,-110,998,88,121,1989,102,233,1495,62,2018-08-01,5f9b3a42,50.0723513998224,-81.1413962874633
532,0,-140,532,100,492,1250,63,175,1232,28,2018-09-01,5f9b3a42,50.0723513998224,-81.1413962874633
149,0,-90,149,82,492,535,-14,49,649,11,2018-10-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,-80,0,75,492,357,-111,-46,439,2,2018-11-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,-130,0,46,492,353,-180,-78,325,2,2018-12-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,-150,0,44,492,510,-276,-150,118,1,2019-01-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,120,0,86,492,893,-251,-107,145,3,2019-02-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,110,0,41,492,1438,-167,-28,238,9,2019-03-01,5f9b3a42,50.0723513998224,-81.1413962874633
21,0,150,21,60,492,1924,-78,48,392,21,2019-04-01,5f9b3a42,50.0723513998224,-81.1413962874633
812,0,90,812,41,492,2189,-4,128,619,42,2019-05-01,5f9b3a42,50.0723513998224,-81.1413962874633
995,58,80,1053,90,392,2322,66,202,1069,61,2019-06-01,5f9b3a42,50.0723513998224,-81.1413962874633
904,365,-140,1269,73,177,2277,121,252,1510,81,2019-07-01,5f9b3a42,50.0723513998224,-81.1413962874633
639,378,-230,1017,62,123,1915,97,223,1388,57,2019-08-01,5f9b3a42,50.0723513998224,-81.1413962874633
534,0,-280,534,78,327,1221,61,166,1143,28,2019-09-01,5f9b3a42,50.0723513998224,-81.1413962874633
332,0,-340,332,67,492,778,8,91,716,19,2019-10-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,-360,0,52,492,450,-108,-34,347,3,2019-11-01,5f9b3a42,50.0723513998224,-81.1413962874633
0,0,-340,0,61,492,336,-185,-81,228,1,2019-12-01,5f9b3a42,50.0723513998224,-81.1413962874633
