aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,479,0,13,521,200,-320,-225,88,0,2015-01-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,405,0,5,521,606,-357,-268,22,3,2015-02-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,338,0,11,521,1336,-271,-157,123,0,2015-03-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,264,0,10,521,2100,-174,-70,248,1,2015-04-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,145,0,6,521,2694,-83,22,330,19,2015-05-01,5f9cc830,60.1558555000547,-97.2257168547538
1000,0,123,1000,40,521,2590,38,140,766,44,2015-06-01,5f9cc830,60.1558555000547,-97.2257168547538
942,93,200,1035,82,361,2199,82,184,1106,50,2015-07-01,5f9cc830,60.1558555000547,-97.2257168547538
702,21,264,723,72,340,1429,82,165,1095,39,2015-08-01,5f9cc830,60.1558555000547,-97.2257168547538
311,0,226,314,40,406,979,28,97,831,15,2015-09-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,258,0,55,406,432,-64,4,493,1,2015-10-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,284,0,29,406,210,-172,-89,267,0,2015-11-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,363,0,33,406,84,-227,-160,198,0,2015-12-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,340,0,14,389,164,-280,-198,84,0,2016-01-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,340,0,14,389,631,-321,-220,75,1,2016-02-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,270,0,9,389,1356,-257,-145,131,1,2016-03-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,170,0,4,389,2281,-196,-76,202,2,2016-04-01,5f9cc830,60.1558555000547,-97.2257168547538
51,0,190,51,40,521,2406,-52,42,471,10,2016-05-01,5f9cc830,60.1558555000547,-97.2257168547538
965,0,150,965,39,521,2495,41,145,776,44,2016-06-01,5f9cc830,60.1558555000547,-97.2257168547538
853,162,150,1015,60,243,2089,94,189,1151,53,2016-07-01,5f9cc830,60.1558555000547,-97.2257168547538
687,115,170,802,65,174,1539,78,169,1076,38,2016-08-01,5f9cc830,60.1558555000547,-97.2257168547538
427,0,410,427,126,521,852,29,103,776,20,2016-09-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,470,0,34,521,435,-70,-23,470,3,2016-10-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,520,0,40,521,199,-145,-71,243,0,2016-11-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,460,0,10,521,113,-288,-208,97,0,2016-12-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,480,0,25,521,155,-284,-200,64,0,2017-01-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,580,0,33,521,489,-300,-213,87,0,2017-02-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,590,0,29,521,1404,-280,-168,111,1,2017-03-01,5f9cc830,60.1558555000547,-97.2257168547538
0,0,470,0,4,521,2392,-191,-81,214,4,2017-04-01,5f9cc830,60.1558555000547,-97.2257168547538
16,0,460,16,39,521,2145,-61,25,439,8,2017-05-01,5f9cc830,60.1558555000547,-97.2257168547538
943,0,380,943,33,521,2538,37,138,746,47,2017-06-01,5f9cc830,60.1558555000547,-97.2257168547538
1072,142,390,1214,87,277,2435,83,201,1057,66,2017-07-01,5f9cc830,60.1558555000547,-97.2257168547538
559,414,290,973,47,163,1930,84,184,1034,54,2017-08-01,5f9cc830,60.1558555000547,-97.2257168547538
