aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,340,0,36,339,450,-280,-161,138,0,2015-01-01,5fa7b61a,51.6852233392754,-87.3211399862645
0,0,373,0,46,339,978,-328,-196,55,3,2015-02-01,5fa7b61a,51.6852233392754,-87.3211399862645
0,0,326,0,30,339,1498,-194,-44,231,6,2015-03-01,5fa7b61a,51.6852233392754,-87.3211399862645
1,0,278,16,38,339,1905,-84,44,399,18,2015-04-01,5fa7b61a,51.6852233392754,-87.3211399862645
789,0,450,798,141,339,2243,0,126,700,34,2015-05-01,5fa7b61a,51.6852233392754,-87.3211399862645
961,73,404,1034,85,213,2514,55,189,1074,48,2015-06-01,5fa7b61a,51.6852233392754,-87.3211399862645
1101,0,521,1101,159,339,2360,103,224,1494,50,2015-07-01,5fa7b61a,51.6852233392754,-87.3211399862645
608,67,460,675,52,224,1603,89,194,1465,24,2015-08-01,5fa7b61a,51.6852233392754,-87.3211399862645
495,0,418,495,87,339,1417,67,175,1272,22,2015-09-01,5fa7b61a,51.6852233392754,-87.3211399862645
165,0,413,184,71,339,735,-19,73,660,12,2015-10-01,5fa7b61a,51.6852233392754,-87.3211399862645
0,0,618,0,136,339,282,-67,4,564,0,2015-11-01,5fa7b61a,51.6852233392754,-87.3211399862645
0,0,548,0,34,339,257,-137,-67,396,0,2015-12-01,5fa7b61a,51.6852233392754,-87.3211399862645
0,0,480,0,35,339,384,-239,-139,207,2,2016-01-01,5fa7b61a,51.6852233392754,-87.3211399862645
0,0,420,0,26,339,898,-246,-119,178,4,2016-02-01,5fa7b61a,51.6852233392754,-87.3211399862645
0,0,310,0,13,339,1638,-163,-17,313,10,2016-03-01,5fa7b61a,51.6852233392754,-87.3211399862645
0,0,290,0,47,339,2034,-98,27,379,16,2016-04-01,5fa7b61a,51.6852233392754,-87.3211399862645
785,0,270,785,63,339,2268,8,137,723,48,2016-05-01,5fa7b61a,51.6852233392754,-87.3211399862645
882,36,240,918,86,277,2269,63,182,1098,55,2016-06-01,5fa7b61a,51.6852233392754,-87.3211399862645
995,32,250,1027,100,236,2333,107,216,1495,66,2016-07-01,5fa7b61a,51.6852233392754,-87.3211399862645
764,0,240,764,88,304,1751,97,207,1535,44,2016-08-01,5fa7b61a,51.6852233392754,-87.3211399862645
449,0,270,449,95,339,1195,67,157,1214,27,2016-09-01,5fa7b61a,51.6852233392754,-87.3211399862645
221,0,260,221,63,339,559,-1,78,742,11,2016-10-01,5fa7b61a,51.6852233392754,-87.3211399862645
2,0,210,2,46,339,367,-56,22,586,3,2016-11-01,5fa7b61a,51.6852233392754,-87.3211399862645
0,0,250,0,52,339,288,-208,-121,244,0,2016-12-01,5fa7b61a,51.6852233392754,-87.3211399862645
0,0,230,0,37,339,340,-220,-127,220,0,2017-01-01,5fa7b61a,51.6852233392754,-87.3211399862645
0,0,220,0,31,339,802,-217,-97,218,3,2017-02-01,5fa7b61a,51.6852233392754,-87.3211399862645
0,0,180,0,29,339,1526,-192,-42,241,8,2017-03-01,5fa7b61a,51.6852233392754,-87.3211399862645
34,0,260,34,79,339,1848,-71,56,448,23,2017-04-01,5fa7b61a,51.6852233392754,-87.3211399862645
692,0,270,692,68,339,2179,1,111,682,40,2017-05-01,5fa7b61a,51.6852233392754,-87.3211399862645
977,0,310,977,119,339,2479,69,185,1086,58,2017-06-01,5fa7b61a,51.6852233392754,-87.3211399862645
760,398,220,1158,58,125,2673,96,214,1347,89,2017-07-01,5fa7b61a,51.6852233392754,-87.3211399862645
510,296,120,806,50,86,2040,72,180,1258,47,2017-08-01,5fa7b61a,51.6852233392754,-87.3211399862645
