aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,379,0,43,804,562,-241,-100,241,0,2015-01-01,604ea23f,47.0828687168589,-80.8879975247941
0,0,304,0,36,804,1123,-270,-138,168,0,2015-02-01,604ea23f,47.0828687168589,-80.8879975247941
0,0,224,0,36,804,1638,-160,-20,345,1,2015-03-01,604ea23f,47.0828687168589,-80.8879975247941
187,0,267,308,77,804,2008,-46,75,570,17,2015-04-01,604ea23f,47.0828687168589,-80.8879975247941
944,0,258,944,73,804,2086,42,183,1048,42,2015-05-01,604ea23f,47.0828687168589,-80.8879975247941
883,135,230,1018,69,572,2345,78,209,1353,42,2015-06-01,604ea23f,47.0828687168589,-80.8879975247941
909,344,180,1253,65,281,2443,111,247,1612,61,2015-07-01,604ea23f,47.0828687168589,-80.8879975247941
770,190,113,959,73,201,1799,112,226,1499,54,2015-08-01,604ea23f,47.0828687168589,-80.8879975247941
550,156,-209,706,53,157,1614,88,209,1410,39,2015-09-01,604ea23f,47.0828687168589,-80.8879975247941
274,0,-217,277,76,609,925,7,108,842,13,2015-10-01,604ea23f,47.0828687168589,-80.8879975247941
27,0,-254,37,78,804,536,-27,64,758,0,2015-11-01,604ea23f,47.0828687168589,-80.8879975247941
0,0,-73,0,107,804,324,-76,-2,669,0,2015-12-01,604ea23f,47.0828687168589,-80.8879975247941
0,0,-70,0,47,804,492,-186,-69,307,0,2016-01-01,604ea23f,47.0828687168589,-80.8879975247941
0,0,160,0,64,804,872,-179,-52,307,3,2016-02-01,604ea23f,47.0828687168589,-80.8879975247941
0,0,210,0,76,804,1479,-111,21,462,11,2016-03-01,604ea23f,47.0828687168589,-80.8879975247941
82,0,260,82,62,804,2154,-61,58,435,25,2016-04-01,604ea23f,47.0828687168589,-80.8879975247941
983,0,190,983,53,804,2399,29,172,846,56,2016-05-01,604ea23f,47.0828687168589,-80.8879975247941
1019,233,70,1252,65,404,2530,84,219,1131,73,2016-06-01,604ea23f,47.0828687168589,-80.8879975247941
923,347,-160,1270,80,244,2335,126,251,1579,69,2016-07-01,604ea23f,47.0828687168589,-80.8879975247941
870,180,-190,1050,85,180,1935,125,248,1687,63,2016-08-01,604ea23f,47.0828687168589,-80.8879975247941
746,0,-200,746,101,396,1548,86,202,1323,38,2016-09-01,604ea23f,47.0828687168589,-80.8879975247941
371,0,-200,371,73,718,861,24,121,896,20,2016-10-01,604ea23f,47.0828687168589,-80.8879975247941
87,0,-240,87,68,804,478,-27,64,696,10,2016-11-01,604ea23f,47.0828687168589,-80.8879975247941
0,0,-180,0,69,804,379,-147,-54,372,1,2016-12-01,604ea23f,47.0828687168589,-80.8879975247941
0,0,-130,0,60,804,520,-159,-54,397,0,2017-01-01,604ea23f,47.0828687168589,-80.8879975247941
