aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,68,0,20,156,355,-210,-113,194,0,2015-01-01,6241c5db,54.2269694785735,-104.647613917333
0,0,96,0,24,156,810,-265,-145,104,3,2015-02-01,6241c5db,54.2269694785735,-104.647613917333
0,0,70,0,19,156,1455,-126,-15,281,11,2015-03-01,6241c5db,54.2269694785735,-104.647613917333
86,0,93,237,38,699,2116,-55,70,373,33,2015-04-01,6241c5db,54.2269694785735,-104.647613917333
1120,48,-113,1168,18,627,2795,-8,146,486,64,2015-05-01,6241c5db,54.2269694785735,-104.647613917333
974,345,-155,1319,66,277,2706,72,213,1007,77,2015-06-01,6241c5db,54.2269694785735,-104.647613917333
957,404,-162,1361,92,193,2646,112,232,1328,77,2015-07-01,6241c5db,54.2269694785735,-104.647613917333
914,99,-102,1013,93,165,1995,92,216,1236,64,2015-08-01,6241c5db,54.2269694785735,-104.647613917333
524,0,50,524,79,392,1271,39,151,938,33,2015-09-01,6241c5db,54.2269694785735,-104.647613917333
287,0,126,294,49,575,769,-5,88,622,24,2015-10-01,6241c5db,54.2269694785735,-104.647613917333
0,0,149,0,30,575,365,-84,-13,381,6,2015-11-01,6241c5db,54.2269694785735,-104.647613917333
0,0,141,0,13,575,253,-154,-84,249,1,2015-12-01,6241c5db,54.2269694785735,-104.647613917333
0,0,140,0,20,485,366,-204,-105,202,3,2016-01-01,6241c5db,54.2269694785735,-104.647613917333
0,0,140,0,18,485,751,-193,-75,229,8,2016-02-01,6241c5db,54.2269694785735,-104.647613917333
0,0,190,0,37,485,1366,-122,-16,296,13,2016-03-01,6241c5db,54.2269694785735,-104.647613917333
86,0,180,86,27,640,2112,-66,63,382,34,2016-04-01,6241c5db,54.2269694785735,-104.647613917333
1066,0,140,1066,35,768,2413,28,167,699,74,2016-05-01,6241c5db,54.2269694785735,-104.647613917333
1030,218,100,1248,69,393,2603,80,210,1069,73,2016-06-01,6241c5db,54.2269694785735,-104.647613917333
1118,0,210,1118,142,626,2168,112,229,1428,64,2016-07-01,6241c5db,54.2269694785735,-104.647613917333
904,115,250,1019,80,481,1977,89,211,1218,58,2016-08-01,6241c5db,54.2269694785735,-104.647613917333
565,36,230,601,56,449,1295,39,158,933,38,2016-09-01,6241c5db,54.2269694785735,-104.647613917333
77,0,420,77,94,768,510,-22,37,575,11,2016-10-01,6241c5db,54.2269694785735,-104.647613917333
4,0,450,4,24,768,381,-55,20,465,10,2016-11-01,6241c5db,54.2269694785735,-104.647613917333
0,0,420,0,10,768,275,-220,-136,154,2,2016-12-01,6241c5db,54.2269694785735,-104.647613917333
0,0,400,0,18,768,393,-208,-109,201,1,2017-01-01,6241c5db,54.2269694785735,-104.647613917333
0,0,350,0,11,768,809,-185,-87,209,7,2017-02-01,6241c5db,54.2269694785735,-104.647613917333
0,0,360,0,36,768,1345,-163,-51,249,7,2017-03-01,6241c5db,54.2269694785735,-104.647613917333
53,0,370,53,37,768,2067,-59,50,412,27,2017-04-01,6241c5db,54.2269694785735,-104.647613917333
1024,0,410,1024,65,768,2175,19,150,589,58,2017-05-01,6241c5db,54.2269694785735,-104.647613917333
951,150,400,1101,73,510,2138,73,196,948,62,2017-06-01,6241c5db,54.2269694785735,-104.647613917333
874,587,280,1461,66,263,2747,113,251,1290,81,2017-07-01,6241c5db,54.2269694785735,-104.647613917333
389,801,140,1190,33,187,2214,83,229,1138,85,2017-08-01,6241c5db,54.2269694785735,-104.647613917333
486,202,80,688,47,146,1427,42,166,893,50,2017-09-01,6241c5db,54.2269694785735,-104.647613917333
274,0,90,274,49,318,718,-22,65,534,23,2017-10-01,6241c5db,54.2269694785735,-104.647613917333
0,0,80,0,26,318,396,-155,-76,245,6,2017-11-01,6241c5db,54.2269694785735,-104.647613917333
0,0,-190,0,10,318,293,-216,-118,194,1,2017-12-01,6241c5db,54.2269694785735,-104.647613917333
0,0,-150,0,31,318,353,-239,-141,161,2,2018-01-01,6241c5db,54.2269694785735,-104.647613917333
0,0,-170,0,6,318,913,-274,-148,78,4,2018-02-01,6241c5db,54.2269694785735,-104.647613917333
0,0,-80,0,42,318,1513,-174,-55,219,10,2018-03-01,6241c5db,54.2269694785735,-104.647613917333
0,0,-110,0,11,318,2270,-104,27,321,23,2018-04-01,6241c5db,54.2269694785735,-104.647613917333
1146,0,-160,1146,26,622,2513,26,183,679,86,2018-05-01,6241c5db,54.2269694785735,-104.647613917333
903,280,-200,1183,59,277,2299,86,213,1108,68,2018-06-01,6241c5db,54.2269694785735,-104.647613917333
1161,45,-120,1206,120,257,2264,108,228,1328,58,2018-07-01,6241c5db,54.2269694785735,-104.647613917333
624,381,-140,1005,58,184,1949,79,207,1177,57,2018-08-01,6241c5db,54.2269694785735,-104.647613917333
381,0,-90,381,54,314,1191,5,100,816,23,2018-09-01,6241c5db,54.2269694785735,-104.647613917333
36,0,40,36,28,339,828,-54,47,434,15,2018-10-01,6241c5db,54.2269694785735,-104.647613917333
0,0,110,0,32,339,357,-141,-75,275,3,2018-11-01,6241c5db,54.2269694785735,-104.647613917333
0,0,120,0,17,339,286,-180,-93,224,1,2018-12-01,6241c5db,54.2269694785735,-104.647613917333
0,0,160,0,26,339,363,-257,-148,113,2,2019-01-01,6241c5db,54.2269694785735,-104.647613917333
0,0,140,0,13,339,867,-295,-177,67,4,2019-02-01,6241c5db,54.2269694785735,-104.647613917333
0,0,70,0,9,339,1535,-137,-12,252,14,2019-03-01,6241c5db,54.2269694785735,-104.647613917333
125,0,80,125,29,561,2108,-56,60,371,30,2019-04-01,6241c5db,54.2269694785735,-104.647613917333
1073,0,60,1073,39,768,2571,6,135,485,61,2019-05-01,6241c5db,54.2269694785735,-104.647613917333
1017,36,120,1053,101,706,2330,68,190,983,62,2019-06-01,6241c5db,54.2269694785735,-104.647613917333
1042,70,160,1112,99,600,2289,99,218,1351,57,2019-07-01,6241c5db,54.2269694785735,-104.647613917333
899,0,250,899,106,709,1919,72,195,1225,42,2019-08-01,6241c5db,54.2269694785735,-104.647613917333
504,24,250,528,49,673,1153,38,150,926,33,2019-09-01,6241c5db,54.2269694785735,-104.647613917333
22,0,290,22,34,694,801,-56,37,418,18,2019-10-01,6241c5db,54.2269694785735,-104.647613917333
0,0,280,0,15,694,386,-137,-58,266,4,2019-11-01,6241c5db,54.2269694785735,-104.647613917333
0,0,290,0,15,694,273,-213,-114,160,3,2019-12-01,6241c5db,54.2269694785735,-104.647613917333
