aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,102,0,57,834,569,-213,-86,262,0,2015-01-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,61,0,42,834,1103,-249,-133,182,0,2015-02-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,-163,0,36,834,1657,-135,-21,361,1,2015-03-01,6243f4ac,46.5250896358972,-80.0456315311647
442,0,-155,492,61,834,2034,-29,83,605,19,2015-04-01,6243f4ac,46.5250896358972,-80.0456315311647
1026,0,-125,1026,90,834,2125,64,194,1108,51,2015-05-01,6243f4ac,46.5250896358972,-80.0456315311647
934,74,-63,1008,85,706,2342,94,209,1435,40,2015-06-01,6243f4ac,46.5250896358972,-80.0456315311647
1018,275,14,1293,69,340,2488,129,251,1671,67,2015-07-01,6243f4ac,46.5250896358972,-80.0456315311647
886,130,-34,1016,86,274,1865,133,231,1561,62,2015-08-01,6243f4ac,46.5250896358972,-80.0456315311647
716,38,-121,753,74,260,1638,107,216,1475,47,2015-09-01,6243f4ac,46.5250896358972,-80.0456315311647
314,0,-143,314,105,834,955,23,116,891,16,2015-10-01,6243f4ac,46.5250896358972,-80.0456315311647
67,0,-153,71,73,834,557,-10,75,789,2,2015-11-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,114,1,113,834,337,-47,11,693,0,2015-12-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,100,0,68,834,491,-156,-56,335,0,2016-01-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,120,0,68,834,838,-155,-44,329,2,2016-02-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,160,0,86,834,1455,-83,27,500,9,2016-03-01,6243f4ac,46.5250896358972,-80.0456315311647
265,0,190,265,67,834,2147,-44,65,464,25,2016-04-01,6243f4ac,46.5250896358972,-80.0456315311647
1002,0,140,1002,71,834,2429,46,177,897,57,2016-05-01,6243f4ac,46.5250896358972,-80.0456315311647
1030,234,60,1264,66,432,2647,98,219,1192,72,2016-06-01,6243f4ac,46.5250896358972,-80.0456315311647
900,431,-130,1331,76,257,2444,146,256,1653,77,2016-07-01,6243f4ac,46.5250896358972,-80.0456315311647
961,147,-160,1108,96,204,1966,150,256,1786,69,2016-08-01,6243f4ac,46.5250896358972,-80.0456315311647
807,0,-190,807,101,357,1588,105,211,1380,40,2016-09-01,6243f4ac,46.5250896358972,-80.0456315311647
398,0,-210,398,98,834,897,40,129,956,23,2016-10-01,6243f4ac,46.5250896358972,-80.0456315311647
145,0,-220,145,81,834,516,-11,74,732,11,2016-11-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,-180,0,78,834,393,-115,-37,402,2,2016-12-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,-140,0,80,834,528,-128,-39,423,0,2017-01-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,-70,0,73,834,789,-122,-17,409,4,2017-02-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,10,0,72,834,1531,-113,-12,380,9,2017-03-01,6243f4ac,46.5250896358972,-80.0456315311647
473,0,110,473,79,834,1621,-2,107,727,26,2017-04-01,6243f4ac,46.5250896358972,-80.0456315311647
786,0,130,786,85,834,1807,47,154,927,36,2017-05-01,6243f4ac,46.5250896358972,-80.0456315311647
1077,69,170,1146,101,716,2182,111,217,1182,50,2017-06-01,6243f4ac,46.5250896358972,-80.0456315311647
1036,185,210,1221,83,465,2429,133,240,1619,69,2017-07-01,6243f4ac,46.5250896358972,-80.0456315311647
937,0,250,937,111,577,1852,118,219,1526,48,2017-08-01,6243f4ac,46.5250896358972,-80.0456315311647
698,0,220,698,86,698,1637,95,209,1456,37,2017-09-01,6243f4ac,46.5250896358972,-80.0456315311647
380,0,310,380,134,834,949,49,144,1080,30,2017-10-01,6243f4ac,46.5250896358972,-80.0456315311647
9,0,330,9,97,834,437,-48,29,562,8,2017-11-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,290,0,70,834,471,-153,-66,352,0,2017-12-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,270,0,73,834,504,-177,-67,321,1,2018-01-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,250,0,58,834,841,-151,-36,379,4,2018-02-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,210,0,60,834,1618,-118,-19,350,9,2018-03-01,6243f4ac,46.5250896358972,-80.0456315311647
36,0,310,36,76,834,1885,-61,46,454,21,2018-04-01,6243f4ac,46.5250896358972,-80.0456315311647
1014,0,270,1014,85,834,2360,65,203,1082,72,2018-05-01,6243f4ac,46.5250896358972,-80.0456315311647
959,207,200,1166,63,478,2614,102,220,1374,89,2018-06-01,6243f4ac,46.5250896358972,-80.0456315311647
858,514,130,1372,68,269,2551,149,264,1693,100,2018-07-01,6243f4ac,46.5250896358972,-80.0456315311647
913,139,70,1052,91,216,2066,143,247,1813,72,2018-08-01,6243f4ac,46.5250896358972,-80.0456315311647
659,0,-140,659,97,479,1511,104,205,1541,40,2018-09-01,6243f4ac,46.5250896358972,-80.0456315311647
252,0,70,252,129,834,713,21,97,900,22,2018-10-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,100,0,91,834,449,-58,-2,522,5,2018-11-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,90,0,72,834,445,-113,-24,462,0,2018-12-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,130,0,90,834,570,-214,-105,198,0,2019-01-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,250,0,105,834,861,-181,-68,238,2,2019-02-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,170,0,46,834,1472,-126,-18,309,8,2019-03-01,6243f4ac,46.5250896358972,-80.0456315311647
298,0,330,298,125,834,1611,-38,71,531,21,2019-04-01,6243f4ac,46.5250896358972,-80.0456315311647
798,0,430,798,137,834,1866,26,150,799,43,2019-05-01,6243f4ac,46.5250896358972,-80.0456315311647
1048,57,450,1105,100,737,2480,96,213,1253,62,2019-06-01,6243f4ac,46.5250896358972,-80.0456315311647
1079,326,410,1405,68,305,2659,149,262,1689,87,2019-07-01,6243f4ac,46.5250896358972,-80.0456315311647
532,673,210,1205,46,211,2251,127,236,1462,74,2019-08-01,6243f4ac,46.5250896358972,-80.0456315311647
636,0,240,636,128,787,1394,86,189,1325,33,2019-09-01,6243f4ac,46.5250896358972,-80.0456315311647
395,0,420,395,189,834,845,25,115,828,22,2019-10-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,450,0,105,834,564,-75,-3,431,4,2019-11-01,6243f4ac,46.5250896358972,-80.0456315311647
0,0,350,0,54,834,414,-109,-18,387,2,2019-12-01,6243f4ac,46.5250896358972,-80.0456315311647
