aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,175,0,124,217,413,-265,-152,80,5,2015-01-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,235,0,99,217,808,-277,-159,66,5,2015-02-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,119,0,37,217,1483,-204,-80,125,10,2015-03-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,137,0,69,217,1776,-100,-6,303,14,2015-04-01,62de0ecd,52.9341141175229,-59.8379465156631
475,0,125,567,88,217,2068,-27,74,490,28,2015-05-01,62de0ecd,52.9341141175229,-59.8379465156631
907,0,-102,907,73,217,2069,35,149,778,46,2015-06-01,62de0ecd,52.9341141175229,-59.8379465156631
763,12,-151,775,78,197,1812,64,152,1030,32,2015-07-01,62de0ecd,52.9341141175229,-59.8379465156631
676,0,-210,676,83,217,1567,65,167,1137,30,2015-08-01,62de0ecd,52.9341141175229,-59.8379465156631
489,0,-214,489,96,217,1205,28,127,828,28,2015-09-01,62de0ecd,52.9341141175229,-59.8379465156631
72,0,-247,149,73,217,737,-25,47,487,20,2015-10-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-272,0,78,217,339,-93,-19,304,11,2015-11-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-350,0,40,217,306,-158,-69,183,9,2015-12-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-350,0,62,217,388,-198,-101,130,8,2016-01-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-250,0,90,217,770,-215,-90,150,8,2016-02-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-250,0,70,217,1503,-191,-69,117,11,2016-03-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-190,0,68,217,1595,-98,-1,309,15,2016-04-01,62de0ecd,52.9341141175229,-59.8379465156631
621,0,-230,621,69,217,2020,-20,90,549,31,2016-05-01,62de0ecd,52.9341141175229,-59.8379465156631
795,0,-70,795,174,217,1963,29,136,777,39,2016-06-01,62de0ecd,52.9341141175229,-59.8379465156631
848,0,-100,848,102,217,1996,67,170,1076,38,2016-07-01,62de0ecd,52.9341141175229,-59.8379465156631
799,0,-80,799,122,217,1616,68,176,1042,40,2016-08-01,62de0ecd,52.9341141175229,-59.8379465156631
537,0,-100,537,99,217,1164,21,120,732,26,2016-09-01,62de0ecd,52.9341141175229,-59.8379465156631
183,0,140,183,144,217,652,-25,51,494,19,2016-10-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,90,0,84,217,336,-77,-3,385,8,2016-11-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-110,0,56,217,300,-200,-102,107,7,2016-12-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-120,0,68,217,401,-200,-101,135,7,2017-01-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-120,0,60,217,818,-214,-106,130,7,2017-02-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-110,0,77,217,1418,-178,-61,146,11,2017-03-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-140,0,37,217,1970,-94,6,280,17,2017-04-01,62de0ecd,52.9341141175229,-59.8379465156631
537,0,-100,537,99,217,2073,-31,75,470,23,2017-05-01,62de0ecd,52.9341141175229,-59.8379465156631
734,0,-100,734,93,217,1849,27,134,787,34,2017-06-01,62de0ecd,52.9341141175229,-59.8379465156631
918,0,-120,918,114,217,2019,65,179,1064,45,2017-07-01,62de0ecd,52.9341141175229,-59.8379465156631
771,0,-80,771,128,217,1627,66,175,1091,40,2017-08-01,62de0ecd,52.9341141175229,-59.8379465156631
537,0,-70,537,110,217,1230,30,131,818,29,2017-09-01,62de0ecd,52.9341141175229,-59.8379465156631
404,0,-190,404,66,217,711,-2,84,574,24,2017-10-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-80,0,142,217,358,-87,-9,306,11,2017-11-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,120,0,113,217,248,-154,-64,194,9,2017-12-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,130,0,87,217,389,-221,-123,115,6,2018-01-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,130,0,70,217,840,-242,-111,81,7,2018-02-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,-80,0,41,217,1261,-91,-10,276,10,2018-03-01,62de0ecd,52.9341141175229,-59.8379465156631
0,0,10,0,60,217,1829,-100,-2,240,16,2018-04-01,62de0ecd,52.9341141175229,-59.8379465156631
102,0,30,102,59,217,2345,-51,50,430,25,2018-05-01,62de0ecd,52.9341141175229,-59.8379465156631
760,0,-70,760,81,217,2223,7,120,695,38,2018-06-01,62de0ecd,52.9341141175229,-59.8379465156631
1007,0,20,1007,142,217,2163,72,201,1147,53,2018-07-01,62de0ecd,52.9341141175229,-59.8379465156631
