aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,86,0,59,330,603,-275,-132,135,1,2015-01-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-54,0,22,330,1135,-317,-170,87,2,2015-02-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-99,0,39,330,1675,-203,-49,206,7,2015-03-01,62eabed5,48.8232786429107,-75.5465914392007
5,0,-79,49,43,330,1866,-68,57,439,21,2015-04-01,62eabed5,48.8232786429107,-75.5465914392007
1061,0,-120,1061,64,330,2187,34,179,783,64,2015-05-01,62eabed5,48.8232786429107,-75.5465914392007
1006,52,-151,1059,96,240,2352,67,202,1112,57,2015-06-01,62eabed5,48.8232786429107,-75.5465914392007
1049,0,-140,1049,120,328,2086,107,224,1438,57,2015-07-01,62eabed5,48.8232786429107,-75.5465914392007
829,0,-165,829,103,330,1639,115,210,1435,50,2015-08-01,62eabed5,48.8232786429107,-75.5465914392007
652,8,-303,659,67,318,1686,80,194,1262,41,2015-09-01,62eabed5,48.8232786429107,-75.5465914392007
217,0,-304,232,71,330,863,-11,73,648,15,2015-10-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-357,4,56,330,407,-48,29,571,2,2015-11-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-316,0,69,330,322,-96,-33,442,0,2015-12-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-290,0,51,330,496,-206,-95,225,4,2016-01-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-230,0,44,330,950,-228,-86,202,4,2016-02-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-180,0,52,330,1539,-150,-7,296,11,2016-03-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-140,0,41,330,2157,-89,42,346,18,2016-04-01,62eabed5,48.8232786429107,-75.5465914392007
870,0,-140,870,69,330,2302,17,156,744,48,2016-05-01,62eabed5,48.8232786429107,-75.5465914392007
1037,0,-80,1037,132,330,2180,80,204,1079,62,2016-06-01,62eabed5,48.8232786429107,-75.5465914392007
1042,0,180,1042,145,330,2089,116,228,1441,57,2016-07-01,62eabed5,48.8232786429107,-75.5465914392007
931,0,140,931,103,330,1816,113,227,1479,49,2016-08-01,62eabed5,48.8232786429107,-75.5465914392007
662,0,90,662,112,330,1524,71,181,1128,32,2016-09-01,62eabed5,48.8232786429107,-75.5465914392007
318,0,100,318,97,330,788,11,95,750,17,2016-10-01,62eabed5,48.8232786429107,-75.5465914392007
6,0,70,6,77,330,350,-44,21,551,7,2016-11-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-30,0,59,330,368,-172,-81,267,2,2016-12-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,10,0,55,330,537,-184,-80,265,4,2017-01-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-50,0,35,330,911,-202,-71,242,4,2017-02-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-10,0,54,330,1597,-182,-43,233,9,2017-03-01,62eabed5,48.8232786429107,-75.5465914392007
297,0,-30,297,54,330,1721,-37,72,533,21,2017-04-01,62eabed5,48.8232786429107,-75.5465914392007
688,0,50,688,77,330,1687,23,138,783,32,2017-05-01,62eabed5,48.8232786429107,-75.5465914392007
969,33,-10,1002,96,274,2240,81,202,1134,58,2017-06-01,62eabed5,48.8232786429107,-75.5465914392007
1155,62,-30,1217,113,194,2640,100,226,1350,66,2017-07-01,62eabed5,48.8232786429107,-75.5465914392007
807,0,0,807,110,330,1700,84,197,1299,34,2017-08-01,62eabed5,48.8232786429107,-75.5465914392007
568,0,0,568,116,330,1475,74,181,1242,35,2017-09-01,62eabed5,48.8232786429107,-75.5465914392007
339,0,20,339,96,330,866,26,119,875,24,2017-10-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-10,0,80,330,384,-91,-6,413,5,2017-11-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-30,0,58,330,430,-208,-113,232,1,2017-12-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,40,0,63,330,560,-237,-114,186,4,2018-01-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-10,0,35,330,908,-212,-72,222,4,2018-02-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-20,0,39,330,1526,-160,-35,263,11,2018-03-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,40,0,47,330,2036,-90,29,365,22,2018-04-01,62eabed5,48.8232786429107,-75.5465914392007
1000,0,-30,1000,72,330,2540,21,171,753,63,2018-05-01,62eabed5,48.8232786429107,-75.5465914392007
1105,70,-90,1175,104,210,2667,71,207,1033,81,2018-06-01,62eabed5,48.8232786429107,-75.5465914392007
1153,79,-140,1232,114,140,2367,126,253,1516,85,2018-07-01,62eabed5,48.8232786429107,-75.5465914392007
955,0,-190,955,102,149,1929,108,228,1477,51,2018-08-01,62eabed5,48.8232786429107,-75.5465914392007
615,0,-240,615,123,330,1498,67,181,1214,37,2018-09-01,62eabed5,48.8232786429107,-75.5465914392007
226,0,-180,226,93,330,715,-10,59,650,15,2018-10-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-170,0,80,330,396,-97,-35,413,3,2018-11-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-180,0,60,330,395,-180,-70,282,2,2018-12-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,-150,0,53,330,593,-267,-146,109,3,2019-01-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,130,0,73,330,993,-244,-109,139,4,2019-02-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,100,0,38,330,1489,-169,-37,197,12,2019-03-01,62eabed5,48.8232786429107,-75.5465914392007
27,0,280,27,101,330,1711,-68,47,390,22,2019-04-01,62eabed5,48.8232786429107,-75.5465914392007
707,0,290,707,75,330,2055,-12,117,618,35,2019-05-01,62eabed5,48.8232786429107,-75.5465914392007
1001,0,350,1001,135,330,2335,70,195,1032,61,2019-06-01,62eabed5,48.8232786429107,-75.5465914392007
1073,162,240,1235,91,122,2460,122,241,1483,74,2019-07-01,62eabed5,48.8232786429107,-75.5465914392007
886,0,190,886,116,330,1886,94,208,1411,41,2019-08-01,62eabed5,48.8232786429107,-75.5465914392007
511,0,140,511,98,330,1262,57,157,1096,26,2019-09-01,62eabed5,48.8232786429107,-75.5465914392007
307,0,120,307,87,330,803,8,89,713,18,2019-10-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,150,0,94,330,514,-106,-35,342,3,2019-11-01,62eabed5,48.8232786429107,-75.5465914392007
0,0,170,0,79,330,399,-168,-68,244,2,2019-12-01,62eabed5,48.8232786429107,-75.5465914392007
