aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,144,0,14,544,387,-250,-148,154,0,2015-01-01,630183a8,53.757560688777,-95.93450178494
0,0,170,0,27,544,936,-301,-191,62,3,2015-02-01,630183a8,53.757560688777,-95.93450178494
0,0,118,0,17,544,1441,-166,-34,255,7,2015-03-01,630183a8,53.757560688777,-95.93450178494
9,0,66,74,14,559,2023,-67,60,389,27,2015-04-01,630183a8,53.757560688777,-95.93450178494
1011,0,-7,1011,36,559,2570,1,134,587,49,2015-05-01,630183a8,53.757560688777,-95.93450178494
795,390,-146,1186,47,206,2599,82,202,1121,61,2015-06-01,630183a8,53.757560688777,-95.93450178494
904,351,-101,1255,89,142,2477,125,234,1522,65,2015-07-01,630183a8,53.757560688777,-95.93450178494
867,0,161,867,128,489,1592,116,216,1470,51,2015-08-01,630183a8,53.757560688777,-95.93450178494
478,10,144,489,49,474,1160,77,162,1183,27,2015-09-01,630183a8,53.757560688777,-95.93450178494
231,0,186,238,62,559,696,1,77,677,16,2015-10-01,630183a8,53.757560688777,-95.93450178494
0,0,272,0,58,559,329,-68,-18,440,1,2015-11-01,630183a8,53.757560688777,-95.93450178494
0,0,317,0,41,559,263,-141,-78,296,0,2015-12-01,630183a8,53.757560688777,-95.93450178494
0,0,290,0,20,559,350,-223,-136,188,0,2016-01-01,630183a8,53.757560688777,-95.93450178494
0,0,250,0,17,559,859,-227,-111,165,3,2016-02-01,630183a8,53.757560688777,-95.93450178494
0,0,220,0,23,559,1524,-147,-14,296,10,2016-03-01,630183a8,53.757560688777,-95.93450178494
18,0,230,18,30,559,2265,-85,46,358,26,2016-04-01,630183a8,53.757560688777,-95.93450178494
978,0,230,978,51,559,2374,31,155,724,63,2016-05-01,630183a8,53.757560688777,-95.93450178494
941,162,240,1103,70,281,2450,85,197,1138,69,2016-06-01,630183a8,53.757560688777,-95.93450178494
821,264,230,1085,75,170,2131,124,230,1554,71,2016-07-01,630183a8,53.757560688777,-95.93450178494
854,97,230,951,86,135,1807,114,219,1463,56,2016-08-01,630183a8,53.757560688777,-95.93450178494
505,0,200,505,66,255,1127,71,155,1141,31,2016-09-01,630183a8,53.757560688777,-95.93450178494
167,0,180,167,46,517,412,-4,53,680,7,2016-10-01,630183a8,53.757560688777,-95.93450178494
4,0,150,4,36,549,370,-44,19,527,4,2016-11-01,630183a8,53.757560688777,-95.93450178494
0,0,150,0,27,549,280,-213,-139,173,0,2016-12-01,630183a8,53.757560688777,-95.93450178494
0,0,130,0,20,549,351,-219,-128,202,0,2017-01-01,630183a8,53.757560688777,-95.93450178494
0,0,100,0,16,549,896,-203,-104,195,1,2017-02-01,630183a8,53.757560688777,-95.93450178494
0,0,80,0,23,549,1484,-188,-53,230,5,2017-03-01,630183a8,53.757560688777,-95.93450178494
37,0,80,37,25,559,2082,-71,54,398,26,2017-04-01,630183a8,53.757560688777,-95.93450178494
864,0,100,864,40,559,2195,17,126,624,55,2017-05-01,630183a8,53.757560688777,-95.93450178494
859,147,120,1006,64,307,2103,82,192,1064,62,2017-06-01,630183a8,53.757560688777,-95.93450178494
823,498,80,1321,73,177,2659,116,238,1443,91,2017-07-01,630183a8,53.757560688777,-95.93450178494
738,339,-40,1077,73,129,2150,101,219,1303,83,2017-08-01,630183a8,53.757560688777,-95.93450178494
564,0,0,564,73,258,1235,67,157,1080,37,2017-09-01,630183a8,53.757560688777,-95.93450178494
262,0,-80,262,47,441,562,-4,67,650,15,2017-10-01,630183a8,53.757560688777,-95.93450178494
0,0,-110,0,35,441,392,-149,-73,267,4,2017-11-01,630183a8,53.757560688777,-95.93450178494
0,0,-100,0,24,441,302,-234,-148,163,0,2017-12-01,630183a8,53.757560688777,-95.93450178494
0,0,-90,0,20,441,382,-261,-161,138,0,2018-01-01,630183a8,53.757560688777,-95.93450178494
0,0,-90,0,16,441,931,-289,-158,86,1,2018-02-01,630183a8,53.757560688777,-95.93450178494
0,0,-100,0,21,441,1574,-184,-46,207,8,2018-03-01,630183a8,53.757560688777,-95.93450178494
0,0,-100,0,21,441,2393,-123,22,288,24,2018-04-01,630183a8,53.757560688777,-95.93450178494
1033,0,-100,1033,43,559,2535,26,171,734,68,2018-05-01,630183a8,53.757560688777,-95.93450178494
906,165,-80,1071,66,276,2208,101,209,1252,78,2018-06-01,630183a8,53.757560688777,-95.93450178494
807,357,-80,1164,74,169,2185,124,233,1520,69,2018-07-01,630183a8,53.757560688777,-95.93450178494
761,247,-90,1008,76,125,2068,109,215,1429,73,2018-08-01,630183a8,53.757560688777,-95.93450178494
410,0,40,410,74,416,1221,34,115,941,22,2018-09-01,630183a8,53.757560688777,-95.93450178494
18,0,130,18,52,487,667,-38,26,520,9,2018-10-01,630183a8,53.757560688777,-95.93450178494
0,0,150,0,33,487,372,-153,-86,267,1,2018-11-01,630183a8,53.757560688777,-95.93450178494
0,0,140,0,25,487,293,-180,-105,223,0,2018-12-01,630183a8,53.757560688777,-95.93450178494
0,0,170,0,30,487,434,-282,-180,105,0,2019-01-01,630183a8,53.757560688777,-95.93450178494
0,0,120,0,13,487,921,-281,-164,107,1,2019-02-01,630183a8,53.757560688777,-95.93450178494
0,0,60,0,13,487,1473,-166,-29,251,8,2019-03-01,630183a8,53.757560688777,-95.93450178494
42,0,-10,42,21,559,2110,-68,52,343,29,2019-04-01,630183a8,53.757560688777,-95.93450178494
966,0,-80,966,37,559,2509,8,126,542,52,2019-05-01,630183a8,53.757560688777,-95.93450178494
620,595,-200,1215,28,206,2636,94,203,1027,76,2019-06-01,630183a8,53.757560688777,-95.93450178494
822,499,-200,1321,80,142,2332,137,245,1493,84,2019-07-01,630183a8,53.757560688777,-95.93450178494
1036,0,-110,1036,110,149,1771,117,221,1420,61,2019-08-01,630183a8,53.757560688777,-95.93450178494
387,169,-190,556,37,114,1217,71,156,1072,32,2019-09-01,630183a8,53.757560688777,-95.93450178494
142,0,160,142,103,559,590,-22,50,591,11,2019-10-01,630183a8,53.757560688777,-95.93450178494
0,0,190,0,36,559,412,-129,-63,292,1,2019-11-01,630183a8,53.757560688777,-95.93450178494
0,0,160,0,20,559,282,-211,-127,169,0,2019-12-01,630183a8,53.757560688777,-95.93450178494
