aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-167,0,109,508,420,-148,-43,276,5,2015-01-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,-150,0,108,508,796,-181,-75,222,3,2015-02-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,-282,0,36,508,1298,-128,-29,254,11,2015-03-01,65283eb3,48.8617802306598,-55.3477481347293
2,0,-223,26,85,508,1791,-54,33,443,15,2015-04-01,65283eb3,48.8617802306598,-55.3477481347293
919,0,-233,919,80,508,2302,5,128,652,41,2015-05-01,65283eb3,48.8617802306598,-55.3477481347293
1081,7,-185,1088,113,497,2250,56,179,887,60,2015-06-01,65283eb3,48.8617802306598,-55.3477481347293
687,436,-219,1124,40,187,2055,101,208,1210,64,2015-07-01,65283eb3,48.8617802306598,-55.3477481347293
761,235,-273,996,74,129,1842,101,217,1345,58,2015-08-01,65283eb3,48.8617802306598,-55.3477481347293
689,0,-151,689,176,508,1243,68,176,1063,45,2015-09-01,65283eb3,48.8617802306598,-55.3477481347293
429,0,176,434,157,508,824,12,107,705,27,2015-10-01,65283eb3,48.8617802306598,-55.3477481347293
54,0,224,122,141,508,488,-27,46,488,19,2015-11-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,107,0,73,508,348,-60,12,397,13,2015-12-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,-180,0,63,508,420,-101,-16,305,7,2016-01-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,-160,0,110,508,711,-125,-25,309,3,2016-02-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,-120,0,114,508,1319,-112,-16,288,12,2016-03-01,65283eb3,48.8617802306598,-55.3477481347293
118,0,-70,118,96,508,1582,-41,48,450,18,2016-04-01,65283eb3,48.8617802306598,-55.3477481347293
837,0,-170,837,37,508,1899,21,130,660,33,2016-05-01,65283eb3,48.8617802306598,-55.3477481347293
972,0,-120,972,114,508,1997,62,172,923,49,2016-06-01,65283eb3,48.8617802306598,-55.3477481347293
1085,61,-70,1146,103,403,2044,110,221,1286,61,2016-07-01,65283eb3,48.8617802306598,-55.3477481347293
915,162,-130,1077,76,207,1826,112,222,1321,64,2016-08-01,65283eb3,48.8617802306598,-55.3477481347293
675,0,-70,675,142,508,1226,63,163,1009,26,2016-09-01,65283eb3,48.8617802306598,-55.3477481347293
427,0,100,427,136,508,779,18,108,743,20,2016-10-01,65283eb3,48.8617802306598,-55.3477481347293
226,0,90,226,121,508,361,-9,61,586,7,2016-11-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,-40,0,92,508,331,-96,-13,347,5,2016-12-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,20,0,117,508,477,-104,-17,315,6,2017-01-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,110,0,140,508,794,-130,-43,297,3,2017-02-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,90,0,96,508,1162,-103,-15,300,10,2017-03-01,65283eb3,48.8617802306598,-55.3477481347293
110,0,140,110,107,508,1729,-40,45,438,14,2017-04-01,65283eb3,48.8617802306598,-55.3477481347293
833,0,120,833,87,508,2239,6,116,610,29,2017-05-01,65283eb3,48.8617802306598,-55.3477481347293
902,74,80,976,77,382,2109,59,173,935,52,2017-06-01,65283eb3,48.8617802306598,-55.3477481347293
882,386,-40,1268,72,180,2439,112,225,1286,79,2017-07-01,65283eb3,48.8617802306598,-55.3477481347293
886,228,-140,1114,88,126,1914,115,224,1311,60,2017-08-01,65283eb3,48.8617802306598,-55.3477481347293
557,154,-250,711,56,99,1226,65,172,1032,25,2017-09-01,65283eb3,48.8617802306598,-55.3477481347293
537,25,-380,562,56,93,885,35,132,765,23,2017-10-01,65283eb3,48.8617802306598,-55.3477481347293
178,0,-380,178,167,508,516,-28,57,520,13,2017-11-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,-190,0,170,508,316,-61,15,407,7,2017-12-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,340,0,198,508,427,-117,-27,305,7,2018-01-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,440,0,170,508,711,-160,-50,267,6,2018-02-01,65283eb3,48.8617802306598,-55.3477481347293
67,0,370,67,100,508,1112,-31,28,380,7,2018-03-01,65283eb3,48.8617802306598,-55.3477481347293
55,0,360,55,85,508,1881,-48,39,428,19,2018-04-01,65283eb3,48.8617802306598,-55.3477481347293
715,0,320,715,81,508,2089,-6,99,608,39,2018-05-01,65283eb3,48.8617802306598,-55.3477481347293
900,0,300,900,92,508,2028,41,161,873,41,2018-06-01,65283eb3,48.8617802306598,-55.3477481347293
1128,190,270,1318,85,187,2185,119,244,1346,76,2018-07-01,65283eb3,48.8617802306598,-55.3477481347293
1065,60,220,1125,109,160,1796,119,232,1371,73,2018-08-01,65283eb3,48.8617802306598,-55.3477481347293
710,0,170,710,98,384,1361,59,165,1002,36,2018-09-01,65283eb3,48.8617802306598,-55.3477481347293
303,0,150,303,110,508,650,4,86,735,17,2018-10-01,65283eb3,48.8617802306598,-55.3477481347293
9,0,160,9,109,508,426,-44,27,546,9,2018-11-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,140,0,109,508,349,-77,3,407,4,2018-12-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,200,0,140,508,408,-121,-22,338,4,2019-01-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,80,0,65,508,861,-164,-64,242,3,2019-02-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,-220,0,41,508,1443,-97,-4,295,15,2019-03-01,65283eb3,48.8617802306598,-55.3477481347293
149,0,-140,149,109,508,1516,-35,48,477,19,2019-04-01,65283eb3,48.8617802306598,-55.3477481347293
629,0,-110,629,79,508,1704,-11,95,609,27,2019-05-01,65283eb3,48.8617802306598,-55.3477481347293
861,0,180,861,139,508,1954,56,174,993,46,2019-06-01,65283eb3,48.8617802306598,-55.3477481347293
962,115,200,1077,80,310,2160,100,214,1276,62,2019-07-01,65283eb3,48.8617802306598,-55.3477481347293
684,409,80,1093,57,168,1844,126,233,1468,70,2019-08-01,65283eb3,48.8617802306598,-55.3477481347293
604,0,100,604,133,508,1256,57,155,1042,30,2019-09-01,65283eb3,48.8617802306598,-55.3477481347293
344,0,-150,344,52,508,880,18,101,789,18,2019-10-01,65283eb3,48.8617802306598,-55.3477481347293
91,0,230,91,205,508,380,-24,46,584,10,2019-11-01,65283eb3,48.8617802306598,-55.3477481347293
0,0,220,0,114,508,298,-75,5,426,7,2019-12-01,65283eb3,48.8617802306598,-55.3477481347293
