aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,327,0,90,386,530,-214,-95,158,5,2015-01-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,240,0,42,386,1084,-245,-120,99,7,2015-02-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,172,0,46,386,1606,-159,-24,218,13,2015-03-01,65a1b2d3,48.1860249477208,-67.3185239183287
9,0,162,67,52,386,1788,-57,52,428,22,2015-04-01,65a1b2d3,48.1860249477208,-67.3185239183287
1056,0,92,1056,71,386,2236,27,170,779,57,2015-05-01,65a1b2d3,48.1860249477208,-67.3185239183287
1042,0,136,1042,128,386,2177,68,193,1021,60,2015-06-01,65a1b2d3,48.1860249477208,-67.3185239183287
1066,67,113,1133,100,271,2157,106,228,1364,67,2015-07-01,65a1b2d3,48.1860249477208,-67.3185239183287
1036,62,87,1097,102,208,1979,124,246,1514,76,2015-08-01,65a1b2d3,48.1860249477208,-67.3185239183287
717,0,-102,717,88,322,1603,74,202,1213,49,2015-09-01,65a1b2d3,48.1860249477208,-67.3185239183287
398,0,-122,405,86,386,967,-6,98,607,29,2015-10-01,65a1b2d3,48.1860249477208,-67.3185239183287
23,0,-178,65,78,386,480,-28,41,511,15,2015-11-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,-97,0,125,386,342,-72,-8,422,5,2015-12-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,-130,0,52,386,559,-158,-60,210,7,2016-01-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,120,0,115,386,846,-166,-37,273,6,2016-02-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,220,0,108,386,1466,-119,6,294,12,2016-03-01,65a1b2d3,48.1860249477208,-67.3185239183287
54,0,200,54,53,386,2280,-68,56,386,22,2016-04-01,65a1b2d3,48.1860249477208,-67.3185239183287
895,0,150,895,78,386,2202,23,159,751,41,2016-05-01,65a1b2d3,48.1860249477208,-67.3185239183287
1079,0,190,1079,120,386,2045,77,209,1049,53,2016-06-01,65a1b2d3,48.1860249477208,-67.3185239183287
1184,0,260,1184,160,386,2197,115,243,1433,58,2016-07-01,65a1b2d3,48.1860249477208,-67.3185239183287
1149,0,260,1149,124,386,1927,119,252,1392,68,2016-08-01,65a1b2d3,48.1860249477208,-67.3185239183287
697,30,180,727,68,333,1441,63,192,1094,36,2016-09-01,65a1b2d3,48.1860249477208,-67.3185239183287
437,0,180,437,108,386,845,13,119,738,26,2016-10-01,65a1b2d3,48.1860249477208,-67.3185239183287
109,0,130,109,100,386,407,-19,45,549,11,2016-11-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,110,0,95,386,377,-134,-40,262,6,2016-12-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,140,0,96,386,526,-149,-51,263,5,2017-01-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,130,0,65,386,922,-159,-42,273,7,2017-02-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,160,0,84,386,1489,-139,-22,224,11,2017-03-01,65a1b2d3,48.1860249477208,-67.3185239183287
294,0,180,294,84,386,1656,-30,66,556,18,2017-04-01,65a1b2d3,48.1860249477208,-67.3185239183287
830,0,210,830,116,386,1963,26,145,751,42,2017-05-01,65a1b2d3,48.1860249477208,-67.3185239183287
1030,39,220,1069,101,319,2362,75,209,1161,58,2017-06-01,65a1b2d3,48.1860249477208,-67.3185239183287
913,356,120,1269,77,139,2557,102,241,1404,71,2017-07-01,65a1b2d3,48.1860249477208,-67.3185239183287
812,296,-160,1108,81,97,2065,99,232,1296,67,2017-08-01,65a1b2d3,48.1860249477208,-67.3185239183287
656,0,-200,656,78,180,1365,72,202,1217,38,2017-09-01,65a1b2d3,48.1860249477208,-67.3185239183287
495,0,-130,495,154,386,948,32,145,874,30,2017-10-01,65a1b2d3,48.1860249477208,-67.3185239183287
11,0,-110,11,107,386,543,-62,32,421,12,2017-11-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,-110,0,94,386,414,-148,-56,240,5,2017-12-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,180,0,141,386,572,-189,-75,210,5,2018-01-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,160,0,64,386,927,-160,-30,287,8,2018-02-01,65a1b2d3,48.1860249477208,-67.3185239183287
0,0,120,0,56,386,1290,-87,3,307,11,2018-03-01,65a1b2d3,48.1860249477208,-67.3185239183287
30,0,210,30,87,386,1886,-65,43,390,19,2018-04-01,65a1b2d3,48.1860249477208,-67.3185239183287
1041,0,130,1041,73,386,2653,14,162,704,55,2018-05-01,65a1b2d3,48.1860249477208,-67.3185239183287
1079,67,100,1146,101,270,2444,63,207,985,60,2018-06-01,65a1b2d3,48.1860249477208,-67.3185239183287
811,528,-200,1339,71,134,2499,122,265,1563,90,2018-07-01,65a1b2d3,48.1860249477208,-67.3185239183287
