aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-327,0,16,381,343,-271,-162,127,0,2015-01-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-329,0,10,381,832,-319,-214,45,3,2015-02-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-298,0,22,381,1457,-200,-62,207,5,2015-03-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-160,0,49,381,2026,-99,27,356,16,2015-04-01,65efeb1e,55.8268822820108,-95.7622653245627
922,0,-252,941,20,437,2653,-25,113,482,44,2015-05-01,65efeb1e,55.8268822820108,-95.7622653245627
1005,135,-216,1141,78,204,2524,63,190,987,59,2015-06-01,65efeb1e,55.8268822820108,-95.7622653245627
746,459,-238,1205,70,128,2358,106,223,1357,64,2015-07-01,65efeb1e,55.8268822820108,-95.7622653245627
383,371,-288,754,37,95,1510,94,195,1330,40,2015-08-01,65efeb1e,55.8268822820108,-95.7622653245627
380,35,-293,415,39,87,1037,58,141,1052,22,2015-09-01,65efeb1e,55.8268822820108,-95.7622653245627
62,0,-322,100,40,353,622,-23,53,617,9,2015-10-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-348,0,37,353,307,-99,-43,374,0,2015-11-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-367,0,14,353,207,-165,-108,274,0,2015-12-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-350,0,20,290,289,-230,-146,167,0,2016-01-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-310,0,16,290,825,-254,-139,130,3,2016-02-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-290,0,21,290,1480,-173,-42,234,9,2016-03-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-250,0,25,290,2406,-122,20,280,20,2016-04-01,65efeb1e,55.8268822820108,-95.7622653245627
881,0,-250,881,47,437,2430,7,135,663,49,2016-05-01,65efeb1e,55.8268822820108,-95.7622653245627
855,236,-240,1091,61,161,2490,61,187,996,71,2016-06-01,65efeb1e,55.8268822820108,-95.7622653245627
878,221,-190,1099,87,111,2184,106,223,1395,65,2016-07-01,65efeb1e,55.8268822820108,-95.7622653245627
717,176,-160,893,73,86,1871,87,201,1292,50,2016-08-01,65efeb1e,55.8268822820108,-95.7622653245627
467,0,-130,467,53,126,1034,50,145,1022,29,2016-09-01,65efeb1e,55.8268822820108,-95.7622653245627
16,0,-110,16,44,215,404,-27,22,596,5,2016-10-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-80,0,34,215,340,-71,-8,406,1,2016-11-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-70,0,25,215,237,-244,-170,143,0,2016-12-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-70,0,20,215,290,-227,-141,150,0,2017-01-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-70,0,16,215,783,-226,-135,158,1,2017-02-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,210,0,58,215,1443,-215,-82,179,5,2017-03-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,190,0,25,215,2151,-106,24,328,18,2017-04-01,65efeb1e,55.8268822820108,-95.7622653245627
775,0,190,775,48,437,2238,-5,105,553,44,2017-05-01,65efeb1e,55.8268822820108,-95.7622653245627
865,143,200,1008,62,190,2223,59,180,941,63,2017-06-01,65efeb1e,55.8268822820108,-95.7622653245627
854,475,140,1329,83,123,2591,96,235,1277,89,2017-07-01,65efeb1e,55.8268822820108,-95.7622653245627
726,310,100,1036,73,93,2099,77,210,1158,73,2017-08-01,65efeb1e,55.8268822820108,-95.7622653245627
530,31,70,561,55,85,1188,50,147,947,33,2017-09-01,65efeb1e,55.8268822820108,-95.7622653245627
76,0,-30,76,41,261,473,-25,42,595,6,2017-10-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-130,0,35,261,370,-182,-103,198,3,2017-11-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-120,0,24,261,248,-261,-172,134,0,2017-12-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-110,0,21,261,351,-268,-179,110,1,2018-01-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-100,0,16,261,822,-308,-187,74,1,2018-02-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-100,0,21,261,1558,-207,-73,169,8,2018-03-01,65efeb1e,55.8268822820108,-95.7622653245627
0,0,-90,0,24,261,2311,-156,-4,244,19,2018-04-01,65efeb1e,55.8268822820108,-95.7622653245627
988,0,-130,988,46,437,2616,-1,148,613,58,2018-05-01,65efeb1e,55.8268822820108,-95.7622653245627
853,228,-150,1081,61,161,2309,77,199,1101,74,2018-06-01,65efeb1e,55.8268822820108,-95.7622653245627
