aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,130,0,12,182,19,-269,-203,99,0,2015-01-01,6736b5ca,68.957071051503,-134.428711623898
0,0,104,0,6,182,183,-273,-201,111,0,2015-02-01,6736b5ca,68.957071051503,-134.428711623898
0,0,119,0,13,182,745,-266,-182,118,0,2015-03-01,6736b5ca,68.957071051503,-134.428711623898
0,0,116,0,10,182,1627,-163,-84,218,3,2015-04-01,6736b5ca,68.957071051503,-134.428711623898
94,0,-109,223,6,312,2087,-38,57,525,17,2015-05-01,6736b5ca,68.957071051503,-134.428711623898
912,80,-127,991,27,176,2165,57,146,741,55,2015-06-01,6736b5ca,68.957071051503,-134.428711623898
374,515,-100,889,31,100,1628,94,164,1016,51,2015-07-01,6736b5ca,68.957071051503,-134.428711623898
502,0,181,502,70,266,1089,61,122,928,26,2015-08-01,6736b5ca,68.957071051503,-134.428711623898
152,0,283,177,33,312,535,3,46,623,12,2015-09-01,6736b5ca,68.957071051503,-134.428711623898
0,0,319,0,21,312,267,-60,-18,438,3,2015-10-01,6736b5ca,68.957071051503,-134.428711623898
0,0,334,0,16,312,47,-196,-133,178,0,2015-11-01,6736b5ca,68.957071051503,-134.428711623898
0,0,270,0,6,312,1,-248,-184,94,2,2015-12-01,6736b5ca,68.957071051503,-134.428711623898
0,0,210,0,7,312,16,-222,-139,7,2,2016-01-01,6736b5ca,68.957071051503,-134.428711623898
0,0,170,0,6,312,196,-249,-171,12,2,2016-02-01,6736b5ca,68.957071051503,-134.428711623898
0,0,190,0,14,312,666,-245,-165,44,2,2016-03-01,6736b5ca,68.957071051503,-134.428711623898
0,0,130,0,3,312,1710,-138,-45,195,4,2016-04-01,6736b5ca,68.957071051503,-134.428711623898
87,0,70,87,13,312,1889,-33,34,444,22,2016-05-01,6736b5ca,68.957071051503,-134.428711623898
927,31,80,958,24,260,2239,53,150,755,51,2016-06-01,6736b5ca,68.957071051503,-134.428711623898
436,554,-20,990,31,113,1934,99,179,1077,44,2016-07-01,6736b5ca,68.957071051503,-134.428711623898
383,278,-100,661,37,79,1213,82,149,990,31,2016-08-01,6736b5ca,68.957071051503,-134.428711623898
200,85,-150,285,19,61,720,12,66,656,20,2016-09-01,6736b5ca,68.957071051503,-134.428711623898
0,0,-260,0,8,61,314,-86,-37,333,6,2016-10-01,6736b5ca,68.957071051503,-134.428711623898
0,0,-300,0,16,61,42,-214,-142,119,2,2016-11-01,6736b5ca,68.957071051503,-134.428711623898
0,0,-370,0,8,61,1,-272,-198,54,2,2016-12-01,6736b5ca,68.957071051503,-134.428711623898
0,0,-310,0,23,61,18,-291,-208,0,1,2017-01-01,6736b5ca,68.957071051503,-134.428711623898
0,0,-200,0,20,61,187,-276,-203,2,1,2017-02-01,6736b5ca,68.957071051503,-134.428711623898
0,0,-180,0,9,61,818,-320,-222,27,2,2017-03-01,6736b5ca,68.957071051503,-134.428711623898
0,0,-210,0,2,61,1876,-168,-61,183,6,2017-04-01,6736b5ca,68.957071051503,-134.428711623898
20,0,-200,20,17,98,1970,-47,20,434,16,2017-05-01,6736b5ca,68.957071051503,-134.428711623898
1026,0,-150,1026,29,272,2655,56,148,747,50,2017-06-01,6736b5ca,68.957071051503,-134.428711623898
545,611,-140,1156,41,114,2236,104,192,1069,58,2017-07-01,6736b5ca,68.957071051503,-134.428711623898
635,38,130,673,65,97,1353,77,148,991,35,2017-08-01,6736b5ca,68.957071051503,-134.428711623898
323,0,200,323,46,212,604,20,78,661,14,2017-09-01,6736b5ca,68.957071051503,-134.428711623898
0,0,220,0,31,212,218,-68,-25,336,4,2017-10-01,6736b5ca,68.957071051503,-134.428711623898
0,0,240,0,14,212,39,-223,-155,119,0,2017-11-01,6736b5ca,68.957071051503,-134.428711623898
0,0,250,0,17,212,1,-190,-130,74,2,2017-12-01,6736b5ca,68.957071051503,-134.428711623898
0,0,250,0,15,212,18,-271,-195,0,3,2018-01-01,6736b5ca,68.957071051503,-134.428711623898
0,0,280,0,16,212,165,-292,-217,2,4,2018-02-01,6736b5ca,68.957071051503,-134.428711623898
0,0,230,0,6,212,810,-251,-168,41,3,2018-03-01,6736b5ca,68.957071051503,-134.428711623898
0,0,200,0,7,212,1829,-190,-96,168,4,2018-04-01,6736b5ca,68.957071051503,-134.428711623898
0,0,240,0,29,212,1879,-60,7,412,11,2018-05-01,6736b5ca,68.957071051503,-134.428711623898
857,0,210,857,12,312,2303,47,133,744,46,2018-06-01,6736b5ca,68.957071051503,-134.428711623898
841,177,350,1018,68,115,1837,90,195,1034,49,2018-07-01,6736b5ca,68.957071051503,-134.428711623898
459,40,380,499,47,97,1034,59,122,952,23,2018-08-01,6736b5ca,68.957071051503,-134.428711623898
279,0,350,279,30,98,745,1,64,609,13,2018-09-01,6736b5ca,68.957071051503,-134.428711623898
