aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-93,0,15,184,421,-166,-40,294,2,2015-01-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-106,0,20,184,738,-146,-27,295,6,2015-02-01,6a59f02e,52.3147341578762,-114.424021851998
10,0,-132,67,16,312,1433,-72,68,394,28,2015-03-01,6a59f02e,52.3147341578762,-114.424021851998
744,0,-169,782,16,379,2022,-48,116,411,49,2015-04-01,6a59f02e,52.3147341578762,-114.424021851998
342,954,-319,1296,16,223,2708,8,180,605,75,2015-05-01,6a59f02e,52.3147341578762,-114.424021851998
662,670,-369,1332,63,163,2543,73,226,955,94,2015-06-01,6a59f02e,52.3147341578762,-114.424021851998
597,774,-446,1371,59,130,2557,83,239,1138,90,2015-07-01,6a59f02e,52.3147341578762,-114.424021851998
878,300,-376,1178,90,108,2249,76,233,1048,91,2015-08-01,6a59f02e,52.3147341578762,-114.424021851998
620,0,-278,620,86,309,1368,26,165,811,50,2015-09-01,6a59f02e,52.3147341578762,-114.424021851998
318,173,-221,491,24,216,916,-4,151,647,51,2015-10-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-164,0,28,216,471,-95,28,369,15,2015-11-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-188,0,9,216,336,-155,-46,284,3,2015-12-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-250,0,11,179,432,-163,-49,313,5,2016-01-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-300,0,7,179,860,-109,13,362,16,2016-02-01,6a59f02e,52.3147341578762,-114.424021851998
24,0,-350,24,10,200,1414,-70,49,388,29,2016-03-01,6a59f02e,52.3147341578762,-114.424021851998
731,37,-400,768,15,188,2021,-24,131,535,62,2016-04-01,6a59f02e,52.3147341578762,-114.424021851998
625,532,-410,1157,61,145,2427,26,180,692,71,2016-05-01,6a59f02e,52.3147341578762,-114.424021851998
651,672,-460,1323,66,118,2764,66,214,943,83,2016-06-01,6a59f02e,52.3147341578762,-114.424021851998
1131,62,-370,1193,118,107,2468,86,220,1205,65,2016-07-01,6a59f02e,52.3147341578762,-114.424021851998
516,598,-390,1114,53,92,2070,79,223,1086,72,2016-08-01,6a59f02e,52.3147341578762,-114.424021851998
517,176,-370,693,53,81,1452,30,169,824,56,2016-09-01,6a59f02e,52.3147341578762,-114.424021851998
311,0,-210,311,54,285,746,-17,96,639,24,2016-10-01,6a59f02e,52.3147341578762,-114.424021851998
82,21,-250,103,8,275,463,-45,71,513,21,2016-11-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-260,0,14,275,326,-204,-89,174,4,2016-12-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-280,0,16,275,454,-208,-77,214,4,2017-01-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-250,0,28,275,841,-154,-38,262,7,2017-02-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-130,0,43,275,1443,-97,18,358,15,2017-03-01,6a59f02e,52.3147341578762,-114.424021851998
480,0,200,480,55,716,1685,-35,87,505,29,2017-04-01,6a59f02e,52.3147341578762,-114.424021851998
939,258,190,1197,39,273,2515,19,183,662,79,2017-05-01,6a59f02e,52.3147341578762,-114.424021851998
1119,175,200,1294,109,191,2544,62,208,896,77,2017-06-01,6a59f02e,52.3147341578762,-114.424021851998
565,957,-150,1522,55,146,2805,93,252,1045,88,2017-07-01,6a59f02e,52.3147341578762,-114.424021851998
207,1058,-290,1265,19,119,2367,76,240,1005,91,2017-08-01,6a59f02e,52.3147341578762,-114.424021851998
326,435,-350,761,32,101,1472,34,186,824,62,2017-09-01,6a59f02e,52.3147341578762,-114.424021851998
363,190,-300,553,37,88,799,-26,115,500,44,2017-10-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-280,0,18,88,442,-102,6,353,12,2017-11-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-290,0,13,88,368,-178,-63,230,6,2017-12-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-320,0,15,88,458,-173,-54,303,4,2018-01-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-330,0,17,88,868,-221,-81,162,8,2018-02-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-290,0,31,88,1401,-119,7,308,17,2018-03-01,6a59f02e,52.3147341578762,-114.424021851998
182,0,-210,182,23,292,2060,-67,78,404,40,2018-04-01,6a59f02e,52.3147341578762,-114.424021851998
1165,29,-170,1194,45,277,2472,45,203,787,104,2018-05-01,6a59f02e,52.3147341578762,-114.424021851998
886,406,-180,1292,84,188,2681,64,204,936,92,2018-06-01,6a59f02e,52.3147341578762,-114.424021851998
652,682,-260,1334,64,145,2538,80,234,1105,76,2018-07-01,6a59f02e,52.3147341578762,-114.424021851998
509,676,-310,1185,51,118,2260,70,226,1035,106,2018-08-01,6a59f02e,52.3147341578762,-114.424021851998
605,0,-200,605,88,351,1196,13,134,683,29,2018-09-01,6a59f02e,52.3147341578762,-114.424021851998
285,144,-140,429,20,260,900,-38,113,500,36,2018-10-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-150,0,11,260,383,-94,10,393,12,2018-11-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-130,0,23,260,331,-151,-40,280,5,2018-12-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-160,0,12,260,405,-152,-23,305,5,2019-01-01,6a59f02e,52.3147341578762,-114.424021851998
0,0,-160,0,22,260,900,-283,-155,81,4,2019-02-01,6a59f02e,52.3147341578762,-114.424021851998
