aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-434,0,15,249,295,-286,-181,119,0,2015-01-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-420,0,9,249,771,-337,-235,42,2,2015-02-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-380,0,20,249,1440,-221,-87,188,2,2015-03-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-242,0,49,249,2081,-118,5,316,13,2015-04-01,6a82b5a8,57.1313113541055,-97.6057629863958
802,0,-324,870,19,410,2685,-41,100,409,43,2015-05-01,6a82b5a8,57.1313113541055,-97.6057629863958
1040,110,-289,1149,78,222,2548,54,182,909,59,2015-06-01,6a82b5a8,57.1313113541055,-97.6057629863958
726,410,-301,1137,67,129,2246,92,212,1239,61,2015-07-01,6a82b5a8,57.1313113541055,-97.6057629863958
368,385,-348,753,35,94,1498,88,187,1234,41,2015-08-01,6a82b5a8,57.1313113541055,-97.6057629863958
378,12,-342,390,39,91,1016,43,127,946,21,2015-09-01,6a82b5a8,57.1313113541055,-97.6057629863958
14,0,-354,45,43,292,524,-31,42,577,8,2015-10-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-345,0,34,292,284,-123,-59,337,0,2015-11-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-354,0,12,292,161,-188,-128,256,0,2015-12-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-350,0,17,247,238,-242,-163,128,0,2016-01-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-320,0,14,247,776,-279,-165,122,1,2016-02-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-280,0,21,247,1432,-195,-75,196,5,2016-03-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-250,0,27,247,2336,-142,2,291,14,2016-04-01,6a82b5a8,57.1313113541055,-97.6057629863958
809,0,-260,809,40,410,2353,-4,121,609,42,2016-05-01,6a82b5a8,57.1313113541055,-97.6057629863958
810,283,-270,1093,56,151,2470,56,184,951,69,2016-06-01,6a82b5a8,57.1313113541055,-97.6057629863958
992,49,-160,1041,102,129,2144,97,211,1329,59,2016-07-01,6a82b5a8,57.1313113541055,-97.6057629863958
624,231,-160,855,62,94,1863,80,192,1236,50,2016-08-01,6a82b5a8,57.1313113541055,-97.6057629863958
470,0,-150,470,50,100,978,37,134,905,30,2016-09-01,6a82b5a8,57.1313113541055,-97.6057629863958
3,0,-90,3,61,142,431,-40,5,586,6,2016-10-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-70,0,28,142,286,-92,-28,339,0,2016-11-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-70,0,19,142,193,-263,-192,124,0,2016-12-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-80,0,18,142,241,-242,-161,133,0,2017-01-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,-80,0,13,142,695,-249,-163,132,0,2017-02-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,270,0,68,142,1423,-236,-111,176,3,2017-03-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,250,0,27,142,2290,-126,-1,322,13,2017-04-01,6a82b5a8,57.1313113541055,-97.6057629863958
640,0,270,640,49,410,2183,-13,90,579,36,2017-05-01,6a82b5a8,57.1313113541055,-97.6057629863958
861,109,300,970,64,222,2336,50,170,930,63,2017-06-01,6a82b5a8,57.1313113541055,-97.6057629863958
775,497,220,1272,72,129,2520,85,229,1227,77,2017-07-01,6a82b5a8,57.1313113541055,-97.6057629863958
655,352,150,1007,65,94,2065,71,211,1172,71,2017-08-01,6a82b5a8,57.1313113541055,-97.6057629863958
549,0,140,549,62,134,1105,39,139,865,33,2017-09-01,6a82b5a8,57.1313113541055,-97.6057629863958
18,0,120,18,45,219,424,-34,28,576,5,2017-10-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,120,0,31,219,342,-203,-126,219,3,2017-11-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,100,0,17,219,198,-272,-186,132,0,2017-12-01,6a82b5a8,57.1313113541055,-97.6057629863958
0,0,100,0,22,219,311,-282,-202,100,0,2018-01-01,6a82b5a8,57.1313113541055,-97.6057629863958
