aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-125,0,138,313,409,-90,-15,347,9,2015-01-01,6c0ecb47,47.1248167456887,-53.8616454090767
0,0,-115,0,133,313,803,-119,-46,283,6,2015-02-01,6c0ecb47,47.1248167456887,-53.8616454090767
0,0,-204,0,68,313,1237,-87,-21,315,11,2015-03-01,6c0ecb47,47.1248167456887,-53.8616454090767
19,0,-174,96,93,313,1897,-31,33,460,17,2015-04-01,6c0ecb47,47.1248167456887,-53.8616454090767
872,0,-226,872,75,313,2191,28,111,675,36,2015-05-01,6c0ecb47,47.1248167456887,-53.8616454090767
965,0,-197,965,132,313,2191,73,144,878,46,2015-06-01,6c0ecb47,47.1248167456887,-53.8616454090767
819,131,-221,950,65,115,2048,115,164,1203,41,2015-07-01,6c0ecb47,47.1248167456887,-53.8616454090767
800,0,-245,800,87,143,1786,110,179,1357,33,2015-08-01,6c0ecb47,47.1248167456887,-53.8616454090767
780,0,-144,780,193,313,1417,95,175,1124,48,2015-09-01,6c0ecb47,47.1248167456887,-53.8616454090767
513,0,-79,513,182,313,859,45,116,798,31,2015-10-01,6c0ecb47,47.1248167456887,-53.8616454090767
336,0,138,354,171,313,563,7,61,551,24,2015-11-01,6c0ecb47,47.1248167456887,-53.8616454090767
58,0,-78,142,103,313,351,-15,32,452,21,2015-12-01,6c0ecb47,47.1248167456887,-53.8616454090767
0,0,-70,0,137,313,450,-52,6,375,10,2016-01-01,6c0ecb47,47.1248167456887,-53.8616454090767
0,0,-70,0,133,313,692,-66,2,394,8,2016-02-01,6c0ecb47,47.1248167456887,-53.8616454090767
0,0,10,0,128,313,1334,-67,-6,353,14,2016-03-01,6c0ecb47,47.1248167456887,-53.8616454090767
349,0,-60,349,109,313,1662,-14,49,500,20,2016-04-01,6c0ecb47,47.1248167456887,-53.8616454090767
786,0,-70,786,102,313,1980,44,110,723,34,2016-05-01,6c0ecb47,47.1248167456887,-53.8616454090767
877,0,-60,877,116,313,2041,80,141,943,42,2016-06-01,6c0ecb47,47.1248167456887,-53.8616454090767
967,0,0,967,105,313,2088,121,180,1315,41,2016-07-01,6c0ecb47,47.1248167456887,-53.8616454090767
874,0,-10,874,112,313,2001,123,183,1418,37,2016-08-01,6c0ecb47,47.1248167456887,-53.8616454090767
701,0,0,701,123,313,1346,93,159,1113,25,2016-09-01,6c0ecb47,47.1248167456887,-53.8616454090767
496,0,0,496,142,313,876,52,117,854,21,2016-10-01,6c0ecb47,47.1248167456887,-53.8616454090767
323,0,-10,323,144,313,353,22,78,674,14,2016-11-01,6c0ecb47,47.1248167456887,-53.8616454090767
9,0,0,9,134,313,367,-47,11,423,10,2016-12-01,6c0ecb47,47.1248167456887,-53.8616454090767
0,0,0,0,139,313,454,-57,6,389,10,2017-01-01,6c0ecb47,47.1248167456887,-53.8616454090767
0,0,0,0,134,313,776,-73,-14,365,8,2017-02-01,6c0ecb47,47.1248167456887,-53.8616454090767
0,0,10,0,127,313,1240,-62,-7,366,12,2017-03-01,6c0ecb47,47.1248167456887,-53.8616454090767
292,0,0,292,109,313,1622,-14,43,490,17,2017-04-01,6c0ecb47,47.1248167456887,-53.8616454090767
780,0,-10,780,103,313,2151,30,100,663,30,2017-05-01,6c0ecb47,47.1248167456887,-53.8616454090767
897,0,0,897,114,313,2311,79,142,973,43,2017-06-01,6c0ecb47,47.1248167456887,-53.8616454090767
1017,16,-10,1033,104,286,2348,123,182,1322,46,2017-07-01,6c0ecb47,47.1248167456887,-53.8616454090767
908,0,-10,908,113,313,2023,126,185,1406,32,2017-08-01,6c0ecb47,47.1248167456887,-53.8616454090767
694,0,0,694,121,313,1442,94,164,1157,27,2017-09-01,6c0ecb47,47.1248167456887,-53.8616454090767
578,0,-50,578,140,313,951,65,131,874,21,2017-10-01,6c0ecb47,47.1248167456887,-53.8616454090767
323,0,-50,323,145,313,535,1,69,608,17,2017-11-01,6c0ecb47,47.1248167456887,-53.8616454090767
71,0,-50,71,137,313,322,-23,29,475,10,2017-12-01,6c0ecb47,47.1248167456887,-53.8616454090767
0,0,-40,0,141,313,421,-66,-4,385,11,2018-01-01,6c0ecb47,47.1248167456887,-53.8616454090767
0,0,-30,0,135,313,695,-97,-28,353,11,2018-02-01,6c0ecb47,47.1248167456887,-53.8616454090767
165,0,-110,165,98,313,1135,-11,26,435,11,2018-03-01,6c0ecb47,47.1248167456887,-53.8616454090767
193,0,80,193,147,313,1705,-21,38,482,23,2018-04-01,6c0ecb47,47.1248167456887,-53.8616454090767
627,0,270,627,194,313,2220,22,84,708,41,2018-05-01,6c0ecb47,47.1248167456887,-53.8616454090767
756,0,330,756,154,313,2038,65,132,950,37,2018-06-01,6c0ecb47,47.1248167456887,-53.8616454090767
1008,0,350,1008,134,313,2032,130,193,1391,41,2018-07-01,6c0ecb47,47.1248167456887,-53.8616454090767
761,124,240,885,59,115,2011,127,189,1476,36,2018-08-01,6c0ecb47,47.1248167456887,-53.8616454090767
636,0,130,636,70,140,1537,88,155,1158,41,2018-09-01,6c0ecb47,47.1248167456887,-53.8616454090767
296,0,200,296,193,313,788,36,97,886,26,2018-10-01,6c0ecb47,47.1248167456887,-53.8616454090767
101,0,280,101,184,313,486,-10,47,659,18,2018-11-01,6c0ecb47,47.1248167456887,-53.8616454090767
13,0,170,13,89,313,387,-37,20,496,11,2018-12-01,6c0ecb47,47.1248167456887,-53.8616454090767
0,0,150,0,136,313,447,-74,-4,398,8,2019-01-01,6c0ecb47,47.1248167456887,-53.8616454090767
