aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-261,0,93,270,426,-322,-190,77,1,2015-01-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-286,0,31,270,902,-334,-193,59,3,2015-02-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-378,0,15,270,1514,-241,-93,135,6,2015-03-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-393,0,33,270,1913,-126,-1,319,10,2015-04-01,6c1368f5,52.8403259033193,-64.5526552478829
607,0,-379,649,59,270,1909,-25,88,521,30,2015-05-01,6c1368f5,52.8403259033193,-64.5526552478829
930,166,-427,1096,61,99,2243,44,175,800,62,2015-06-01,6c1368f5,52.8403259033193,-64.5526552478829
940,0,-385,940,105,158,1856,79,183,1084,51,2015-07-01,6c1368f5,52.8403259033193,-64.5526552478829
811,0,-387,811,86,168,1635,82,193,1201,47,2015-08-01,6c1368f5,52.8403259033193,-64.5526552478829
488,0,-369,488,104,270,1243,28,135,875,28,2015-09-01,6c1368f5,52.8403259033193,-64.5526552478829
6,0,-388,39,58,270,780,-42,40,489,15,2015-10-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-406,0,62,270,356,-121,-27,318,6,2015-11-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-479,0,30,270,296,-205,-93,236,0,2015-12-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-480,0,39,270,375,-250,-131,139,1,2016-01-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-420,0,51,270,805,-272,-122,156,1,2016-02-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-420,0,39,270,1566,-227,-82,152,6,2016-03-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-360,0,55,270,1963,-134,-8,301,9,2016-04-01,6c1368f5,52.8403259033193,-64.5526552478829
690,0,-390,690,48,270,2158,-19,106,572,35,2016-05-01,6c1368f5,52.8403259033193,-64.5526552478829
894,0,-340,894,95,270,1827,43,163,829,48,2016-06-01,6c1368f5,52.8403259033193,-64.5526552478829
955,27,-330,982,96,223,2096,80,192,1122,46,2016-07-01,6c1368f5,52.8403259033193,-64.5526552478829
812,0,-250,812,119,270,1494,77,191,1109,40,2016-08-01,6c1368f5,52.8403259033193,-64.5526552478829
507,0,-260,507,82,270,1130,24,125,808,23,2016-09-01,6c1368f5,52.8403259033193,-64.5526552478829
66,0,-160,66,103,270,664,-36,44,530,12,2016-10-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-210,0,61,270,375,-110,-15,382,2,2016-11-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-270,0,42,270,312,-252,-132,123,2,2016-12-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-240,0,55,270,390,-252,-131,149,0,2017-01-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-250,0,36,270,844,-268,-132,146,0,2017-02-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-270,0,40,270,1525,-222,-75,162,7,2017-03-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-280,0,39,270,1991,-118,7,316,14,2017-04-01,6c1368f5,52.8403259033193,-64.5526552478829
634,0,-260,634,66,270,2008,-30,95,522,32,2017-05-01,6c1368f5,52.8403259033193,-64.5526552478829
880,0,-180,880,102,270,1989,43,159,833,47,2017-06-01,6c1368f5,52.8403259033193,-64.5526552478829
1023,24,-160,1047,103,229,2025,76,196,1062,51,2017-07-01,6c1368f5,52.8403259033193,-64.5526552478829
808,0,-90,808,114,270,1465,71,183,1061,38,2017-08-01,6c1368f5,52.8403259033193,-64.5526552478829
528,0,-100,528,89,270,1245,32,135,853,25,2017-09-01,6c1368f5,52.8403259033193,-64.5526552478829
322,0,-150,322,83,270,675,-11,77,605,17,2017-10-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-110,0,91,270,360,-119,-27,302,5,2017-11-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-100,0,68,270,280,-216,-101,187,2,2017-12-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-80,0,58,270,411,-281,-161,109,1,2018-01-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-100,0,38,270,921,-288,-136,116,1,2018-02-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-150,0,37,270,1429,-139,-23,283,6,2018-03-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-150,0,44,270,2018,-130,-5,281,12,2018-04-01,6c1368f5,52.8403259033193,-64.5526552478829
270,0,-80,270,54,270,2333,-49,66,433,28,2018-05-01,6c1368f5,52.8403259033193,-64.5526552478829
954,0,-100,954,75,270,2386,22,145,702,51,2018-06-01,6c1368f5,52.8403259033193,-64.5526552478829
1131,0,-90,1131,122,270,2218,86,217,1210,64,2018-07-01,6c1368f5,52.8403259033193,-64.5526552478829
894,0,-100,894,101,270,1728,80,200,1157,54,2018-08-01,6c1368f5,52.8403259033193,-64.5526552478829
594,0,-170,594,73,270,1421,20,128,790,34,2018-09-01,6c1368f5,52.8403259033193,-64.5526552478829
10,0,-100,10,93,270,618,-48,18,464,10,2018-10-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-110,0,75,270,373,-141,-53,307,3,2018-11-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-140,0,55,270,310,-225,-109,188,1,2018-12-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-100,0,64,270,403,-290,-164,106,1,2019-01-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-80,0,50,270,855,-294,-156,104,1,2019-02-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,20,0,60,270,1361,-213,-80,172,5,2019-03-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,150,0,85,270,1842,-113,3,307,14,2019-04-01,6c1368f5,52.8403259033193,-64.5526552478829
624,0,90,624,50,270,2230,-25,87,545,27,2019-05-01,6c1368f5,52.8403259033193,-64.5526552478829
859,0,-40,859,68,270,2080,39,161,854,47,2019-06-01,6c1368f5,52.8403259033193,-64.5526552478829
983,0,-80,983,108,270,2001,88,203,1233,53,2019-07-01,6c1368f5,52.8403259033193,-64.5526552478829
835,0,70,835,133,270,1722,88,199,1258,48,2019-08-01,6c1368f5,52.8403259033193,-64.5526552478829
521,0,90,521,96,270,1188,28,120,810,27,2019-09-01,6c1368f5,52.8403259033193,-64.5526552478829
254,0,-130,254,53,270,717,-10,64,600,17,2019-10-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-60,0,100,270,384,-130,-39,309,3,2019-11-01,6c1368f5,52.8403259033193,-64.5526552478829
0,0,-60,0,65,270,279,-221,-104,179,1,2019-12-01,6c1368f5,52.8403259033193,-64.5526552478829
