aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,502,0,50,780,562,-240,-99,230,0,2015-01-01,6d812a9a,47.2636497039213,-80.5085269787636
0,0,424,0,41,780,1132,-272,-139,158,0,2015-02-01,6d812a9a,47.2636497039213,-80.5085269787636
0,0,345,0,41,780,1640,-162,-23,333,1,2015-03-01,6d812a9a,47.2636497039213,-80.5085269787636
76,0,405,193,88,780,2009,-51,68,548,16,2015-04-01,6d812a9a,47.2636497039213,-80.5085269787636
906,0,383,906,78,780,2081,36,176,1022,38,2015-05-01,6d812a9a,47.2636497039213,-80.5085269787636
875,121,336,996,70,572,2353,74,204,1332,38,2015-06-01,6d812a9a,47.2636497039213,-80.5085269787636
915,285,275,1199,65,275,2401,107,239,1580,56,2015-07-01,6d812a9a,47.2636497039213,-80.5085269787636
832,108,212,940,83,229,1777,112,221,1473,53,2015-08-01,6d812a9a,47.2636497039213,-80.5085269787636
570,127,58,696,55,186,1613,86,205,1385,39,2015-09-01,6d812a9a,47.2636497039213,-80.5085269787636
263,0,-215,266,78,664,920,4,102,817,12,2015-10-01,6d812a9a,47.2636497039213,-80.5085269787636
16,0,-248,28,78,780,527,-32,59,737,0,2015-11-01,6d812a9a,47.2636497039213,-80.5085269787636
0,0,-78,0,106,780,320,-76,-5,649,0,2015-12-01,6d812a9a,47.2636497039213,-80.5085269787636
0,0,-70,0,54,780,490,-184,-69,300,1,2016-01-01,6d812a9a,47.2636497039213,-80.5085269787636
0,0,140,0,63,780,875,-182,-54,299,3,2016-02-01,6d812a9a,47.2636497039213,-80.5085269787636
0,0,180,0,70,780,1501,-113,18,454,11,2016-03-01,6d812a9a,47.2636497039213,-80.5085269787636
43,0,220,43,61,780,2164,-66,51,422,22,2016-04-01,6d812a9a,47.2636497039213,-80.5085269787636
932,0,160,932,59,780,2395,23,163,835,51,2016-05-01,6d812a9a,47.2636497039213,-80.5085269787636
1019,190,60,1209,73,453,2504,81,213,1119,67,2016-06-01,6d812a9a,47.2636497039213,-80.5085269787636
971,243,-130,1214,82,262,2307,122,243,1560,62,2016-07-01,6d812a9a,47.2636497039213,-80.5085269787636
916,111,-160,1027,92,218,1910,125,243,1658,63,2016-08-01,6d812a9a,47.2636497039213,-80.5085269787636
736,0,-190,736,100,435,1541,85,198,1295,36,2016-09-01,6d812a9a,47.2636497039213,-80.5085269787636
