aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-34,0,11,188,450,-130,-8,283,12,2015-01-01,6e536641,51.7301834063757,-114.85555727204
0,0,-93,0,17,188,781,-110,11,287,18,2015-02-01,6e536641,51.7301834063757,-114.85555727204
31,0,-139,128,19,388,1445,-66,72,368,33,2015-03-01,6e536641,51.7301834063757,-114.85555727204
570,0,-199,671,18,476,2049,-55,103,378,45,2015-04-01,6e536641,51.7301834063757,-114.85555727204
497,684,-358,1180,18,239,2628,-6,160,559,65,2015-05-01,6e536641,51.7301834063757,-114.85555727204
662,603,-426,1265,62,169,2478,59,212,865,86,2015-06-01,6e536641,51.7301834063757,-114.85555727204
515,810,-498,1325,50,132,2534,63,226,1012,85,2015-07-01,6e536641,51.7301834063757,-114.85555727204
960,233,-424,1193,99,109,2275,61,222,916,90,2015-08-01,6e536641,51.7301834063757,-114.85555727204
634,0,-343,634,78,215,1410,16,155,731,49,2015-09-01,6e536641,51.7301834063757,-114.85555727204
284,204,-306,488,24,157,935,-6,138,594,49,2015-10-01,6e536641,51.7301834063757,-114.85555727204
0,0,-236,0,32,157,509,-95,25,335,18,2015-11-01,6e536641,51.7301834063757,-114.85555727204
0,0,-246,0,7,157,369,-120,-14,265,14,2015-12-01,6e536641,51.7301834063757,-114.85555727204
0,0,-280,0,6,127,456,-129,-18,308,15,2016-01-01,6e536641,51.7301834063757,-114.85555727204
9,0,-330,9,5,138,914,-81,45,350,29,2016-02-01,6e536641,51.7301834063757,-114.85555727204
46,0,-400,46,11,157,1465,-67,56,364,34,2016-03-01,6e536641,51.7301834063757,-114.85555727204
701,44,-460,745,20,146,1961,-27,123,498,60,2016-04-01,6e536641,51.7301834063757,-114.85555727204
681,381,-480,1062,69,118,2400,11,158,635,63,2016-05-01,6e536641,51.7301834063757,-114.85555727204
635,634,-540,1269,65,100,2731,51,199,845,75,2016-06-01,6e536641,51.7301834063757,-114.85555727204
1068,97,-450,1165,111,86,2421,69,209,1076,62,2016-07-01,6e536641,51.7301834063757,-114.85555727204
506,613,-470,1119,52,76,2112,64,214,962,72,2016-08-01,6e536641,51.7301834063757,-114.85555727204
491,210,-450,701,51,68,1436,22,160,742,54,2016-09-01,6e536641,51.7301834063757,-114.85555727204
335,0,-290,335,56,265,769,-14,89,589,29,2016-10-01,6e536641,51.7301834063757,-114.85555727204
93,46,-330,139,7,243,502,-43,73,489,25,2016-11-01,6e536641,51.7301834063757,-114.85555727204
0,0,-330,0,11,243,362,-168,-59,163,11,2016-12-01,6e536641,51.7301834063757,-114.85555727204
0,0,-340,0,13,243,505,-182,-54,206,11,2017-01-01,6e536641,51.7301834063757,-114.85555727204
