aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,4,0,27,393,299,-314,-211,92,0,2015-01-01,6e65c872,56.8120547231806,-92.0996087817156
0,0,-18,0,7,393,724,-355,-259,39,1,2015-02-01,6e65c872,56.8120547231806,-92.0996087817156
0,0,-3,0,21,393,1461,-250,-124,159,0,2015-03-01,6e65c872,56.8120547231806,-92.0996087817156
0,0,-6,0,15,393,2066,-129,-19,333,5,2015-04-01,6e65c872,56.8120547231806,-92.0996087817156
252,0,44,428,48,393,2665,-42,70,470,26,2015-05-01,6e65c872,56.8120547231806,-92.0996087817156
988,0,93,988,43,393,2317,55,158,879,48,2015-06-01,6e65c872,56.8120547231806,-92.0996087817156
970,0,196,970,109,393,2233,85,190,1266,40,2015-07-01,6e65c872,56.8120547231806,-92.0996087817156
634,0,234,634,70,393,1467,89,170,1271,28,2015-08-01,6e65c872,56.8120547231806,-92.0996087817156
395,0,389,395,97,393,988,59,128,998,21,2015-09-01,6e65c872,56.8120547231806,-92.0996087817156
7,0,407,34,31,393,574,-31,35,554,8,2015-10-01,6e65c872,56.8120547231806,-92.0996087817156
0,0,431,0,39,393,265,-116,-56,330,0,2015-11-01,6e65c872,56.8120547231806,-92.0996087817156
0,0,375,0,29,393,173,-193,-134,213,0,2015-12-01,6e65c872,56.8120547231806,-92.0996087817156
0,0,310,0,19,393,261,-269,-190,129,1,2016-01-01,6e65c872,56.8120547231806,-92.0996087817156
0,0,280,0,10,393,759,-304,-192,90,1,2016-02-01,6e65c872,56.8120547231806,-92.0996087817156
0,0,280,0,29,393,1445,-230,-107,185,2,2016-03-01,6e65c872,56.8120547231806,-92.0996087817156
0,0,190,0,3,393,2466,-160,-33,245,6,2016-04-01,6e65c872,56.8120547231806,-92.0996087817156
603,0,150,603,40,393,2367,-14,89,611,26,2016-05-01,6e65c872,56.8120547231806,-92.0996087817156
525,502,60,1027,24,145,2583,57,163,893,58,2016-06-01,6e65c872,56.8120547231806,-92.0996087817156
741,205,60,946,73,100,2225,91,192,1298,44,2016-07-01,6e65c872,56.8120547231806,-92.0996087817156
508,287,-170,795,51,78,1778,86,180,1214,40,2016-08-01,6e65c872,56.8120547231806,-92.0996087817156
