aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,206,0,11,147,61,-275,-197,93,0,2015-01-01,6f555c0a,66.3230487513975,-118.857719062879
0,0,211,0,11,147,258,-300,-204,80,1,2015-02-01,6f555c0a,66.3230487513975,-118.857719062879
0,0,231,0,16,147,936,-239,-138,105,5,2015-03-01,6f555c0a,66.3230487513975,-118.857719062879
0,0,193,0,7,147,1816,-149,-53,196,11,2015-04-01,6f555c0a,66.3230487513975,-118.857719062879
677,0,-159,731,5,365,2509,-20,80,455,35,2015-05-01,6f555c0a,66.3230487513975,-118.857719062879
462,588,-320,1050,16,134,2419,53,159,809,54,2015-06-01,6f555c0a,66.3230487513975,-118.857719062879
509,421,-205,931,49,93,1878,77,163,966,49,2015-07-01,6f555c0a,66.3230487513975,-118.857719062879
712,0,286,712,88,218,1395,81,158,1013,43,2015-08-01,6f555c0a,66.3230487513975,-118.857719062879
322,0,380,327,42,298,846,20,80,677,21,2015-09-01,6f555c0a,66.3230487513975,-118.857719062879
0,0,383,0,23,298,343,-61,-20,355,10,2015-10-01,6f555c0a,66.3230487513975,-118.857719062879
0,0,515,0,33,298,68,-159,-96,206,3,2015-11-01,6f555c0a,66.3230487513975,-118.857719062879
0,0,488,0,11,298,29,-227,-161,144,0,2015-12-01,6f555c0a,66.3230487513975,-118.857719062879
0,0,410,0,6,257,63,-247,-173,59,0,2016-01-01,6f555c0a,66.3230487513975,-118.857719062879
0,0,340,0,5,257,294,-298,-215,77,2,2016-02-01,6f555c0a,66.3230487513975,-118.857719062879
0,0,270,0,6,257,929,-214,-112,105,6,2016-03-01,6f555c0a,66.3230487513975,-118.857719062879
0,0,220,0,6,257,1950,-157,-56,202,8,2016-04-01,6f555c0a,66.3230487513975,-118.857719062879
635,0,250,635,31,365,2189,-3,77,494,28,2016-05-01,6f555c0a,66.3230487513975,-118.857719062879
661,331,240,992,42,134,2392,60,156,814,43,2016-06-01,6f555c0a,66.3230487513975,-118.857719062879
469,603,250,1072,45,93,2232,86,183,1033,51,2016-07-01,6f555c0a,66.3230487513975,-118.857719062879
296,495,120,791,29,72,1652,78,163,977,39,2016-08-01,6f555c0a,66.3230487513975,-118.857719062879
279,97,90,376,28,59,875,21,87,695,22,2016-09-01,6f555c0a,66.3230487513975,-118.857719062879
0,0,-190,0,14,59,327,-68,-30,400,13,2016-10-01,6f555c0a,66.3230487513975,-118.857719062879
0,0,-270,0,14,59,70,-140,-77,178,7,2016-11-01,6f555c0a,66.3230487513975,-118.857719062879
