aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-231,0,42,449,212,-102,-9,433,0,2015-01-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-241,0,20,449,524,-101,19,379,12,2015-02-01,6fa795e8,53.8295819830258,-124.340044796495
20,0,-187,82,40,943,964,-63,69,444,25,2015-03-01,6fa795e8,53.8295819830258,-124.340044796495
595,0,-166,626,28,1142,1589,-37,104,433,43,2015-04-01,6fa795e8,53.8295819830258,-124.340044796495
716,328,-272,1044,9,579,2233,10,188,634,78,2015-05-01,6fa795e8,53.8295819830258,-124.340044796495
343,894,-441,1238,12,349,2470,54,217,853,90,2015-06-01,6fa795e8,53.8295819830258,-124.340044796495
549,809,-480,1357,48,257,2516,69,236,962,100,2015-07-01,6fa795e8,53.8295819830258,-124.340044796495
408,646,-497,1054,37,205,1874,63,231,917,98,2015-08-01,6fa795e8,53.8295819830258,-124.340044796495
521,0,-379,521,69,339,1163,13,150,734,46,2015-09-01,6fa795e8,53.8295819830258,-124.340044796495
271,0,-321,274,51,556,652,-9,113,654,30,2015-10-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-342,0,24,556,365,-95,5,364,10,2015-11-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-301,0,56,556,202,-119,-28,315,6,2015-12-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-260,0,47,482,273,-126,-23,373,5,2016-01-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-230,0,29,482,546,-96,30,428,17,2016-02-01,6fa795e8,53.8295819830258,-124.340044796495
70,0,-230,70,28,816,1139,-67,70,432,29,2016-03-01,6fa795e8,53.8295819830258,-124.340044796495
585,0,-230,585,22,1142,1560,-21,124,547,55,2016-04-01,6fa795e8,53.8295819830258,-124.340044796495
777,234,-240,1011,38,740,2150,15,170,614,72,2016-05-01,6fa795e8,53.8295819830258,-124.340044796495
796,273,-240,1069,58,490,2213,50,202,845,76,2016-06-01,6fa795e8,53.8295819830258,-124.340044796495
743,324,-220,1067,60,319,1907,77,222,1046,79,2016-07-01,6fa795e8,53.8295819830258,-124.340044796495
570,436,-210,1006,52,241,1833,65,230,980,91,2016-08-01,6fa795e8,53.8295819830258,-124.340044796495
511,82,-180,593,52,222,1127,18,164,767,53,2016-09-01,6fa795e8,53.8295819830258,-124.340044796495
263,0,-160,263,46,392,577,-22,90,573,24,2016-10-01,6fa795e8,53.8295819830258,-124.340044796495
7,0,-160,7,45,441,267,-54,35,523,18,2016-11-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-160,0,45,441,256,-161,-55,168,6,2016-12-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-120,0,46,441,296,-140,-24,254,6,2017-01-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-100,0,29,441,636,-140,-8,216,11,2017-02-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-80,0,28,441,1067,-105,23,322,22,2017-03-01,6fa795e8,53.8295819830258,-124.340044796495
540,0,-90,540,21,1142,1538,-35,104,458,40,2017-04-01,6fa795e8,53.8295819830258,-124.340044796495
757,170,-80,927,40,849,2063,11,165,633,67,2017-05-01,6fa795e8,53.8295819830258,-124.340044796495
891,330,-120,1221,56,485,2625,35,193,715,84,2017-06-01,6fa795e8,53.8295819830258,-124.340044796495
713,539,-150,1252,57,317,2553,54,217,885,91,2017-07-01,6fa795e8,53.8295819830258,-124.340044796495
559,533,-170,1092,51,240,2054,56,231,919,101,2017-08-01,6fa795e8,53.8295819830258,-124.340044796495
509,89,-150,598,51,219,1212,28,177,806,60,2017-09-01,6fa795e8,53.8295819830258,-124.340044796495
389,0,-180,389,46,267,685,-25,103,513,32,2017-10-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-190,0,44,267,295,-90,1,333,13,2017-11-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-220,0,44,267,273,-136,-29,288,6,2017-12-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-220,0,48,267,241,-134,-31,353,4,2018-01-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-190,0,30,267,606,-154,-20,219,10,2018-02-01,6fa795e8,53.8295819830258,-124.340044796495
0,0,-160,0,27,267,1090,-100,39,312,23,2018-03-01,6fa795e8,53.8295819830258,-124.340044796495
506,0,-150,506,21,1142,1724,-47,96,398,43,2018-04-01,6fa795e8,53.8295819830258,-124.340044796495
867,144,-160,1011,38,895,2373,17,177,654,86,2018-05-01,6fa795e8,53.8295819830258,-124.340044796495
