aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-139,0,101,266,431,-306,-181,73,2,2015-01-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-124,0,53,266,891,-315,-181,51,5,2015-02-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-232,0,21,266,1506,-225,-82,127,9,2015-03-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-230,0,47,266,1854,-114,7,327,12,2015-04-01,701a56cd,53.2655310769278,-63.3865660419642
649,0,-206,677,61,266,1932,-18,89,525,32,2015-05-01,701a56cd,53.2655310769278,-63.3865660419642
881,178,-274,1059,61,98,2271,45,170,812,58,2015-06-01,701a56cd,53.2655310769278,-63.3865660419642
912,9,-281,922,96,94,1893,80,180,1091,48,2015-07-01,701a56cd,53.2655310769278,-63.3865660419642
763,17,-304,780,80,86,1620,82,190,1216,43,2015-08-01,701a56cd,53.2655310769278,-63.3865660419642
492,0,-337,492,93,266,1226,33,137,880,29,2015-09-01,701a56cd,53.2655310769278,-63.3865660419642
26,0,-368,83,54,266,757,-35,47,496,17,2015-10-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-394,0,64,266,352,-109,-19,311,9,2015-11-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-470,0,33,266,296,-188,-82,210,3,2015-12-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-460,0,45,266,382,-235,-121,142,3,2016-01-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-360,0,69,266,813,-254,-110,151,4,2016-02-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-380,0,45,266,1552,-213,-71,142,9,2016-03-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-310,0,63,266,1857,-122,3,307,13,2016-04-01,701a56cd,53.2655310769278,-63.3865660419642
700,0,-340,700,45,266,2159,-13,109,582,37,2016-05-01,701a56cd,53.2655310769278,-63.3865660419642
867,0,-270,867,113,266,1847,42,157,825,45,2016-06-01,701a56cd,53.2655310769278,-63.3865660419642
921,32,-270,953,91,211,2054,82,191,1129,46,2016-07-01,701a56cd,53.2655310769278,-63.3865660419642
798,0,-170,798,124,266,1480,79,191,1136,39,2016-08-01,701a56cd,53.2655310769278,-63.3865660419642
515,0,-220,515,70,266,1144,28,127,806,24,2016-09-01,701a56cd,53.2655310769278,-63.3865660419642
113,0,-120,113,105,266,637,-31,49,526,15,2016-10-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-180,0,63,266,367,-98,-6,380,5,2016-11-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-240,0,45,266,309,-233,-120,110,4,2016-12-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-220,0,58,266,399,-236,-122,152,2,2017-01-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-240,0,41,266,836,-250,-122,141,3,2017-02-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-260,0,47,266,1522,-206,-62,162,9,2017-03-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-280,0,37,266,2004,-109,16,310,18,2017-04-01,701a56cd,53.2655310769278,-63.3865660419642
665,0,-250,665,64,266,2009,-23,98,522,33,2017-05-01,701a56cd,53.2655310769278,-63.3865660419642
836,0,-190,836,99,266,1913,42,153,831,44,2017-06-01,701a56cd,53.2655310769278,-63.3865660419642
1011,0,-180,1011,107,266,1978,77,196,1086,50,2017-07-01,701a56cd,53.2655310769278,-63.3865660419642
795,0,-100,795,118,266,1466,74,185,1106,38,2017-08-01,701a56cd,53.2655310769278,-63.3865660419642
537,0,-100,537,90,266,1227,35,138,856,28,2017-09-01,701a56cd,53.2655310769278,-63.3865660419642
356,0,-160,356,79,266,672,-5,83,606,21,2017-10-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-90,0,106,266,348,-106,-17,307,9,2017-11-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-60,0,82,266,271,-193,-85,187,5,2017-12-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,10,0,62,266,415,-265,-150,112,2,2018-01-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-10,0,49,266,932,-273,-127,101,3,2018-02-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-90,0,37,266,1380,-120,-9,292,9,2018-03-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-110,0,43,266,1997,-119,6,267,15,2018-04-01,701a56cd,53.2655310769278,-63.3865660419642
379,0,-60,379,50,266,2278,-43,68,412,29,2018-05-01,701a56cd,53.2655310769278,-63.3865660419642
930,0,-110,930,69,266,2316,21,138,661,47,2018-06-01,701a56cd,53.2655310769278,-63.3865660419642
1117,0,-60,1117,146,266,2199,86,217,1189,66,2018-07-01,701a56cd,53.2655310769278,-63.3865660419642
881,0,10,881,108,266,1686,82,201,1166,55,2018-08-01,701a56cd,53.2655310769278,-63.3865660419642
576,34,-120,610,55,208,1398,23,130,783,35,2018-09-01,701a56cd,53.2655310769278,-63.3865660419642
19,0,90,19,106,266,576,-43,25,446,13,2018-10-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-20,0,81,266,368,-128,-43,287,5,2018-11-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,-70,0,53,266,289,-204,-97,177,4,2018-12-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,50,0,77,266,407,-279,-158,101,2,2019-01-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,0,0,53,266,838,-274,-145,95,4,2019-02-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,70,0,74,266,1339,-195,-65,167,9,2019-03-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,190,0,97,266,1772,-98,17,317,18,2019-04-01,701a56cd,53.2655310769278,-63.3865660419642
665,0,140,665,52,266,2174,-16,91,552,30,2019-05-01,701a56cd,53.2655310769278,-63.3865660419642
787,0,160,787,98,266,1909,39,157,892,41,2019-06-01,701a56cd,53.2655310769278,-63.3865660419642
911,12,120,923,94,245,1928,87,199,1236,49,2019-07-01,701a56cd,53.2655310769278,-63.3865660419642
774,0,280,774,159,266,1631,90,199,1319,42,2019-08-01,701a56cd,53.2655310769278,-63.3865660419642
533,0,260,533,97,266,1195,35,125,834,29,2019-09-01,701a56cd,53.2655310769278,-63.3865660419642
297,0,100,297,52,266,754,-3,73,614,20,2019-10-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,170,0,114,266,362,-112,-24,324,6,2019-11-01,701a56cd,53.2655310769278,-63.3865660419642
0,0,130,0,66,266,274,-201,-92,176,4,2019-12-01,701a56cd,53.2655310769278,-63.3865660419642
