aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,92,0,26,379,343,-302,-197,115,0,2015-01-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,59,0,8,379,806,-348,-248,41,2,2015-02-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,-2,0,21,379,1487,-224,-92,189,2,2015-03-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,6,0,20,379,2036,-105,13,359,12,2015-04-01,714a80c2,55.6645718825232,-91.6866182982976
788,0,33,814,52,379,2616,-22,97,520,35,2015-05-01,714a80c2,55.6645718825232,-91.6866182982976
753,280,-7,1033,49,139,2465,60,172,959,50,2015-06-01,714a80c2,55.6645718825232,-91.6866182982976
987,103,84,1089,99,96,2359,101,208,1360,49,2015-07-01,714a80c2,55.6645718825232,-91.6866182982976
674,0,182,674,98,351,1521,96,181,1342,30,2015-08-01,714a80c2,55.6645718825232,-91.6866182982976
393,0,348,393,95,379,1015,62,137,1062,20,2015-09-01,714a80c2,55.6645718825232,-91.6866182982976
37,0,360,77,36,379,633,-24,46,594,9,2015-10-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,462,0,62,379,274,-94,-40,380,0,2015-11-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,403,0,29,379,205,-175,-117,283,0,2015-12-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,360,0,25,379,308,-262,-178,153,0,2016-01-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,330,0,12,379,813,-291,-175,120,0,2016-02-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,300,0,24,379,1484,-204,-71,220,4,2016-03-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,200,0,3,379,2433,-132,-2,290,12,2016-04-01,714a80c2,55.6645718825232,-91.6866182982976
741,0,190,741,43,379,2360,4,115,652,39,2016-05-01,714a80c2,55.6645718825232,-91.6866182982976
812,202,170,1014,58,139,2545,62,171,969,61,2016-06-01,714a80c2,55.6645718825232,-91.6866182982976
991,0,260,991,112,209,2192,104,204,1369,55,2016-07-01,714a80c2,55.6645718825232,-91.6866182982976
683,129,230,812,63,120,1829,93,188,1296,42,2016-08-01,714a80c2,55.6645718825232,-91.6866182982976
441,0,200,441,50,150,1097,58,135,1021,26,2016-09-01,714a80c2,55.6645718825232,-91.6866182982976
31,0,360,31,99,379,424,-24,27,587,6,2016-10-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,300,0,20,379,323,-74,-12,386,2,2016-11-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,210,0,19,379,238,-253,-173,154,0,2016-12-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,160,0,21,379,306,-255,-165,135,0,2017-01-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,250,0,30,379,732,-260,-161,151,0,2017-02-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,360,0,51,379,1367,-231,-96,180,2,2017-03-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,300,0,14,379,2105,-109,11,328,14,2017-04-01,714a80c2,55.6645718825232,-91.6866182982976
690,0,260,690,34,379,2332,-7,92,565,39,2017-05-01,714a80c2,55.6645718825232,-91.6866182982976
777,228,210,1005,52,139,2444,64,169,919,59,2017-06-01,714a80c2,55.6645718825232,-91.6866182982976
621,550,110,1171,61,96,2551,93,210,1248,74,2017-07-01,714a80c2,55.6645718825232,-91.6866182982976
323,584,-250,907,32,75,2090,86,182,1145,52,2017-08-01,714a80c2,55.6645718825232,-91.6866182982976
512,0,-220,512,62,150,1157,55,138,952,29,2017-09-01,714a80c2,55.6645718825232,-91.6866182982976
90,0,-180,90,59,379,546,-20,41,595,7,2017-10-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,-130,0,35,379,344,-166,-91,216,4,2017-11-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,-120,0,30,379,254,-275,-182,134,0,2017-12-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,-90,0,29,379,350,-302,-210,110,-2,2018-01-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,-130,0,5,379,832,-329,-207,80,-1,2018-02-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,-180,0,8,379,1524,-223,-87,160,3,2018-03-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,-190,0,13,379,2240,-155,-20,248,14,2018-04-01,714a80c2,55.6645718825232,-91.6866182982976
834,0,-300,834,11,379,2690,-7,121,607,48,2018-05-01,714a80c2,55.6645718825232,-91.6866182982976
517,495,-400,1012,28,139,2585,75,174,1047,81,2018-06-01,714a80c2,55.6645718825232,-91.6866182982976
880,187,-340,1067,88,96,2327,106,205,1341,59,2018-07-01,714a80c2,55.6645718825232,-91.6866182982976
680,113,-300,793,69,75,1815,87,180,1246,50,2018-08-01,714a80c2,55.6645718825232,-91.6866182982976
388,0,-200,388,73,379,1016,24,97,794,19,2018-09-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,-200,0,21,379,630,-59,4,447,7,2018-10-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,-170,0,29,379,296,-174,-103,223,0,2018-11-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,-190,0,24,379,230,-220,-141,192,-3,2018-12-01,714a80c2,55.6645718825232,-91.6866182982976
0,0,-170,0,27,379,372,-321,-224,87,0,2019-01-01,714a80c2,55.6645718825232,-91.6866182982976
