aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,193,0,27,310,208,-220,-126,163,1,2015-01-01,732c55a1,59.3459125120468,-117.169122230792
0,0,293,0,35,310,508,-237,-122,134,3,2015-02-01,732c55a1,59.3459125120468,-117.169122230792
0,0,259,0,15,310,1208,-153,-2,227,17,2015-03-01,732c55a1,59.3459125120468,-117.169122230792
518,0,182,624,14,502,2113,-47,93,333,47,2015-04-01,732c55a1,59.3459125120468,-117.169122230792
675,639,-276,1314,15,185,2848,16,178,481,89,2015-05-01,732c55a1,59.3459125120468,-117.169122230792
410,1022,-328,1432,37,128,2736,76,229,932,99,2015-06-01,732c55a1,59.3459125120468,-117.169122230792
627,574,-286,1201,63,99,2280,98,228,1226,78,2015-07-01,732c55a1,59.3459125120468,-117.169122230792
625,320,-196,944,64,81,1801,82,212,1153,66,2015-08-01,732c55a1,59.3459125120468,-117.169122230792
94,448,-304,542,9,69,1237,21,147,766,43,2015-09-01,732c55a1,59.3459125120468,-117.169122230792
145,0,-343,174,17,85,543,-18,63,551,20,2015-10-01,732c55a1,59.3459125120468,-117.169122230792
0,0,-359,0,23,85,253,-134,-44,308,2,2015-11-01,732c55a1,59.3459125120468,-117.169122230792
0,0,-357,0,24,85,107,-195,-123,216,0,2015-12-01,732c55a1,59.3459125120468,-117.169122230792
0,0,-380,0,17,65,192,-206,-125,165,3,2016-01-01,732c55a1,59.3459125120468,-117.169122230792
0,0,-310,0,19,65,504,-192,-84,186,7,2016-02-01,732c55a1,59.3459125120468,-117.169122230792
0,0,-270,0,18,65,1106,-126,-12,255,17,2016-03-01,732c55a1,59.3459125120468,-117.169122230792
303,0,-250,303,13,381,1851,-47,73,388,36,2016-04-01,732c55a1,59.3459125120468,-117.169122230792
959,130,-240,1089,38,234,2316,31,177,652,75,2016-05-01,732c55a1,59.3459125120468,-117.169122230792
673,631,-200,1304,62,147,2629,84,226,1055,85,2016-06-01,732c55a1,59.3459125120468,-117.169122230792
583,592,-200,1175,58,110,2293,106,238,1375,80,2016-07-01,732c55a1,59.3459125120468,-117.169122230792
564,379,-140,943,57,88,1844,88,217,1232,71,2016-08-01,732c55a1,59.3459125120468,-117.169122230792
463,114,-80,577,47,74,1128,30,151,823,41,2016-09-01,732c55a1,59.3459125120468,-117.169122230792
14,0,110,14,26,102,519,-37,24,519,15,2016-10-01,732c55a1,59.3459125120468,-117.169122230792
