aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,153,0,28,224,128,-234,-150,194,0,2015-01-01,7561f00f,61.4762135920679,-120.120851064075
0,0,249,0,38,224,386,-242,-139,151,0,2015-02-01,7561f00f,61.4762135920679,-120.120851064075
0,0,217,0,19,224,1081,-173,-37,215,10,2015-03-01,7561f00f,61.4762135920679,-120.120851064075
29,0,185,127,16,511,1851,-61,66,354,33,2015-04-01,7561f00f,61.4762135920679,-120.120851064075
1235,0,-129,1235,14,511,2814,20,178,552,83,2015-05-01,7561f00f,61.4762135920679,-120.120851064075
658,733,-203,1392,35,188,2741,87,230,998,97,2015-06-01,7561f00f,61.4762135920679,-120.120851064075
628,495,-163,1123,60,130,2084,109,228,1251,80,2015-07-01,7561f00f,61.4762135920679,-120.120851064075
663,221,-90,884,67,101,1683,90,210,1176,64,2015-08-01,7561f00f,61.4762135920679,-120.120851064075
98,345,-193,443,8,83,947,24,136,783,36,2015-09-01,7561f00f,61.4762135920679,-120.120851064075
5,0,-228,23,17,143,406,-30,35,548,9,2015-10-01,7561f00f,61.4762135920679,-120.120851064075
0,0,-257,0,25,143,171,-155,-73,285,0,2015-11-01,7561f00f,61.4762135920679,-120.120851064075
0,0,-260,0,25,143,75,-219,-151,212,0,2015-12-01,7561f00f,61.4762135920679,-120.120851064075
0,0,-240,0,18,116,126,-216,-148,149,0,2016-01-01,7561f00f,61.4762135920679,-120.120851064075
0,0,-190,0,21,116,425,-201,-108,170,5,2016-02-01,7561f00f,61.4762135920679,-120.120851064075
0,0,-170,0,21,116,1021,-153,-36,224,14,2016-03-01,7561f00f,61.4762135920679,-120.120851064075
40,0,-150,40,15,211,1707,-63,51,383,24,2016-04-01,7561f00f,61.4762135920679,-120.120851064075
1020,0,-150,1020,33,511,2329,35,172,658,72,2016-05-01,7561f00f,61.4762135920679,-120.120851064075
867,456,-140,1323,57,188,2713,92,230,1066,91,2016-06-01,7561f00f,61.4762135920679,-120.120851064075
605,591,-130,1196,58,130,2254,114,244,1348,79,2016-07-01,7561f00f,61.4762135920679,-120.120851064075
574,354,-100,928,57,101,1733,93,221,1205,61,2016-08-01,7561f00f,61.4762135920679,-120.120851064075
427,88,-70,515,43,83,1001,29,147,821,36,2016-09-01,7561f00f,61.4762135920679,-120.120851064075
0,0,-60,0,27,83,440,-48,8,497,11,2016-10-01,7561f00f,61.4762135920679,-120.120851064075
0,0,-70,0,23,83,208,-133,-54,302,1,2016-11-01,7561f00f,61.4762135920679,-120.120851064075
0,0,-70,0,22,83,77,-253,-178,122,1,2016-12-01,7561f00f,61.4762135920679,-120.120851064075
0,0,20,0,22,83,137,-237,-139,129,0,2017-01-01,7561f00f,61.4762135920679,-120.120851064075
0,0,10,0,18,83,370,-222,-125,160,4,2017-02-01,7561f00f,61.4762135920679,-120.120851064075
0,0,50,0,25,83,1079,-210,-89,192,7,2017-03-01,7561f00f,61.4762135920679,-120.120851064075
23,0,50,23,15,144,2029,-72,47,344,28,2017-04-01,7561f00f,61.4762135920679,-120.120851064075
1044,0,20,1044,32,511,2443,30,169,624,77,2017-05-01,7561f00f,61.4762135920679,-120.120851064075
943,184,70,1127,66,195,2344,85,210,1005,68,2017-06-01,7561f00f,61.4762135920679,-120.120851064075
