aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-202,0,20,94,105,-267,-188,125,0,2015-01-01,75b99590,63.2224344183488,-119.128001389327
0,0,-180,0,14,94,348,-273,-173,102,1,2015-02-01,75b99590,63.2224344183488,-119.128001389327
0,0,-183,0,14,94,1038,-215,-89,158,5,2015-03-01,75b99590,63.2224344183488,-119.128001389327
0,0,-142,0,15,94,1860,-105,17,277,21,2015-04-01,75b99590,63.2224344183488,-119.128001389327
1098,0,-243,1098,16,350,2657,7,148,509,66,2015-05-01,75b99590,63.2224344183488,-119.128001389327
539,822,-232,1361,36,153,2609,85,217,917,95,2015-06-01,75b99590,63.2224344183488,-119.128001389327
939,161,232,1100,94,107,1954,108,216,1143,81,2015-07-01,75b99590,63.2224344183488,-119.128001389327
683,176,302,859,69,83,1637,89,195,1115,60,2015-08-01,75b99590,63.2224344183488,-119.128001389327
387,0,306,387,41,84,902,22,112,734,29,2015-09-01,75b99590,63.2224344183488,-119.128001389327
0,0,306,0,39,84,347,-48,5,469,6,2015-10-01,75b99590,63.2224344183488,-119.128001389327
0,0,288,0,27,84,130,-171,-100,251,0,2015-11-01,75b99590,63.2224344183488,-119.128001389327
0,0,253,0,16,84,62,-226,-160,170,0,2015-12-01,75b99590,63.2224344183488,-119.128001389327
0,0,190,0,13,76,94,-250,-179,106,0,2016-01-01,75b99590,63.2224344183488,-119.128001389327
0,0,150,0,11,76,380,-242,-151,123,4,2016-02-01,75b99590,63.2224344183488,-119.128001389327
0,0,90,0,10,76,984,-200,-77,173,8,2016-03-01,75b99590,63.2224344183488,-119.128001389327
0,0,150,0,22,76,1759,-112,6,296,15,2016-04-01,75b99590,63.2224344183488,-119.128001389327
857,0,150,857,30,424,2148,22,138,598,58,2016-05-01,75b99590,63.2224344183488,-119.128001389327
537,739,100,1276,28,156,2558,89,215,964,86,2016-06-01,75b99590,63.2224344183488,-119.128001389327
652,568,160,1220,64,108,2233,113,233,1219,80,2016-07-01,75b99590,63.2224344183488,-119.128001389327
