aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,382,0,22,345,385,-188,-84,251,0,2015-01-01,763e68d5,53.5985602037397,-107.578187994937
0,0,407,0,29,345,790,-234,-99,171,2,2015-02-01,763e68d5,53.5985602037397,-107.578187994937
0,0,392,0,14,345,1504,-104,13,383,9,2015-03-01,763e68d5,53.5985602037397,-107.578187994937
628,0,367,685,36,1108,2089,-36,95,435,39,2015-04-01,763e68d5,53.5985602037397,-107.578187994937
879,417,271,1296,15,470,2865,3,170,557,73,2015-05-01,763e68d5,53.5985602037397,-107.578187994937
736,648,182,1384,61,317,2778,77,228,1100,82,2015-06-01,763e68d5,53.5985602037397,-107.578187994937
885,491,130,1376,85,243,2678,108,242,1400,76,2015-07-01,763e68d5,53.5985602037397,-107.578187994937
846,229,147,1074,84,198,2039,97,230,1287,72,2015-08-01,763e68d5,53.5985602037397,-107.578187994937
617,0,226,617,86,394,1444,41,167,953,41,2015-09-01,763e68d5,53.5985602037397,-107.578187994937
378,2,271,384,40,394,871,-2,121,680,33,2015-10-01,763e68d5,53.5985602037397,-107.578187994937
0,0,246,0,20,394,421,-80,6,447,4,2015-11-01,763e68d5,53.5985602037397,-107.578187994937
0,0,169,0,9,394,280,-144,-61,303,0,2015-12-01,763e68d5,53.5985602037397,-107.578187994937
0,0,160,0,29,342,390,-187,-87,247,2,2016-01-01,763e68d5,53.5985602037397,-107.578187994937
0,0,140,0,16,342,754,-159,-36,296,9,2016-02-01,763e68d5,53.5985602037397,-107.578187994937
0,0,150,0,30,342,1367,-104,6,360,11,2016-03-01,763e68d5,53.5985602037397,-107.578187994937
586,0,90,586,17,829,2040,-35,93,490,43,2016-04-01,763e68d5,53.5985602037397,-107.578187994937
830,349,90,1179,42,479,2466,37,185,762,85,2016-05-01,763e68d5,53.5985602037397,-107.578187994937
725,593,-50,1318,60,321,2743,81,223,1154,82,2016-06-01,763e68d5,53.5985602037397,-107.578187994937
977,193,30,1170,97,261,2378,108,234,1510,65,2016-07-01,763e68d5,53.5985602037397,-107.578187994937
800,262,50,1062,79,210,1982,93,225,1292,64,2016-08-01,763e68d5,53.5985602037397,-107.578187994937
421,257,30,678,41,176,1408,42,173,961,48,2016-09-01,763e68d5,53.5985602037397,-107.578187994937
181,0,210,181,75,667,570,-24,64,636,13,2016-10-01,763e68d5,53.5985602037397,-107.578187994937
11,0,190,11,15,691,441,-47,39,532,9,2016-11-01,763e68d5,53.5985602037397,-107.578187994937
0,0,160,0,10,691,311,-205,-112,190,3,2016-12-01,763e68d5,53.5985602037397,-107.578187994937
0,0,140,0,14,691,413,-201,-98,217,1,2017-01-01,763e68d5,53.5985602037397,-107.578187994937
0,0,130,0,13,691,849,-170,-64,257,6,2017-02-01,763e68d5,53.5985602037397,-107.578187994937
0,0,210,0,41,691,1406,-146,-32,327,5,2017-03-01,763e68d5,53.5985602037397,-107.578187994937
366,0,290,366,51,1195,1857,-34,72,508,27,2017-04-01,763e68d5,53.5985602037397,-107.578187994937
1029,155,340,1184,53,928,2411,28,176,662,71,2017-05-01,763e68d5,53.5985602037397,-107.578187994937
963,246,350,1209,71,639,2326,75,211,1017,69,2017-06-01,763e68d5,53.5985602037397,-107.578187994937
1050,430,280,1480,83,374,2749,109,258,1355,76,2017-07-01,763e68d5,53.5985602037397,-107.578187994937
381,850,140,1231,30,274,2179,87,241,1200,82,2017-08-01,763e68d5,53.5985602037397,-107.578187994937
268,513,-200,781,22,218,1488,45,186,922,58,2017-09-01,763e68d5,53.5985602037397,-107.578187994937
358,53,-170,411,37,207,762,-21,91,560,32,2017-10-01,763e68d5,53.5985602037397,-107.578187994937
0,0,-140,0,25,207,447,-136,-48,315,5,2017-11-01,763e68d5,53.5985602037397,-107.578187994937
0,0,-190,0,10,207,318,-192,-87,230,1,2017-12-01,763e68d5,53.5985602037397,-107.578187994937
0,0,-160,0,32,207,399,-221,-116,207,2,2018-01-01,763e68d5,53.5985602037397,-107.578187994937
0,0,-200,0,5,207,949,-262,-128,116,4,2018-02-01,763e68d5,53.5985602037397,-107.578187994937
0,0,-170,0,38,207,1512,-162,-42,290,7,2018-03-01,763e68d5,53.5985602037397,-107.578187994937
25,0,-90,25,26,258,2238,-76,49,405,22,2018-04-01,763e68d5,53.5985602037397,-107.578187994937
1224,0,-90,1224,20,445,2377,42,206,778,95,2018-05-01,763e68d5,53.5985602037397,-107.578187994937
830,427,-90,1257,73,307,2408,85,225,1167,72,2018-06-01,763e68d5,53.5985602037397,-107.578187994937
1019,260,-60,1279,100,237,2483,102,238,1400,51,2018-07-01,763e68d5,53.5985602037397,-107.578187994937
530,579,-100,1109,51,194,2063,83,225,1238,72,2018-08-01,763e68d5,53.5985602037397,-107.578187994937
496,38,30,534,52,188,1184,12,120,759,27,2018-09-01,763e68d5,53.5985602037397,-107.578187994937
195,29,10,224,20,183,894,-47,77,487,21,2018-10-01,763e68d5,53.5985602037397,-107.578187994937
0,0,70,0,32,183,368,-119,-47,354,0,2018-11-01,763e68d5,53.5985602037397,-107.578187994937
0,0,-20,0,20,183,310,-160,-64,265,2,2018-12-01,763e68d5,53.5985602037397,-107.578187994937
0,0,110,0,40,183,344,-220,-107,168,2,2019-01-01,763e68d5,53.5985602037397,-107.578187994937
0,0,110,0,15,183,900,-293,-167,84,3,2019-02-01,763e68d5,53.5985602037397,-107.578187994937
0,0,80,0,6,183,1557,-124,5,309,13,2019-03-01,763e68d5,53.5985602037397,-107.578187994937
667,0,-40,667,23,752,2150,-26,92,435,40,2019-04-01,763e68d5,53.5985602037397,-107.578187994937
662,535,-110,1197,27,401,2689,18,157,543,70,2019-05-01,763e68d5,53.5985602037397,-107.578187994937
1054,31,80,1085,110,388,2450,72,205,1166,55,2019-06-01,763e68d5,53.5985602037397,-107.578187994937
1026,31,160,1057,107,376,2384,92,223,1533,40,2019-07-01,763e68d5,53.5985602037397,-107.578187994937
653,272,150,925,58,275,1997,71,206,1295,43,2019-08-01,763e68d5,53.5985602037397,-107.578187994937
456,115,150,571,45,245,1228,41,170,1015,37,2019-09-01,763e68d5,53.5985602037397,-107.578187994937
77,0,180,77,24,261,871,-56,61,473,20,2019-10-01,763e68d5,53.5985602037397,-107.578187994937
0,0,160,0,17,261,418,-113,-23,345,4,2019-11-01,763e68d5,53.5985602037397,-107.578187994937
0,0,100,0,12,261,288,-177,-70,213,5,2019-12-01,763e68d5,53.5985602037397,-107.578187994937
