aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,339,0,22,437,417,-251,-138,161,0,2015-01-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,362,0,33,437,986,-298,-177,57,5,2015-02-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,300,0,22,437,1501,-154,-19,258,10,2015-03-01,777ff87d,52.6866448631155,-93.1982901869081
24,0,224,122,19,437,2010,-67,69,390,30,2015-04-01,777ff87d,52.6866448631155,-93.1982901869081
920,0,320,920,89,437,2415,0,134,656,42,2015-05-01,777ff87d,52.6866448631155,-93.1982901869081
968,173,303,1141,73,161,2557,72,204,1140,57,2015-06-01,777ff87d,52.6866448631155,-93.1982901869081
1212,35,372,1247,126,145,2410,121,241,1541,68,2015-07-01,777ff87d,52.6866448631155,-93.1982901869081
821,0,387,821,88,156,1639,105,213,1473,44,2015-08-01,777ff87d,52.6866448631155,-93.1982901869081
494,0,338,494,59,222,1276,70,172,1242,24,2015-09-01,777ff87d,52.6866448631155,-93.1982901869081
220,0,342,230,70,437,752,-5,76,671,15,2015-10-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,446,0,75,437,296,-63,-3,489,0,2015-11-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,438,0,39,437,277,-139,-68,326,0,2015-12-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,400,0,24,437,377,-223,-127,186,0,2016-01-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,360,0,20,437,885,-222,-101,172,4,2016-02-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,300,0,24,437,1546,-140,3,300,14,2016-03-01,777ff87d,52.6866448631155,-93.1982901869081
21,0,320,21,41,437,2148,-83,51,380,27,2016-04-01,777ff87d,52.6866448631155,-93.1982901869081
918,0,310,918,58,437,2246,23,157,733,58,2016-05-01,777ff87d,52.6866448631155,-93.1982901869081
964,109,280,1073,82,250,2439,77,199,1144,66,2016-06-01,777ff87d,52.6866448631155,-93.1982901869081
976,165,260,1141,91,141,2238,124,233,1530,79,2016-07-01,777ff87d,52.6866448631155,-93.1982901869081
901,7,270,908,95,138,1760,109,217,1465,55,2016-08-01,777ff87d,52.6866448631155,-93.1982901869081
492,0,270,492,80,409,1085,72,156,1154,21,2016-09-01,777ff87d,52.6866448631155,-93.1982901869081
203,0,230,203,49,437,506,-4,63,692,8,2016-10-01,777ff87d,52.6866448631155,-93.1982901869081
13,0,210,13,32,437,368,-42,30,509,4,2016-11-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,210,0,35,437,292,-211,-124,184,0,2016-12-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,170,0,23,437,376,-217,-118,207,0,2017-01-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,140,0,17,437,887,-194,-84,202,3,2017-02-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,110,0,24,437,1517,-176,-33,239,9,2017-03-01,777ff87d,52.6866448631155,-93.1982901869081
77,0,100,77,32,437,2021,-69,66,418,29,2017-04-01,777ff87d,52.6866448631155,-93.1982901869081
834,0,80,834,38,437,2204,9,130,654,54,2017-05-01,777ff87d,52.6866448631155,-93.1982901869081
879,101,70,980,74,264,2097,75,197,1084,63,2017-06-01,777ff87d,52.6866448631155,-93.1982901869081
853,448,-60,1301,77,144,2602,117,239,1438,97,2017-07-01,777ff87d,52.6866448631155,-93.1982901869081
667,343,-140,1010,66,104,2149,96,210,1292,69,2017-08-01,777ff87d,52.6866448631155,-93.1982901869081
530,0,-90,530,97,437,1184,65,158,1107,29,2017-09-01,777ff87d,52.6866448631155,-93.1982901869081
260,0,-100,260,48,437,669,-6,70,662,16,2017-10-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,-60,0,39,437,393,-139,-58,296,4,2017-11-01,777ff87d,52.6866448631155,-93.1982901869081
0,0,-60,0,26,437,318,-236,-137,164,0,2017-12-01,777ff87d,52.6866448631155,-93.1982901869081
