aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,196,0,116,218,407,-294,-181,60,4,2015-01-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,230,0,84,218,843,-308,-187,47,5,2015-02-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,97,0,26,218,1490,-229,-97,111,9,2015-03-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,97,0,55,218,1811,-119,-12,291,11,2015-04-01,77da8c00,53.5749606252687,-61.8522869185914
325,0,91,452,73,218,1933,-30,67,487,25,2015-05-01,77da8c00,53.5749606252687,-61.8522869185914
1050,0,-147,1050,61,218,2255,43,162,766,57,2015-06-01,77da8c00,53.5749606252687,-61.8522869185914
842,30,-187,872,83,166,1868,73,166,1033,43,2015-07-01,77da8c00,53.5749606252687,-61.8522869185914
733,8,-229,741,76,157,1549,72,175,1118,39,2015-08-01,77da8c00,53.5749606252687,-61.8522869185914
493,0,-285,493,80,218,1207,27,126,804,30,2015-09-01,77da8c00,53.5749606252687,-61.8522869185914
17,0,-330,69,51,218,738,-33,40,465,18,2015-10-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-360,0,66,218,333,-109,-28,278,11,2015-11-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-430,0,36,218,299,-181,-87,166,7,2015-12-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-390,0,67,218,370,-224,-122,114,7,2016-01-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-270,0,95,218,783,-249,-116,122,6,2016-02-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-280,0,53,218,1534,-216,-85,113,10,2016-03-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-220,0,62,218,1756,-127,-14,280,12,2016-04-01,77da8c00,53.5749606252687,-61.8522869185914
596,0,-270,596,56,218,2130,-25,86,535,29,2016-05-01,77da8c00,53.5749606252687,-61.8522869185914
878,0,-150,878,141,218,1912,38,149,763,47,2016-06-01,77da8c00,53.5749606252687,-61.8522869185914
894,22,-180,916,90,179,1968,74,179,1057,45,2016-07-01,77da8c00,53.5749606252687,-61.8522869185914
809,0,-110,809,126,218,1491,71,180,1033,41,2016-08-01,77da8c00,53.5749606252687,-61.8522869185914
532,0,-160,532,64,218,1151,21,117,720,26,2016-09-01,77da8c00,53.5749606252687,-61.8522869185914
83,0,-70,83,108,218,629,-33,42,478,17,2016-10-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-120,0,69,218,349,-96,-14,349,7,2016-11-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-180,0,54,218,308,-226,-125,90,6,2016-12-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-170,0,63,218,387,-226,-121,123,5,2017-01-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-180,0,50,218,805,-246,-130,108,5,2017-02-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-190,0,59,218,1487,-206,-75,133,10,2017-03-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-230,0,30,218,2002,-117,-2,275,15,2017-04-01,77da8c00,53.5749606252687,-61.8522869185914
451,0,-200,451,77,218,2006,-37,74,475,23,2017-05-01,77da8c00,53.5749606252687,-61.8522869185914
828,0,-200,828,81,218,1875,37,145,768,44,2017-06-01,77da8c00,53.5749606252687,-61.8522869185914
971,0,-190,971,112,218,1944,69,185,1036,50,2017-07-01,77da8c00,53.5749606252687,-61.8522869185914
792,0,-120,792,124,218,1482,68,176,1043,41,2017-08-01,77da8c00,53.5749606252687,-61.8522869185914
540,0,-110,540,90,218,1227,28,128,790,30,2017-09-01,77da8c00,53.5749606252687,-61.8522869185914
366,0,-180,366,75,218,676,-8,76,558,24,2017-10-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-90,0,121,218,330,-102,-23,281,10,2017-11-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,110,0,102,218,259,-181,-86,170,7,2017-12-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,100,0,69,218,391,-252,-149,93,5,2018-01-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,110,0,70,218,879,-271,-136,68,5,2018-02-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-80,0,37,218,1294,-120,-23,263,9,2018-03-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-80,0,48,218,1927,-125,-12,230,14,2018-04-01,77da8c00,53.5749606252687,-61.8522869185914
49,0,40,49,53,218,2265,-59,43,365,25,2018-05-01,77da8c00,53.5749606252687,-61.8522869185914
905,0,-80,905,69,218,2266,15,130,613,49,2018-06-01,77da8c00,53.5749606252687,-61.8522869185914
1075,0,30,1075,152,218,2156,77,206,1111,62,2018-07-01,77da8c00,53.5749606252687,-61.8522869185914
860,0,60,860,122,218,1692,75,189,1106,55,2018-08-01,77da8c00,53.5749606252687,-61.8522869185914
556,68,-110,624,46,100,1358,16,122,707,37,2018-09-01,77da8c00,53.5749606252687,-61.8522869185914
16,0,70,16,116,198,550,-43,18,408,14,2018-10-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-20,0,84,198,354,-125,-49,264,7,2018-11-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,-80,0,55,198,272,-194,-100,147,6,2018-12-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,70,0,96,198,383,-269,-160,77,5,2019-01-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,80,0,67,198,813,-268,-150,71,6,2019-02-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,100,0,82,198,1348,-196,-76,141,10,2019-03-01,77da8c00,53.5749606252687,-61.8522869185914
0,0,190,0,89,198,1822,-102,2,300,15,2019-04-01,77da8c00,53.5749606252687,-61.8522869185914
471,0,100,471,42,218,2065,-28,70,524,23,2019-05-01,77da8c00,53.5749606252687,-61.8522869185914
764,0,120,764,104,218,1824,38,153,855,42,2019-06-01,77da8c00,53.5749606252687,-61.8522869185914
