aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,382,0,22,529,432,-241,-125,174,0,2015-01-01,785dfaab,51.9849379218622,-94.2782722942041
0,0,392,0,31,529,999,-294,-166,65,5,2015-02-01,785dfaab,51.9849379218622,-94.2782722942041
0,0,320,0,22,529,1491,-143,-6,265,13,2015-03-01,785dfaab,51.9849379218622,-94.2782722942041
145,0,234,309,16,529,2045,-60,82,409,33,2015-04-01,785dfaab,51.9849379218622,-94.2782722942041
954,0,297,954,88,529,2371,4,144,687,46,2015-05-01,785dfaab,51.9849379218622,-94.2782722942041
1006,173,265,1179,75,231,2568,78,213,1199,60,2015-06-01,785dfaab,51.9849379218622,-94.2782722942041
1076,157,287,1233,105,149,2396,124,243,1615,63,2015-07-01,785dfaab,51.9849379218622,-94.2782722942041
857,0,314,857,100,245,1683,109,221,1533,45,2015-08-01,785dfaab,51.9849379218622,-94.2782722942041
522,39,249,561,52,222,1367,79,182,1287,30,2015-09-01,785dfaab,51.9849379218622,-94.2782722942041
279,0,248,284,72,529,782,10,88,708,19,2015-10-01,785dfaab,51.9849379218622,-94.2782722942041
0,0,346,2,69,529,311,-50,11,513,3,2015-11-01,785dfaab,51.9849379218622,-94.2782722942041
0,0,362,0,40,529,291,-135,-60,329,0,2015-12-01,785dfaab,51.9849379218622,-94.2782722942041
0,0,330,0,20,529,404,-215,-115,199,0,2016-01-01,785dfaab,51.9849379218622,-94.2782722942041
0,0,300,0,20,529,859,-207,-83,173,5,2016-02-01,785dfaab,51.9849379218622,-94.2782722942041
0,0,260,0,29,529,1518,-123,17,317,16,2016-03-01,785dfaab,51.9849379218622,-94.2782722942041
45,0,320,45,53,529,2078,-73,59,413,28,2016-04-01,785dfaab,51.9849379218622,-94.2782722942041
955,0,340,955,71,529,2198,28,167,761,62,2016-05-01,785dfaab,51.9849379218622,-94.2782722942041
1015,91,330,1106,90,372,2412,84,210,1212,67,2016-06-01,785dfaab,51.9849379218622,-94.2782722942041
932,211,310,1143,78,184,2264,125,238,1611,74,2016-07-01,785dfaab,51.9849379218622,-94.2782722942041
945,0,330,945,102,211,1824,113,227,1544,57,2016-08-01,785dfaab,51.9849379218622,-94.2782722942041
537,0,330,537,81,441,1114,78,168,1205,26,2016-09-01,785dfaab,51.9849379218622,-94.2782722942041
255,0,280,255,40,529,564,8,77,734,13,2016-10-01,785dfaab,51.9849379218622,-94.2782722942041
69,0,240,69,30,529,386,-28,46,553,7,2016-11-01,785dfaab,51.9849379218622,-94.2782722942041
0,0,270,0,40,529,299,-205,-116,196,0,2016-12-01,785dfaab,51.9849379218622,-94.2782722942041
0,0,220,0,21,529,397,-208,-105,223,0,2017-01-01,785dfaab,51.9849379218622,-94.2782722942041
0,0,190,0,17,529,909,-185,-73,203,5,2017-02-01,785dfaab,51.9849379218622,-94.2782722942041
0,0,140,0,23,529,1507,-165,-24,252,10,2017-03-01,785dfaab,51.9849379218622,-94.2782722942041
197,0,130,197,32,529,2039,-60,75,448,32,2017-04-01,785dfaab,51.9849379218622,-94.2782722942041
880,0,70,880,26,529,2217,15,138,675,58,2017-05-01,785dfaab,51.9849379218622,-94.2782722942041
888,132,-110,1020,70,302,2074,81,208,1132,66,2017-06-01,785dfaab,51.9849379218622,-94.2782722942041
675,617,-200,1292,57,171,2565,117,245,1521,92,2017-07-01,785dfaab,51.9849379218622,-94.2782722942041
537,486,-260,1023,52,124,2137,99,217,1353,72,2017-08-01,785dfaab,51.9849379218622,-94.2782722942041
576,0,-160,576,113,529,1232,71,171,1165,34,2017-09-01,785dfaab,51.9849379218622,-94.2782722942041
332,0,-170,332,39,529,719,4,85,689,21,2017-10-01,785dfaab,51.9849379218622,-94.2782722942041
