aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,84,0,18,117,389,-150,-45,286,3,2015-01-01,786088ca,53.6310369565046,-112.797430423978
0,0,120,0,29,117,764,-165,-50,271,2,2015-02-01,786088ca,53.6310369565046,-112.797430423978
0,0,101,13,13,156,1404,-77,42,423,16,2015-03-01,786088ca,53.6310369565046,-112.797430423978
708,0,104,738,34,608,1958,-38,109,434,45,2015-04-01,786088ca,53.6310369565046,-112.797430423978
512,755,-152,1267,14,263,2758,10,173,602,72,2015-05-01,786088ca,53.6310369565046,-112.797430423978
687,636,-184,1323,64,183,2672,75,223,1043,83,2015-06-01,786088ca,53.6310369565046,-112.797430423978
850,499,-238,1349,85,142,2625,93,235,1283,76,2015-07-01,786088ca,53.6310369565046,-112.797430423978
420,663,-287,1084,42,117,2138,80,231,1206,75,2015-08-01,786088ca,53.6310369565046,-112.797430423978
572,0,-120,572,95,450,1361,31,162,881,43,2015-09-01,786088ca,53.6310369565046,-112.797430423978
317,110,179,427,23,356,879,0,137,683,41,2015-10-01,786088ca,53.6310369565046,-112.797430423978
0,0,165,0,15,356,424,-80,18,427,9,2015-11-01,786088ca,53.6310369565046,-112.797430423978
0,0,128,0,10,356,303,-129,-34,304,5,2015-12-01,786088ca,53.6310369565046,-112.797430423978
0,0,110,0,23,309,394,-145,-45,305,6,2016-01-01,786088ca,53.6310369565046,-112.797430423978
0,0,100,0,13,309,811,-115,-2,352,13,2016-02-01,786088ca,53.6310369565046,-112.797430423978
0,0,100,0,21,309,1308,-70,28,415,15,2016-03-01,786088ca,53.6310369565046,-112.797430423978
680,0,60,680,21,587,1963,-25,115,542,49,2016-04-01,786088ca,53.6310369565046,-112.797430423978
874,222,60,1096,61,311,2360,26,180,743,67,2016-05-01,786088ca,53.6310369565046,-112.797430423978
651,590,-50,1241,57,203,2664,70,215,1072,73,2016-06-01,786088ca,53.6310369565046,-112.797430423978
1045,122,10,1167,106,163,2514,94,224,1382,60,2016-07-01,786088ca,53.6310369565046,-112.797430423978
539,458,-80,997,53,130,1940,84,219,1257,60,2016-08-01,786088ca,53.6310369565046,-112.797430423978
399,233,-90,632,40,109,1383,35,166,912,47,2016-09-01,786088ca,53.6310369565046,-112.797430423978
