aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-345,0,21,216,376,-323,-238,65,0,2015-01-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-401,0,4,216,915,-350,-245,46,1,2015-02-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-427,0,11,216,1483,-268,-148,105,3,2015-03-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-426,0,14,216,2117,-134,-24,337,3,2015-04-01,78cab255,56.4623652250688,-71.8605930460639
113,0,-443,253,30,216,2124,-30,50,499,18,2015-05-01,78cab255,56.4623652250688,-71.8605930460639
826,0,-340,826,66,216,1934,39,135,808,37,2015-06-01,78cab255,56.4623652250688,-71.8605930460639
863,19,-230,883,87,183,1710,97,187,1265,42,2015-07-01,78cab255,56.4623652250688,-71.8605930460639
739,0,-152,739,99,216,1583,89,181,1254,36,2015-08-01,78cab255,56.4623652250688,-71.8605930460639
280,0,278,283,93,216,962,25,101,881,10,2015-09-01,78cab255,56.4623652250688,-71.8605930460639
1,0,251,11,53,216,590,-34,20,531,6,2015-10-01,78cab255,56.4623652250688,-71.8605930460639
0,0,272,0,58,216,262,-107,-47,371,0,2015-11-01,78cab255,56.4623652250688,-71.8605930460639
0,0,225,0,33,216,197,-195,-110,301,0,2015-12-01,78cab255,56.4623652250688,-71.8605930460639
0,0,200,0,26,216,286,-249,-161,134,0,2016-01-01,78cab255,56.4623652250688,-71.8605930460639
0,0,170,0,23,216,743,-291,-178,105,1,2016-02-01,78cab255,56.4623652250688,-71.8605930460639
0,0,160,0,27,216,1421,-246,-134,140,4,2016-03-01,78cab255,56.4623652250688,-71.8605930460639
0,0,170,0,28,216,2128,-174,-65,224,4,2016-04-01,78cab255,56.4623652250688,-71.8605930460639
357,0,70,357,35,216,2322,-25,59,554,20,2016-05-01,78cab255,56.4623652250688,-71.8605930460639
791,0,70,791,54,216,2133,41,140,868,41,2016-06-01,78cab255,56.4623652250688,-71.8605930460639
860,53,80,913,81,126,1799,97,190,1214,54,2016-07-01,78cab255,56.4623652250688,-71.8605930460639
750,0,-20,750,80,133,1575,88,176,1203,42,2016-08-01,78cab255,56.4623652250688,-71.8605930460639
352,0,-70,352,70,216,1049,27,99,855,17,2016-09-01,78cab255,56.4623652250688,-71.8605930460639
9,0,-60,9,52,216,510,-30,17,571,7,2016-10-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-80,0,42,216,286,-98,-36,396,3,2016-11-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-130,0,25,216,252,-232,-153,173,0,2016-12-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-60,0,40,216,307,-245,-156,154,1,2017-01-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-70,0,22,216,814,-282,-177,116,1,2017-02-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-70,0,23,216,1583,-235,-111,150,5,2017-03-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-90,0,19,216,2031,-140,-32,293,6,2017-04-01,78cab255,56.4623652250688,-71.8605930460639
362,0,-150,362,39,216,2530,-35,66,563,28,2017-05-01,78cab255,56.4623652250688,-71.8605930460639
775,0,-90,775,64,216,1947,47,136,849,27,2017-06-01,78cab255,56.4623652250688,-71.8605930460639
1000,66,40,1066,93,103,2189,89,179,1075,59,2017-07-01,78cab255,56.4623652250688,-71.8605930460639
802,0,0,802,89,145,1718,81,165,1076,42,2017-08-01,78cab255,56.4623652250688,-71.8605930460639
398,0,-10,398,71,216,1008,38,105,858,17,2017-09-01,78cab255,56.4623652250688,-71.8605930460639
163,0,100,163,78,216,462,-7,49,630,9,2017-10-01,78cab255,56.4623652250688,-71.8605930460639
0,0,60,0,41,216,274,-104,-50,304,4,2017-11-01,78cab255,56.4623652250688,-71.8605930460639
0,0,60,0,38,216,187,-200,-119,218,0,2017-12-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-20,0,25,216,365,-298,-212,74,1,2018-01-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-70,0,17,216,793,-304,-198,86,0,2018-02-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-60,0,24,216,1379,-173,-61,228,7,2018-03-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-80,0,19,216,2098,-173,-48,224,7,2018-04-01,78cab255,56.4623652250688,-71.8605930460639
0,0,70,0,44,216,2475,-66,5,395,11,2018-05-01,78cab255,56.4623652250688,-71.8605930460639
777,0,-30,777,42,216,2575,20,97,647,33,2018-06-01,78cab255,56.4623652250688,-71.8605930460639
875,106,-60,981,75,80,2060,87,194,1166,56,2018-07-01,78cab255,56.4623652250688,-71.8605930460639
626,241,-160,867,63,55,1845,81,164,1052,49,2018-08-01,78cab255,56.4623652250688,-71.8605930460639
353,0,-80,353,109,216,847,21,80,745,14,2018-09-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-120,0,39,216,617,-56,5,441,7,2018-10-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-180,0,32,216,282,-134,-71,295,3,2018-11-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-170,0,34,216,196,-198,-123,220,0,2018-12-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-180,0,22,216,308,-287,-197,79,1,2019-01-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-160,0,26,216,780,-285,-183,97,1,2019-02-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-90,0,35,216,1431,-229,-117,144,3,2019-03-01,78cab255,56.4623652250688,-71.8605930460639
0,0,-80,0,24,216,2117,-136,-36,280,6,2019-04-01,78cab255,56.4623652250688,-71.8605930460639
574,0,-170,574,47,216,2351,-7,71,577,22,2019-05-01,78cab255,56.4623652250688,-71.8605930460639
862,0,-80,862,84,216,2068,69,159,989,42,2019-06-01,78cab255,56.4623652250688,-71.8605930460639
826,0,410,826,171,216,1631,106,194,1309,46,2019-07-01,78cab255,56.4623652250688,-71.8605930460639
696,0,650,696,157,216,1306,106,185,1310,40,2019-08-01,78cab255,56.4623652250688,-71.8605930460639
428,0,570,428,59,216,965,39,101,834,19,2019-09-01,78cab255,56.4623652250688,-71.8605930460639
219,0,410,219,47,216,504,13,61,687,12,2019-10-01,78cab255,56.4623652250688,-71.8605930460639
0,0,290,0,30,216,289,-89,-29,365,4,2019-11-01,78cab255,56.4623652250688,-71.8605930460639
0,0,350,0,58,216,189,-173,-96,221,1,2019-12-01,78cab255,56.4623652250688,-71.8605930460639
