aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,787,0,46,295,432,-299,-178,111,0,2015-01-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,746,0,41,295,963,-347,-211,64,1,2015-02-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,723,0,41,295,1500,-224,-72,202,3,2015-03-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,717,0,48,295,1879,-100,25,405,11,2015-04-01,7a0afc13,52.6687305766864,-84.5734944558213
773,0,693,783,62,295,2245,-6,118,656,33,2015-05-01,7a0afc13,52.6687305766864,-84.5734944558213
805,302,579,1107,61,108,2765,53,186,1022,50,2015-06-01,7a0afc13,52.6687305766864,-84.5734944558213
533,528,433,1061,53,75,2222,98,223,1447,51,2015-07-01,7a0afc13,52.6687305766864,-84.5734944558213
742,0,478,742,112,295,1659,94,201,1445,33,2015-08-01,7a0afc13,52.6687305766864,-84.5734944558213
459,0,420,459,56,295,1387,60,167,1228,19,2015-09-01,7a0afc13,52.6687305766864,-84.5734944558213
139,0,372,165,52,295,732,-22,70,643,12,2015-10-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,258,0,28,295,267,-72,4,539,0,2015-11-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,277,0,51,295,249,-147,-75,380,0,2015-12-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,280,0,48,295,367,-248,-145,180,2,2016-01-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,280,0,37,295,858,-273,-134,152,2,2016-02-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,190,0,13,295,1666,-191,-45,245,7,2016-03-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,130,0,18,295,2039,-122,6,338,10,2016-04-01,7a0afc13,52.6687305766864,-84.5734944558213
734,0,140,734,56,295,2275,-3,129,697,44,2016-05-01,7a0afc13,52.6687305766864,-84.5734944558213
953,0,180,953,101,295,2258,58,186,1045,54,2016-06-01,7a0afc13,52.6687305766864,-84.5734944558213
878,188,170,1066,73,108,2331,99,220,1417,62,2016-07-01,7a0afc13,52.6687305766864,-84.5734944558213
774,60,140,834,79,82,1783,96,213,1445,56,2016-08-01,7a0afc13,52.6687305766864,-84.5734944558213
483,0,250,483,123,295,1178,60,161,1143,27,2016-09-01,7a0afc13,52.6687305766864,-84.5734944558213
215,0,260,215,67,295,551,-8,76,713,11,2016-10-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,220,0,47,295,308,-60,15,525,5,2016-11-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,260,0,54,295,272,-215,-127,226,0,2016-12-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,230,0,37,295,323,-225,-134,199,0,2017-01-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,260,0,46,295,771,-243,-114,182,2,2017-02-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,180,0,16,295,1490,-209,-56,213,6,2017-03-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,220,0,45,295,1947,-88,37,399,17,2017-04-01,7a0afc13,52.6687305766864,-84.5734944558213
667,0,250,667,56,295,2233,-3,105,671,35,2017-05-01,7a0afc13,52.6687305766864,-84.5734944558213
1020,0,330,1020,126,295,2497,67,189,1035,55,2017-06-01,7a0afc13,52.6687305766864,-84.5734944558213
625,574,220,1199,46,108,2676,82,217,1247,86,2017-07-01,7a0afc13,52.6687305766864,-84.5734944558213
347,495,60,842,33,75,1980,73,190,1223,51,2017-08-01,7a0afc13,52.6687305766864,-84.5734944558213
472,0,110,472,107,295,1181,59,159,1118,31,2017-09-01,7a0afc13,52.6687305766864,-84.5734944558213
222,0,-170,222,37,295,707,-3,81,743,19,2017-10-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,-150,0,50,295,414,-125,-41,354,4,2017-11-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,-130,0,40,295,324,-249,-148,196,0,2017-12-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,-100,0,43,295,423,-279,-166,140,1,2018-01-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,-90,0,30,295,878,-299,-155,121,1,2018-02-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,-150,0,11,295,1519,-215,-54,203,6,2018-03-01,7a0afc13,52.6687305766864,-84.5734944558213
0,0,-170,0,19,295,2253,-145,-5,277,14,2018-04-01,7a0afc13,52.6687305766864,-84.5734944558213
826,0,-90,826,74,295,2409,-7,139,659,42,2018-05-01,7a0afc13,52.6687305766864,-84.5734944558213
498,629,-200,1127,33,108,2801,57,193,973,82,2018-06-01,7a0afc13,52.6687305766864,-84.5734944558213
