aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,375,0,41,540,492,-236,-108,204,0,2015-01-01,7a56faa5,49.750347631989,-91.7122221702256
0,0,389,0,49,540,993,-291,-139,87,5,2015-02-01,7a56faa5,49.750347631989,-91.7122221702256
0,0,327,0,35,540,1446,-136,8,290,14,2015-03-01,7a56faa5,49.750347631989,-91.7122221702256
268,0,231,422,38,540,2072,-54,85,418,34,2015-04-01,7a56faa5,49.750347631989,-91.7122221702256
869,0,370,869,139,540,2125,14,148,784,40,2015-05-01,7a56faa5,49.750347631989,-91.7122221702256
983,99,352,1082,86,369,2376,79,211,1227,57,2015-06-01,7a56faa5,49.750347631989,-91.7122221702256
1256,21,418,1277,130,349,2384,133,249,1608,74,2015-07-01,7a56faa5,49.750347631989,-91.7122221702256
792,130,384,922,71,231,1812,116,224,1539,50,2015-08-01,7a56faa5,49.750347631989,-91.7122221702256
643,0,322,643,80,350,1579,88,201,1384,37,2015-09-01,7a56faa5,49.750347631989,-91.7122221702256
320,0,318,324,75,540,844,3,106,707,25,2015-10-01,7a56faa5,49.750347631989,-91.7122221702256
1,0,476,7,127,540,348,-44,36,604,1,2015-11-01,7a56faa5,49.750347631989,-91.7122221702256
0,0,458,0,53,540,298,-118,-45,388,0,2015-12-01,7a56faa5,49.750347631989,-91.7122221702256
0,0,390,0,29,540,432,-208,-109,232,0,2016-01-01,7a56faa5,49.750347631989,-91.7122221702256
0,0,360,0,37,540,845,-192,-71,223,4,2016-02-01,7a56faa5,49.750347631989,-91.7122221702256
0,0,420,0,79,540,1512,-106,31,390,16,2016-03-01,7a56faa5,49.750347631989,-91.7122221702256
94,0,450,94,73,540,1919,-57,59,468,24,2016-04-01,7a56faa5,49.750347631989,-91.7122221702256
938,0,390,938,57,540,2246,33,166,770,56,2016-05-01,7a56faa5,49.750347631989,-91.7122221702256
1029,0,380,1029,113,540,2339,90,206,1269,54,2016-06-01,7a56faa5,49.750347631989,-91.7122221702256
1102,127,360,1229,93,321,2490,136,242,1609,86,2016-07-01,7a56faa5,49.750347631989,-91.7122221702256
986,0,360,986,105,336,1970,125,234,1637,67,2016-08-01,7a56faa5,49.750347631989,-91.7122221702256
541,0,380,541,108,540,1234,90,174,1312,34,2016-09-01,7a56faa5,49.750347631989,-91.7122221702256
