aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,810,0,50,311,443,-293,-171,130,0,2015-01-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,768,0,44,311,994,-345,-206,58,2,2015-02-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,746,0,46,311,1504,-216,-62,213,4,2015-03-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,740,0,53,311,1877,-97,30,407,12,2015-04-01,7b2c2270,52.2169286578339,-84.6581445207566
818,0,719,827,68,311,2239,0,129,674,38,2015-05-01,7b2c2270,52.2169286578339,-84.6581445207566
836,273,607,1110,63,115,2718,56,192,1050,52,2015-06-01,7b2c2270,52.2169286578339,-84.6581445207566
548,560,453,1108,54,79,2278,101,229,1467,56,2015-07-01,7b2c2270,52.2169286578339,-84.6581445207566
764,0,497,764,114,311,1677,97,205,1463,35,2015-08-01,7b2c2270,52.2169286578339,-84.6581445207566
494,0,426,494,57,311,1421,64,174,1248,23,2015-09-01,7b2c2270,52.2169286578339,-84.6581445207566
164,0,379,184,54,311,746,-21,74,651,13,2015-10-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,262,0,31,311,273,-66,10,546,0,2015-11-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,282,0,55,311,250,-144,-72,372,0,2015-12-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,300,0,55,311,378,-246,-144,199,1,2016-01-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,300,0,42,311,872,-268,-129,160,3,2016-02-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,200,0,12,311,1664,-183,-37,271,8,2016-03-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,130,0,19,311,2044,-114,15,356,12,2016-04-01,7b2c2270,52.2169286578339,-84.6581445207566
788,0,140,788,60,311,2276,4,140,715,49,2016-05-01,7b2c2270,52.2169286578339,-84.6581445207566
962,0,210,962,120,311,2267,59,190,1074,57,2016-06-01,7b2c2270,52.2169286578339,-84.6581445207566
945,124,220,1069,79,115,2333,101,223,1447,67,2016-07-01,7b2c2270,52.2169286578339,-84.6581445207566
753,101,190,854,76,79,1780,100,220,1483,58,2016-08-01,7b2c2270,52.2169286578339,-84.6581445207566
502,0,280,502,119,311,1196,64,167,1171,29,2016-09-01,7b2c2270,52.2169286578339,-84.6581445207566
244,0,280,244,68,311,565,-3,83,722,13,2016-10-01,7b2c2270,52.2169286578339,-84.6581445207566
4,0,250,4,54,311,322,-52,24,545,5,2016-11-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,300,0,63,311,275,-210,-122,235,0,2016-12-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,270,0,40,311,331,-222,-132,210,0,2017-01-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,280,0,45,311,785,-233,-105,198,3,2017-02-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,210,0,18,311,1505,-207,-53,223,6,2017-03-01,7b2c2270,52.2169286578339,-84.6581445207566
14,0,260,14,54,311,1931,-82,45,424,19,2017-04-01,7b2c2270,52.2169286578339,-84.6581445207566
689,0,280,689,60,311,2213,1,112,688,40,2017-05-01,7b2c2270,52.2169286578339,-84.6581445207566
1027,0,380,1027,135,311,2482,70,194,1064,58,2017-06-01,7b2c2270,52.2169286578339,-84.6581445207566
636,579,260,1215,46,115,2666,86,223,1277,91,2017-07-01,7b2c2270,52.2169286578339,-84.6581445207566
366,476,100,842,35,79,1987,74,191,1245,54,2017-08-01,7b2c2270,52.2169286578339,-84.6581445207566
468,0,180,468,116,311,1187,61,163,1159,32,2017-09-01,7b2c2270,52.2169286578339,-84.6581445207566
236,0,120,236,43,311,723,0,86,760,21,2017-10-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,130,0,59,311,413,-124,-40,364,5,2017-11-01,7b2c2270,52.2169286578339,-84.6581445207566
0,0,110,0,41,311,337,-251,-149,205,0,2017-12-01,7b2c2270,52.2169286578339,-84.6581445207566
