aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,832,0,66,217,502,-297,-167,101,1,2015-01-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,791,0,56,217,1051,-330,-188,70,2,2015-02-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,776,0,62,217,1589,-227,-69,165,7,2015-03-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,782,0,60,217,2007,-90,34,412,13,2015-04-01,7b64ca4f,51.7762643797294,-75.0474227162532
960,0,716,960,76,217,2164,15,138,628,51,2015-05-01,7b64ca4f,51.7762643797294,-75.0474227162532
764,301,596,1065,66,80,2216,66,187,979,59,2015-06-01,7b64ca4f,51.7762643797294,-75.0474227162532
617,382,461,999,62,55,1815,117,215,1406,57,2015-07-01,7b64ca4f,51.7762643797294,-75.0474227162532
799,0,517,799,159,217,1494,125,205,1457,48,2015-08-01,7b64ca4f,51.7762643797294,-75.0474227162532
482,0,413,482,78,217,1444,63,160,1190,20,2015-09-01,7b64ca4f,51.7762643797294,-75.0474227162532
91,0,356,131,71,217,717,-16,51,618,10,2015-10-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,217,0,44,217,298,-61,3,516,0,2015-11-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,254,0,88,217,302,-125,-65,395,0,2015-12-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,250,0,61,217,421,-225,-115,191,5,2016-01-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,240,0,48,217,917,-254,-117,157,5,2016-02-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,220,0,41,217,1624,-190,-46,225,10,2016-03-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,200,0,36,217,2281,-117,8,290,13,2016-04-01,7b64ca4f,51.7762643797294,-75.0474227162532
805,0,170,805,57,217,2294,14,131,679,47,2016-05-01,7b64ca4f,51.7762643797294,-75.0474227162532
952,63,150,1015,89,109,2146,76,190,1007,61,2016-06-01,7b64ca4f,51.7762643797294,-75.0474227162532
1045,52,140,1097,106,75,2146,118,219,1368,64,2016-07-01,7b64ca4f,51.7762643797294,-75.0474227162532
857,0,100,857,112,217,1592,111,211,1383,52,2016-08-01,7b64ca4f,51.7762643797294,-75.0474227162532
491,0,120,491,110,217,1171,62,149,1096,25,2016-09-01,7b64ca4f,51.7762643797294,-75.0474227162532
211,0,110,211,85,217,700,-1,68,714,12,2016-10-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,90,0,78,217,301,-57,4,511,7,2016-11-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,80,0,67,217,328,-192,-103,233,3,2016-12-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,70,0,54,217,439,-211,-104,221,5,2017-01-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,70,0,42,217,886,-238,-106,197,4,2017-02-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,60,0,41,217,1605,-200,-54,191,9,2017-03-01,7b64ca4f,51.7762643797294,-75.0474227162532
17,0,60,17,37,217,1891,-72,40,424,18,2017-04-01,7b64ca4f,51.7762643797294,-75.0474227162532
724,0,60,724,58,217,2009,17,122,705,42,2017-05-01,7b64ca4f,51.7762643797294,-75.0474227162532
939,65,60,1004,87,105,2188,75,188,1030,58,2017-06-01,7b64ca4f,51.7762643797294,-75.0474227162532
1032,213,-30,1245,104,65,2452,102,216,1187,74,2017-07-01,7b64ca4f,51.7762643797294,-75.0474227162532
833,0,-20,833,112,217,1545,93,192,1192,47,2017-08-01,7b64ca4f,51.7762643797294,-75.0474227162532
506,0,10,506,108,217,1331,67,153,1115,29,2017-09-01,7b64ca4f,51.7762643797294,-75.0474227162532
250,0,0,250,85,217,612,15,88,793,17,2017-10-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,-10,0,78,217,303,-91,-20,361,6,2017-11-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,0,0,67,217,320,-201,-110,217,1,2017-12-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,0,0,54,217,517,-265,-147,137,3,2018-01-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,0,0,43,217,984,-252,-115,157,3,2018-02-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,0,0,40,217,1530,-165,-28,235,12,2018-03-01,7b64ca4f,51.7762643797294,-75.0474227162532
0,0,10,0,36,217,2212,-111,8,294,18,2018-04-01,7b64ca4f,51.7762643797294,-75.0474227162532
841,0,-20,841,57,217,2398,-5,121,595,42,2018-05-01,7b64ca4f,51.7762643797294,-75.0474227162532
987,243,-80,1230,86,80,2929,60,182,826,88,2018-06-01,7b64ca4f,51.7762643797294,-75.0474227162532
1028,173,-100,1201,106,55,2243,123,235,1428,98,2018-07-01,7b64ca4f,51.7762643797294,-75.0474227162532
