aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-80,0,63,534,225,-92,-18,439,0,2015-01-01,7c651632,54.2674247149585,-122.977578099705
0,0,-72,0,43,534,532,-89,3,388,8,2015-02-01,7c651632,54.2674247149585,-122.977578099705
62,0,-106,143,37,1008,1017,-47,66,477,23,2015-03-01,7c651632,54.2674247149585,-122.977578099705
659,0,-115,672,25,1008,1659,-22,111,480,44,2015-04-01,7c651632,54.2674247149585,-122.977578099705
881,240,-150,1121,47,596,2378,28,195,706,81,2015-05-01,7c651632,54.2674247149585,-122.977578099705
860,387,-179,1247,63,330,2506,76,221,950,91,2015-06-01,7c651632,54.2674247149585,-122.977578099705
657,692,-197,1349,59,238,2540,86,241,1077,99,2015-07-01,7c651632,54.2674247149585,-122.977578099705
618,429,-195,1047,60,188,1927,77,234,1031,94,2015-08-01,7c651632,54.2674247149585,-122.977578099705
502,0,-163,502,60,256,1186,23,155,820,42,2015-09-01,7c651632,54.2674247149585,-122.977578099705
265,0,-155,268,63,586,657,4,114,706,29,2015-10-01,7c651632,54.2674247149585,-122.977578099705
0,0,-160,0,56,586,350,-81,1,394,8,2015-11-01,7c651632,54.2674247149585,-122.977578099705
0,0,-119,0,59,586,207,-111,-36,359,1,2015-12-01,7c651632,54.2674247149585,-122.977578099705
0,0,-120,0,64,513,269,-117,-29,392,2,2016-01-01,7c651632,54.2674247149585,-122.977578099705
0,0,-110,0,43,513,576,-79,24,436,13,2016-02-01,7c651632,54.2674247149585,-122.977578099705
94,0,-120,94,37,1008,1172,-54,64,456,27,2016-03-01,7c651632,54.2674247149585,-122.977578099705
627,0,-130,627,26,1008,1649,-8,131,581,56,2016-04-01,7c651632,54.2674247149585,-122.977578099705
831,218,-150,1049,46,634,2258,29,180,686,74,2016-05-01,7c651632,54.2674247149585,-122.977578099705
826,265,-160,1091,63,402,2289,68,211,960,74,2016-06-01,7c651632,54.2674247149585,-122.977578099705
710,373,-140,1083,61,270,2018,93,230,1183,75,2016-07-01,7c651632,54.2674247149585,-122.977578099705
620,374,-140,994,59,206,1870,81,234,1106,87,2016-08-01,7c651632,54.2674247149585,-122.977578099705
565,0,-120,565,60,214,1143,29,165,861,45,2016-09-01,7c651632,54.2674247149585,-122.977578099705
264,0,-110,264,63,547,556,-7,87,622,21,2016-10-01,7c651632,54.2674247149585,-122.977578099705
9,0,-120,9,55,637,255,-43,32,555,14,2016-11-01,7c651632,54.2674247149585,-122.977578099705
0,0,-90,0,60,637,251,-154,-66,210,3,2016-12-01,7c651632,54.2674247149585,-122.977578099705
0,0,-70,0,64,637,301,-128,-26,283,3,2017-01-01,7c651632,54.2674247149585,-122.977578099705
0,0,-70,0,42,637,643,-122,-15,247,8,2017-02-01,7c651632,54.2674247149585,-122.977578099705
0,0,10,0,37,637,1104,-95,16,356,18,2017-03-01,7c651632,54.2674247149585,-122.977578099705
566,0,-10,566,26,1008,1594,-22,108,501,39,2017-04-01,7c651632,54.2674247149585,-122.977578099705
794,177,0,971,46,704,2140,25,177,696,68,2017-05-01,7c651632,54.2674247149585,-122.977578099705
909,313,-40,1222,62,388,2591,54,203,830,84,2017-06-01,7c651632,54.2674247149585,-122.977578099705
699,574,-70,1273,61,264,2611,72,225,1013,92,2017-07-01,7c651632,54.2674247149585,-122.977578099705
614,482,-90,1096,58,203,2099,71,239,1036,96,2017-08-01,7c651632,54.2674247149585,-122.977578099705
576,28,-90,604,60,197,1259,39,180,891,56,2017-09-01,7c651632,54.2674247149585,-122.977578099705
363,0,-110,363,63,432,663,-8,100,572,31,2017-10-01,7c651632,54.2674247149585,-122.977578099705
0,0,-140,0,55,432,274,-81,-6,365,10,2017-11-01,7c651632,54.2674247149585,-122.977578099705
0,0,-150,0,59,432,272,-131,-38,321,2,2017-12-01,7c651632,54.2674247149585,-122.977578099705
0,0,-120,0,65,432,234,-126,-39,362,2,2018-01-01,7c651632,54.2674247149585,-122.977578099705
0,0,-110,0,43,432,643,-151,-35,246,6,2018-02-01,7c651632,54.2674247149585,-122.977578099705
0,0,-90,0,37,432,1146,-89,33,346,23,2018-03-01,7c651632,54.2674247149585,-122.977578099705
581,0,-90,581,26,1008,1823,-36,100,446,44,2018-04-01,7c651632,54.2674247149585,-122.977578099705
899,183,-120,1082,46,693,2475,34,193,716,93,2018-05-01,7c651632,54.2674247149585,-122.977578099705
860,269,-140,1129,63,427,2347,60,202,910,78,2018-06-01,7c651632,54.2674247149585,-122.977578099705
721,487,-150,1208,60,280,2351,79,240,1063,86,2018-07-01,7c651632,54.2674247149585,-122.977578099705
623,502,-170,1125,58,212,2173,69,233,1021,106,2018-08-01,7c651632,54.2674247149585,-122.977578099705
525,0,-130,525,60,259,1136,14,140,735,36,2018-09-01,7c651632,54.2674247149585,-122.977578099705
275,0,-120,275,63,579,823,-14,97,586,30,2018-10-01,7c651632,54.2674247149585,-122.977578099705
5,0,-130,5,55,625,250,-51,24,505,4,2018-11-01,7c651632,54.2674247149585,-122.977578099705
0,0,-90,0,60,625,235,-113,-30,341,5,2018-12-01,7c651632,54.2674247149585,-122.977578099705
0,0,-60,0,71,625,244,-86,3,439,3,2019-01-01,7c651632,54.2674247149585,-122.977578099705
0,0,-80,0,33,625,792,-222,-119,120,6,2019-02-01,7c651632,54.2674247149585,-122.977578099705
0,0,-140,0,18,625,1412,-91,25,318,20,2019-03-01,7c651632,54.2674247149585,-122.977578099705
627,0,-140,627,25,1008,1813,-23,109,463,45,2019-04-01,7c651632,54.2674247149585,-122.977578099705
801,289,-240,1090,27,512,2319,55,196,750,85,2019-05-01,7c651632,54.2674247149585,-122.977578099705
812,289,-250,1101,65,321,2244,67,203,951,74,2019-06-01,7c651632,54.2674247149585,-122.977578099705
948,44,-120,992,98,304,2009,80,223,1210,68,2019-07-01,7c651632,54.2674247149585,-122.977578099705
777,102,150,879,78,268,1888,67,216,1128,66,2019-08-01,7c651632,54.2674247149585,-122.977578099705
418,111,90,529,41,234,1252,40,176,907,51,2019-09-01,7c651632,54.2674247149585,-122.977578099705
280,0,90,280,66,580,680,-22,78,537,25,2019-10-01,7c651632,54.2674247149585,-122.977578099705
4,0,130,4,84,635,267,-55,19,457,10,2019-11-01,7c651632,54.2674247149585,-122.977578099705
0,0,160,0,62,635,181,-104,-20,365,4,2019-12-01,7c651632,54.2674247149585,-122.977578099705
