aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,91,0,22,219,388,-187,-99,220,0,2015-01-01,7ca1ed52,52.5505686347579,-100.684241936063
0,0,101,0,30,219,874,-256,-143,99,4,2015-02-01,7ca1ed52,52.5505686347579,-100.684241936063
0,0,69,0,23,219,1434,-108,-3,329,11,2015-03-01,7ca1ed52,52.5505686347579,-100.684241936063
268,0,-211,409,25,1025,2008,-47,79,449,30,2015-04-01,7ca1ed52,52.5505686347579,-100.684241936063
925,173,-279,1098,15,727,2667,3,152,612,57,2015-05-01,7ca1ed52,52.5505686347579,-100.684241936063
744,553,-376,1297,39,358,2657,87,228,1223,74,2015-06-01,7ca1ed52,52.5505686347579,-100.684241936063
1112,267,-329,1380,106,252,2563,135,254,1600,81,2015-07-01,7ca1ed52,52.5505686347579,-100.684241936063
1039,0,-186,1039,139,533,1868,116,241,1487,71,2015-08-01,7ca1ed52,52.5505686347579,-100.684241936063
644,0,-160,644,69,548,1355,71,189,1151,45,2015-09-01,7ca1ed52,52.5505686347579,-100.684241936063
382,0,-119,382,46,599,776,14,118,723,31,2015-10-01,7ca1ed52,52.5505686347579,-100.684241936063
0,0,194,5,59,643,338,-51,17,460,10,2015-11-01,7ca1ed52,52.5505686347579,-100.684241936063
0,0,278,0,44,643,298,-118,-42,307,4,2015-12-01,7ca1ed52,52.5505686347579,-100.684241936063
0,0,260,0,26,556,382,-183,-97,220,2,2016-01-01,7ca1ed52,52.5505686347579,-100.684241936063
0,0,280,0,29,556,776,-171,-67,240,5,2016-02-01,7ca1ed52,52.5505686347579,-100.684241936063
0,0,330,0,55,556,1464,-99,8,350,11,2016-03-01,7ca1ed52,52.5505686347579,-100.684241936063
129,0,340,129,44,1025,2046,-60,67,466,24,2016-04-01,7ca1ed52,52.5505686347579,-100.684241936063
1052,0,280,1052,41,1025,2455,36,174,799,70,2016-05-01,7ca1ed52,52.5505686347579,-100.684241936063
