aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,835,0,75,505,488,-276,-144,159,0,2015-01-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,785,0,60,505,1067,-321,-169,93,1,2015-02-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,753,0,62,505,1513,-195,-34,258,5,2015-03-01,7e9a2b1d,50.3077466956099,-83.575568404335
1,0,762,22,75,505,1825,-81,53,437,18,2015-04-01,7e9a2b1d,50.3077466956099,-83.575568404335
884,0,724,884,79,505,2220,10,154,801,41,2015-05-01,7e9a2b1d,50.3077466956099,-83.575568404335
892,165,633,1056,64,222,2475,61,201,1139,51,2015-06-01,7e9a2b1d,50.3077466956099,-83.575568404335
722,476,501,1198,68,143,2395,109,242,1531,64,2015-07-01,7e9a2b1d,50.3077466956099,-83.575568404335
836,0,513,836,113,380,1691,102,221,1523,44,2015-08-01,7e9a2b1d,50.3077466956099,-83.575568404335
589,1,412,590,62,378,1553,75,196,1353,31,2015-09-01,7e9a2b1d,50.3077466956099,-83.575568404335
211,0,345,220,62,505,786,-14,86,697,14,2015-10-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,254,2,48,505,368,-53,33,608,0,2015-11-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,305,0,93,505,269,-110,-36,454,0,2015-12-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,400,0,109,505,409,-222,-113,237,1,2016-01-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,440,0,77,505,848,-229,-90,217,4,2016-02-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,400,0,46,505,1582,-147,-2,352,11,2016-03-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,370,0,48,505,2081,-92,38,419,19,2016-04-01,7e9a2b1d,50.3077466956099,-83.575568404335
840,0,340,840,64,505,2313,8,158,789,48,2016-05-01,7e9a2b1d,50.3077466956099,-83.575568404335
917,74,310,991,83,378,2304,63,202,1158,60,2016-06-01,7e9a2b1d,50.3077466956099,-83.575568404335
1036,73,300,1109,100,296,2309,110,240,1552,76,2016-07-01,7e9a2b1d,50.3077466956099,-83.575568404335
859,25,280,884,88,276,1754,108,236,1617,66,2016-08-01,7e9a2b1d,50.3077466956099,-83.575568404335
560,0,250,560,84,505,1309,75,184,1280,35,2016-09-01,7e9a2b1d,50.3077466956099,-83.575568404335
276,0,230,276,66,505,662,9,97,793,16,2016-10-01,7e9a2b1d,50.3077466956099,-83.575568404335
14,0,220,14,75,505,370,-41,45,645,8,2016-11-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,200,0,68,505,316,-184,-93,292,0,2016-12-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,180,0,65,505,370,-196,-102,255,0,2017-01-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,160,0,48,505,797,-196,-67,267,4,2017-02-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,150,0,46,505,1612,-177,-30,282,10,2017-03-01,7e9a2b1d,50.3077466956099,-83.575568404335
153,0,120,153,48,505,1868,-58,72,508,26,2017-04-01,7e9a2b1d,50.3077466956099,-83.575568404335
695,0,140,695,64,505,2080,7,126,775,39,2017-05-01,7e9a2b1d,50.3077466956099,-83.575568404335
916,69,150,985,84,386,2344,74,204,1186,59,2017-06-01,7e9a2b1d,50.3077466956099,-83.575568404335
1101,124,150,1225,101,244,2641,96,237,1401,94,2017-07-01,7e9a2b1d,50.3077466956099,-83.575568404335
822,0,170,822,89,267,1825,79,203,1352,56,2017-08-01,7e9a2b1d,50.3077466956099,-83.575568404335
500,0,170,500,83,505,1226,67,183,1284,34,2017-09-01,7e9a2b1d,50.3077466956099,-83.575568404335
272,0,180,272,67,505,796,14,105,850,25,2017-10-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,180,0,75,505,404,-103,-21,427,6,2017-11-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,160,0,68,505,400,-228,-122,244,0,2017-12-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,140,0,65,505,510,-245,-125,206,2,2018-01-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,130,0,47,505,892,-258,-106,182,4,2018-02-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,110,0,46,505,1607,-188,-30,248,9,2018-03-01,7e9a2b1d,50.3077466956099,-83.575568404335
0,0,120,0,48,505,2295,-123,19,330,20,2018-04-01,7e9a2b1d,50.3077466956099,-83.575568404335
927,0,90,927,64,505,2326,16,182,822,54,2018-05-01,7e9a2b1d,50.3077466956099,-83.575568404335
