aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,496,0,57,200,442,-310,-188,83,1,2015-01-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,472,0,45,200,976,-342,-207,47,3,2015-02-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,465,0,56,200,1518,-242,-91,135,6,2015-03-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,464,0,49,200,2032,-106,16,387,9,2015-04-01,7f6e8db4,52.8720919329583,-74.5557476145669
952,0,419,952,69,200,2140,13,123,555,50,2015-05-01,7f6e8db4,52.8720919329583,-74.5557476145669
789,340,332,1129,70,74,2175,71,187,917,67,2015-06-01,7f6e8db4,52.8720919329583,-74.5557476145669
715,298,264,1012,73,51,1787,119,210,1359,59,2015-07-01,7f6e8db4,52.8720919329583,-74.5557476145669
816,0,294,816,140,200,1513,124,203,1433,48,2015-08-01,7f6e8db4,52.8720919329583,-74.5557476145669
390,0,269,390,85,200,1304,53,143,1138,13,2015-09-01,7f6e8db4,52.8720919329583,-74.5557476145669
43,0,239,90,71,200,659,-21,43,577,10,2015-10-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,151,0,52,200,279,-73,-12,488,0,2015-11-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,163,0,69,200,273,-150,-81,395,0,2015-12-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,150,0,49,200,368,-240,-133,172,4,2016-01-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,140,0,39,200,841,-270,-140,137,3,2016-02-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,60,0,22,200,1585,-210,-71,190,8,2016-03-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,-140,0,15,200,2289,-129,-13,260,10,2016-04-01,7f6e8db4,52.8720919329583,-74.5557476145669
787,0,-150,787,48,200,2308,14,119,640,52,2016-05-01,7f6e8db4,52.8720919329583,-74.5557476145669
1013,12,-100,1025,105,179,2106,80,188,979,70,2016-06-01,7f6e8db4,52.8720919329583,-74.5557476145669
1103,0,60,1103,127,200,2106,117,214,1312,69,2016-07-01,7f6e8db4,52.8720919329583,-74.5557476145669
860,0,190,860,141,200,1585,112,202,1319,57,2016-08-01,7f6e8db4,52.8720919329583,-74.5557476145669
426,0,260,426,121,200,1079,55,131,1043,24,2016-09-01,7f6e8db4,52.8720919329583,-74.5557476145669
144,0,350,144,116,200,615,-8,53,686,11,2016-10-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,310,0,73,200,307,-69,-8,476,5,2016-11-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,270,0,54,200,314,-207,-118,208,2,2016-12-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,300,0,69,200,390,-232,-124,193,3,2017-01-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,300,0,46,200,835,-257,-131,167,3,2017-02-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,190,0,17,200,1601,-212,-70,172,8,2017-03-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,180,0,37,200,1916,-93,18,371,15,2017-04-01,7f6e8db4,52.8720919329583,-74.5557476145669
755,0,160,755,58,200,2208,14,116,655,52,2017-05-01,7f6e8db4,52.8720919329583,-74.5557476145669
1035,0,210,1035,109,200,2081,82,188,977,64,2017-06-01,7f6e8db4,52.8720919329583,-74.5557476145669
1009,252,180,1261,93,74,2337,106,208,1108,78,2017-07-01,7f6e8db4,52.8720919329583,-74.5557476145669
863,0,210,863,137,200,1515,97,187,1131,51,2017-08-01,7f6e8db4,52.8720919329583,-74.5557476145669
483,0,160,483,76,200,1290,60,135,1022,28,2017-09-01,7f6e8db4,52.8720919329583,-74.5557476145669
230,0,250,230,123,200,554,9,72,729,14,2017-10-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,310,0,104,200,289,-93,-32,334,5,2017-11-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,300,0,68,200,275,-207,-119,209,0,2017-12-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,290,0,54,200,468,-280,-168,111,3,2018-01-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,310,0,53,200,923,-272,-143,127,2,2018-02-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,190,0,15,200,1488,-176,-41,213,11,2018-03-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,130,0,21,200,2164,-122,-9,260,17,2018-04-01,7f6e8db4,52.8720919329583,-74.5557476145669
793,0,120,793,64,200,2334,-8,98,514,40,2018-05-01,7f6e8db4,52.8720919329583,-74.5557476145669
628,624,-210,1252,47,74,2951,62,171,745,89,2018-06-01,7f6e8db4,52.8720919329583,-74.5557476145669
1159,0,-90,1159,157,200,2158,120,223,1358,90,2018-07-01,7f6e8db4,52.8720919329583,-74.5557476145669
869,127,-130,996,78,74,1886,106,198,1165,68,2018-08-01,7f6e8db4,52.8720919329583,-74.5557476145669
478,0,-70,478,125,200,1142,44,123,922,26,2018-09-01,7f6e8db4,52.8720919329583,-74.5557476145669
38,0,30,38,76,200,603,-30,27,488,9,2018-10-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,-40,0,60,200,310,-110,-51,346,3,2018-11-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,80,0,71,200,274,-195,-105,245,2,2018-12-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,-30,0,40,200,426,-280,-169,87,3,2019-01-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,90,0,55,200,898,-276,-150,102,3,2019-02-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,120,0,55,200,1397,-207,-72,163,8,2019-03-01,7f6e8db4,52.8720919329583,-74.5557476145669
0,0,120,0,39,200,2038,-100,10,314,16,2019-04-01,7f6e8db4,52.8720919329583,-74.5557476145669
