aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,207,0,4,98,29,-298,-216,59,2,2015-01-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,229,0,9,98,182,-274,-188,78,3,2015-02-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,241,0,8,98,766,-265,-166,86,3,2015-03-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,250,0,5,98,1575,-158,-67,207,7,2015-04-01,7fb3802a,68.4566587861401,-140.812779137733
643,0,85,666,7,98,1984,-15,89,528,32,2015-05-01,7fb3802a,68.4566587861401,-140.812779137733
268,873,-271,1142,25,78,2237,59,162,634,75,2015-06-01,7fb3802a,68.4566587861401,-140.812779137733
382,596,-266,977,39,65,1664,81,169,749,76,2015-07-01,7fb3802a,68.4566587861401,-140.812779137733
436,224,-224,661,45,56,960,37,122,564,55,2015-08-01,7fb3802a,68.4566587861401,-140.812779137733
78,0,-158,156,29,183,600,-22,45,420,26,2015-09-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,-94,0,15,183,265,-87,-24,303,11,2015-10-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,134,0,12,183,54,-222,-145,162,0,2015-11-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,142,0,2,183,3,-277,-195,76,2,2015-12-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,210,0,8,87,26,-245,-147,46,4,2016-01-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,250,0,8,87,199,-248,-150,49,6,2016-02-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,280,0,8,87,701,-237,-146,73,6,2016-03-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,270,0,3,87,1658,-137,-28,203,11,2016-04-01,7fb3802a,68.4566587861401,-140.812779137733
525,0,150,525,10,196,1709,-14,68,443,38,2016-05-01,7fb3802a,68.4566587861401,-140.812779137733
423,632,-170,1055,30,124,2027,60,164,654,72,2016-06-01,7fb3802a,68.4566587861401,-140.812779137733
190,869,-300,1059,17,92,1817,89,184,812,86,2016-07-01,7fb3802a,68.4566587861401,-140.812779137733
203,552,-390,755,20,74,1077,62,152,685,65,2016-08-01,7fb3802a,68.4566587861401,-140.812779137733
140,203,-460,343,14,63,735,-11,67,476,32,2016-09-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,-480,0,3,63,357,-113,-37,230,15,2016-10-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,-440,0,11,63,54,-237,-156,83,5,2016-11-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,-320,0,8,63,3,-291,-204,55,5,2016-12-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,-130,0,15,63,28,-315,-214,26,3,2017-01-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,-60,0,11,63,187,-278,-189,29,5,2017-02-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,260,0,7,63,867,-322,-202,23,5,2017-03-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,230,0,1,63,1847,-164,-46,176,11,2017-04-01,7fb3802a,68.4566587861401,-140.812779137733
254,0,200,254,8,122,1756,-30,52,413,37,2017-05-01,7fb3802a,68.4566587861401,-140.812779137733
544,606,110,1150,23,92,2708,56,161,663,85,2017-06-01,7fb3802a,68.4566587861401,-140.812779137733
402,781,-140,1183,40,74,2088,92,200,830,107,2017-07-01,7fb3802a,68.4566587861401,-140.812779137733
547,246,-90,793,56,62,1150,57,146,672,70,2017-08-01,7fb3802a,68.4566587861401,-140.812779137733
239,122,-140,361,24,54,610,-1,76,504,35,2017-09-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,-80,0,17,54,210,-91,-32,250,14,2017-10-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,-60,0,10,54,54,-244,-165,83,6,2017-11-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,170,0,13,54,3,-209,-131,88,8,2017-12-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,280,0,11,54,25,-296,-204,26,3,2018-01-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,320,0,10,54,184,-286,-197,33,5,2018-02-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,330,0,7,54,795,-245,-151,53,8,2018-03-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,310,0,2,54,1792,-187,-79,152,11,2018-04-01,7fb3802a,68.4566587861401,-140.812779137733
72,0,290,72,7,102,1737,-40,37,393,26,2018-05-01,7fb3802a,68.4566587861401,-140.812779137733
871,83,320,954,24,80,2038,52,146,637,66,2018-06-01,7fb3802a,68.4566587861401,-140.812779137733
445,665,260,1110,45,66,1729,78,199,770,86,2018-07-01,7fb3802a,68.4566587861401,-140.812779137733
423,258,240,681,44,57,947,41,120,611,55,2018-08-01,7fb3802a,68.4566587861401,-140.812779137733
236,74,180,310,24,50,726,-17,68,434,28,2018-09-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,220,0,19,50,308,-88,-11,250,13,2018-10-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,220,0,12,50,60,-211,-136,93,6,2018-11-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,340,0,13,50,3,-264,-168,65,4,2018-12-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,440,0,14,50,28,-278,-186,64,4,2019-01-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,470,0,9,50,202,-242,-147,87,5,2019-02-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,490,0,12,50,648,-170,-70,171,9,2019-03-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,460,0,3,50,1486,-155,-50,190,11,2019-04-01,7fb3802a,68.4566587861401,-140.812779137733
729,0,250,729,11,181,1896,14,101,478,48,2019-05-01,7fb3802a,68.4566587861401,-140.812779137733
232,1100,-390,1332,17,118,2448,74,176,538,99,2019-06-01,7fb3802a,68.4566587861401,-140.812779137733
460,659,-390,1119,45,90,1915,100,206,941,89,2019-07-01,7fb3802a,68.4566587861401,-140.812779137733
628,143,-270,771,64,73,1119,28,127,483,63,2019-08-01,7fb3802a,68.4566587861401,-140.812779137733
330,0,-220,330,36,88,669,12,93,583,34,2019-09-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,-200,0,11,88,248,-74,-1,302,18,2019-10-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,-180,0,10,88,66,-220,-140,94,6,2019-11-01,7fb3802a,68.4566587861401,-140.812779137733
0,0,-110,0,5,88,3,-333,-243,34,3,2019-12-01,7fb3802a,68.4566587861401,-140.812779137733
