aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,886,0,60,410,538,-275,-133,157,0,2015-01-01,7fcd48f6,49.3819857275089,-79.2173368579033
0,0,835,0,49,410,1114,-318,-172,106,0,2015-02-01,7fcd48f6,49.3819857275089,-79.2173368579033
0,0,809,0,53,410,1586,-201,-45,252,3,2015-03-01,7fcd48f6,49.3819857275089,-79.2173368579033
1,0,815,21,70,410,1911,-79,52,461,15,2015-04-01,7fcd48f6,49.3819857275089,-79.2173368579033
994,0,764,994,93,410,2077,27,171,821,53,2015-05-01,7fcd48f6,49.3819857275089,-79.2173368579033
912,163,667,1075,69,151,2399,62,204,1155,52,2015-06-01,7fcd48f6,49.3819857275089,-79.2173368579033
709,401,520,1110,70,104,2116,106,235,1511,58,2015-07-01,7fcd48f6,49.3819857275089,-79.2173368579033
867,0,540,867,145,410,1612,112,218,1466,51,2015-08-01,7fcd48f6,49.3819857275089,-79.2173368579033
658,0,428,658,85,410,1588,80,196,1297,39,2015-09-01,7fcd48f6,49.3819857275089,-79.2173368579033
230,0,377,239,79,410,820,-8,81,698,13,2015-10-01,7fcd48f6,49.3819857275089,-79.2173368579033
0,0,247,4,40,410,407,-49,38,630,0,2015-11-01,7fcd48f6,49.3819857275089,-79.2173368579033
0,0,283,0,84,410,315,-97,-31,508,0,2015-12-01,7fcd48f6,49.3819857275089,-79.2173368579033
0,0,380,0,89,410,454,-209,-100,248,3,2016-01-01,7fcd48f6,49.3819857275089,-79.2173368579033
0,0,430,0,63,410,874,-229,-87,222,4,2016-02-01,7fcd48f6,49.3819857275089,-79.2173368579033
0,0,380,0,34,410,1574,-152,-11,342,10,2016-03-01,7fcd48f6,49.3819857275089,-79.2173368579033
0,0,330,0,36,410,2136,-98,33,379,19,2016-04-01,7fcd48f6,49.3819857275089,-79.2173368579033
887,0,300,887,76,410,2293,14,160,786,51,2016-05-01,7fcd48f6,49.3819857275089,-79.2173368579033
