aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,188,0,21,373,42,-281,-215,162,0,2015-01-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,163,0,14,373,236,-284,-205,146,0,2015-02-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,168,0,23,373,843,-254,-144,164,0,2015-03-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,167,0,23,373,1673,-136,-31,293,6,2015-04-01,7fd802b2,67.1560927304238,-134.547455078113
815,0,-115,824,10,992,2345,-3,122,618,39,2015-05-01,7fd802b2,67.1560927304238,-134.547455078113
913,307,-182,1220,38,464,2309,87,199,849,88,2015-06-01,7fd802b2,67.1560927304238,-134.547455078113
677,317,-109,994,53,291,1592,113,206,1087,80,2015-07-01,7fd802b2,67.1560927304238,-134.547455078113
622,0,166,622,68,317,1157,72,156,963,44,2015-08-01,7fd802b2,67.1560927304238,-134.547455078113
258,0,348,265,69,718,483,6,74,627,21,2015-09-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,438,0,54,718,267,-58,-3,435,7,2015-10-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,530,0,38,718,76,-214,-142,187,0,2015-11-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,475,0,14,718,8,-257,-188,117,0,2015-12-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,400,0,16,668,35,-242,-160,82,0,2016-01-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,410,0,26,668,225,-247,-157,90,0,2016-02-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,420,0,30,668,733,-218,-126,138,2,2016-03-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,360,0,15,668,1761,-114,5,287,8,2016-04-01,7fd802b2,67.1560927304238,-134.547455078113
693,0,250,693,17,992,1977,-3,102,512,48,2016-05-01,7fd802b2,67.1560927304238,-134.547455078113
899,286,180,1185,40,501,2312,88,203,861,88,2016-06-01,7fd802b2,67.1560927304238,-134.547455078113
654,441,160,1095,48,302,1858,121,216,1149,77,2016-07-01,7fd802b2,67.1560927304238,-134.547455078113
525,240,150,765,47,223,1267,91,184,1048,51,2016-08-01,7fd802b2,67.1560927304238,-134.547455078113
295,57,130,352,30,208,779,14,95,683,28,2016-09-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,-220,0,13,208,381,-99,-23,331,7,2016-10-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,-300,0,25,208,71,-233,-148,156,0,2016-11-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,-390,0,23,208,8,-296,-214,89,0,2016-12-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,-370,0,37,208,40,-315,-221,71,0,2017-01-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,-280,0,31,208,210,-292,-203,59,0,2017-02-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,-290,0,9,208,933,-321,-193,87,3,2017-03-01,7fd802b2,67.1560927304238,-134.547455078113
0,0,-320,0,9,208,1873,-141,-12,247,10,2017-04-01,7fd802b2,67.1560927304238,-134.547455078113
611,0,-310,611,24,992,2050,-13,86,501,42,2017-05-01,7fd802b2,67.1560927304238,-134.547455078113
