aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-161,0,45,204,279,-312,-230,43,3,2015-01-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-254,0,7,204,718,-337,-236,26,4,2015-02-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-317,0,10,204,1319,-261,-156,70,6,2015-03-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-347,0,15,204,1962,-148,-48,269,4,2015-04-01,813e899c,57.0437841295636,-64.2517727102903
1,0,-346,27,25,204,2194,-54,27,413,16,2015-05-01,813e899c,57.0437841295636,-64.2517727102903
802,0,-279,802,81,204,2059,17,117,694,34,2015-06-01,813e899c,57.0437841295636,-64.2517727102903
879,0,-166,879,104,204,1685,62,155,901,46,2015-07-01,813e899c,57.0437841295636,-64.2517727102903
663,0,-84,663,90,204,1474,55,149,987,32,2015-08-01,813e899c,57.0437841295636,-64.2517727102903
353,0,250,359,99,204,1085,8,88,721,17,2015-09-01,813e899c,57.0437841295636,-64.2517727102903
0,0,182,0,43,204,546,-55,5,425,10,2015-10-01,813e899c,57.0437841295636,-64.2517727102903
0,0,209,0,70,204,269,-128,-62,263,4,2015-11-01,813e899c,57.0437841295636,-64.2517727102903
0,0,148,0,33,204,176,-197,-114,174,2,2015-12-01,813e899c,57.0437841295636,-64.2517727102903
0,0,140,0,47,204,229,-241,-156,123,2,2016-01-01,813e899c,57.0437841295636,-64.2517727102903
0,0,140,0,44,204,596,-277,-165,89,4,2016-02-01,813e899c,57.0437841295636,-64.2517727102903
0,0,120,0,30,204,1323,-244,-143,92,5,2016-03-01,813e899c,57.0437841295636,-64.2517727102903
0,0,130,0,36,204,1736,-170,-70,241,4,2016-04-01,813e899c,57.0437841295636,-64.2517727102903
51,0,80,51,28,204,2221,-48,39,487,16,2016-05-01,813e899c,57.0437841295636,-64.2517727102903
726,0,70,726,65,204,2116,15,110,695,32,2016-06-01,813e899c,57.0437841295636,-64.2517727102903
882,10,80,892,88,187,1868,60,160,919,54,2016-07-01,813e899c,57.0437841295636,-64.2517727102903
728,0,80,728,79,204,1428,54,148,917,36,2016-08-01,813e899c,57.0437841295636,-64.2517727102903
424,0,70,424,69,204,1130,3,83,654,23,2016-09-01,813e899c,57.0437841295636,-64.2517727102903
0,0,60,0,53,204,508,-54,0,435,11,2016-10-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-40,0,48,204,281,-118,-50,312,6,2016-11-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-80,0,32,204,213,-236,-155,102,4,2016-12-01,813e899c,57.0437841295636,-64.2517727102903
0,0,40,0,56,204,259,-244,-154,133,2,2017-01-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-70,0,29,204,664,-276,-175,89,4,2017-02-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-80,0,26,204,1426,-236,-125,112,5,2017-03-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-100,0,24,204,2062,-151,-51,245,6,2017-04-01,813e899c,57.0437841295636,-64.2517727102903
26,0,-100,26,33,204,2249,-59,34,449,14,2017-05-01,813e899c,57.0437841295636,-64.2517727102903
645,0,-60,645,68,204,1701,14,105,676,28,2017-06-01,813e899c,57.0437841295636,-64.2517727102903
962,0,30,962,99,204,1832,57,163,855,49,2017-07-01,813e899c,57.0437841295636,-64.2517727102903
667,0,100,667,85,204,1317,50,144,923,34,2017-08-01,813e899c,57.0437841295636,-64.2517727102903
422,0,110,422,72,204,1015,12,93,703,23,2017-09-01,813e899c,57.0437841295636,-64.2517727102903
69,0,150,69,76,204,511,-29,38,518,13,2017-10-01,813e899c,57.0437841295636,-64.2517727102903
0,0,100,0,51,204,234,-117,-57,254,6,2017-11-01,813e899c,57.0437841295636,-64.2517727102903
0,0,110,0,47,204,162,-191,-107,185,3,2017-12-01,813e899c,57.0437841295636,-64.2517727102903
0,0,70,0,38,204,264,-277,-195,89,3,2018-01-01,813e899c,57.0437841295636,-64.2517727102903
0,0,60,0,37,204,674,-297,-191,55,2,2018-02-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-10,0,28,204,1126,-156,-66,239,6,2018-03-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-60,0,26,204,2032,-169,-58,221,5,2018-04-01,813e899c,57.0437841295636,-64.2517727102903
0,0,20,0,37,204,2301,-88,-12,342,11,2018-05-01,813e899c,57.0437841295636,-64.2517727102903
684,0,-60,684,53,204,2219,-5,77,520,29,2018-06-01,813e899c,57.0437841295636,-64.2517727102903
941,13,-70,954,85,181,1985,59,174,946,49,2018-07-01,813e899c,57.0437841295636,-64.2517727102903
638,167,-150,805,56,74,1722,52,151,913,43,2018-08-01,813e899c,57.0437841295636,-64.2517727102903
450,0,-80,450,119,204,897,2,78,610,18,2018-09-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-80,0,53,204,545,-68,-11,373,10,2018-10-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-140,0,39,204,256,-144,-83,244,5,2018-11-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-150,0,38,204,162,-202,-122,149,4,2018-12-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-140,0,41,204,256,-294,-207,64,2,2019-01-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-140,0,35,204,627,-275,-179,73,3,2019-02-01,813e899c,57.0437841295636,-64.2517727102903
0,0,-80,0,43,204,1223,-224,-127,123,4,2019-03-01,813e899c,57.0437841295636,-64.2517727102903
0,0,120,0,50,204,1918,-135,-44,262,7,2019-04-01,813e899c,57.0437841295636,-64.2517727102903
232,0,-130,232,16,204,2080,-28,49,522,16,2019-05-01,813e899c,57.0437841295636,-64.2517727102903
759,0,-170,759,57,204,1606,36,130,772,38,2019-06-01,813e899c,57.0437841295636,-64.2517727102903
752,0,230,752,162,204,1429,57,158,959,40,2019-07-01,813e899c,57.0437841295636,-64.2517727102903
571,0,280,571,83,204,1100,55,144,996,28,2019-08-01,813e899c,57.0437841295636,-64.2517727102903
462,0,330,462,101,204,969,25,94,718,24,2019-09-01,813e899c,57.0437841295636,-64.2517727102903
193,0,210,193,49,204,452,-10,45,547,16,2019-10-01,813e899c,57.0437841295636,-64.2517727102903
0,0,90,0,33,204,248,-108,-43,292,7,2019-11-01,813e899c,57.0437841295636,-64.2517727102903
0,0,130,0,56,204,158,-183,-101,166,5,2019-12-01,813e899c,57.0437841295636,-64.2517727102903
