aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-79,0,25,284,367,-298,-189,128,0,2015-01-01,83021591,54.7092906184273,-88.9248426420309
0,0,-110,0,10,284,851,-343,-232,43,2,2015-02-01,83021591,54.7092906184273,-88.9248426420309
0,0,-94,0,25,284,1475,-225,-85,190,2,2015-03-01,83021591,54.7092906184273,-88.9248426420309
0,0,82,0,43,284,1901,-101,18,378,11,2015-04-01,83021591,54.7092906184273,-88.9248426420309
770,0,83,789,40,284,2488,-15,97,555,33,2015-05-01,83021591,54.7092906184273,-88.9248426420309
800,251,-20,1051,61,105,2474,62,175,949,53,2015-06-01,83021591,54.7092906184273,-88.9248426420309
1116,0,191,1116,130,225,2188,111,215,1369,58,2015-07-01,83021591,54.7092906184273,-88.9248426420309
732,0,366,732,126,284,1608,100,187,1350,34,2015-08-01,83021591,54.7092906184273,-88.9248426420309
421,0,430,421,83,284,1133,62,144,1081,22,2015-09-01,83021591,54.7092906184273,-88.9248426420309
65,0,341,109,38,284,662,-23,51,591,11,2015-10-01,83021591,54.7092906184273,-88.9248426420309
0,0,516,0,91,284,266,-88,-27,421,0,2015-11-01,83021591,54.7092906184273,-88.9248426420309
0,0,469,0,31,284,219,-165,-104,297,0,2015-12-01,83021591,54.7092906184273,-88.9248426420309
0,0,430,0,28,284,328,-264,-169,150,0,2016-01-01,83021591,54.7092906184273,-88.9248426420309
0,0,360,0,13,284,857,-285,-163,131,0,2016-02-01,83021591,54.7092906184273,-88.9248426420309
0,0,310,0,20,284,1520,-210,-69,213,4,2016-03-01,83021591,54.7092906184273,-88.9248426420309
0,0,220,0,12,284,2213,-122,-3,325,10,2016-04-01,83021591,54.7092906184273,-88.9248426420309
738,0,230,738,49,284,2306,4,111,624,41,2016-05-01,83021591,54.7092906184273,-88.9248426420309
978,5,320,983,100,275,2346,66,170,955,57,2016-06-01,83021591,54.7092906184273,-88.9248426420309
1005,64,360,1069,95,170,2229,114,208,1334,63,2016-07-01,83021591,54.7092906184273,-88.9248426420309
766,81,320,847,74,104,1791,100,192,1289,50,2016-08-01,83021591,54.7092906184273,-88.9248426420309
473,0,270,473,72,284,1126,60,134,985,26,2016-09-01,83021591,54.7092906184273,-88.9248426420309
90,0,380,90,92,284,474,-19,41,607,6,2016-10-01,83021591,54.7092906184273,-88.9248426420309
0,0,360,0,45,284,321,-80,-10,405,3,2016-11-01,83021591,54.7092906184273,-88.9248426420309
0,0,280,0,21,284,248,-240,-154,164,0,2016-12-01,83021591,54.7092906184273,-88.9248426420309
0,0,250,0,27,284,317,-254,-156,134,0,2017-01-01,83021591,54.7092906184273,-88.9248426420309
0,0,320,0,35,284,748,-258,-143,151,0,2017-02-01,83021591,54.7092906184273,-88.9248426420309
