aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-304,0,25,294,373,-323,-235,64,0,2015-01-01,842d458a,56.6580972199737,-69.0929272086822
0,0,-354,0,4,294,901,-345,-235,50,1,2015-02-01,842d458a,56.6580972199737,-69.0929272086822
0,0,-390,0,9,294,1489,-261,-139,114,3,2015-03-01,842d458a,56.6580972199737,-69.0929272086822
0,0,-400,0,15,294,2146,-129,-12,352,4,2015-04-01,842d458a,56.6580972199737,-69.0929272086822
414,0,-435,508,30,294,2230,-21,66,540,21,2015-05-01,842d458a,56.6580972199737,-69.0929272086822
808,20,-384,828,60,260,1959,36,143,833,38,2015-06-01,842d458a,56.6580972199737,-69.0929272086822
789,0,-297,789,96,294,1693,84,183,1276,34,2015-07-01,842d458a,56.6580972199737,-69.0929272086822
724,0,-217,724,97,294,1592,82,183,1238,36,2015-08-01,842d458a,56.6580972199737,-69.0929272086822
363,0,-104,363,80,294,1020,30,114,881,17,2015-09-01,842d458a,56.6580972199737,-69.0929272086822
4,0,-68,23,49,294,574,-32,30,547,8,2015-10-01,842d458a,56.6580972199737,-69.0929272086822
0,0,204,0,50,294,265,-103,-35,344,3,2015-11-01,842d458a,56.6580972199737,-69.0929272086822
0,0,159,0,31,294,196,-191,-105,259,0,2015-12-01,842d458a,56.6580972199737,-69.0929272086822
0,0,110,0,22,294,290,-248,-157,147,0,2016-01-01,842d458a,56.6580972199737,-69.0929272086822
0,0,90,0,21,294,739,-286,-166,111,1,2016-02-01,842d458a,56.6580972199737,-69.0929272086822
0,0,60,0,23,294,1433,-241,-128,147,4,2016-03-01,842d458a,56.6580972199737,-69.0929272086822
0,0,80,0,32,294,1981,-163,-47,254,6,2016-04-01,842d458a,56.6580972199737,-69.0929272086822
530,0,-130,530,32,294,2361,-18,75,582,22,2016-05-01,842d458a,56.6580972199737,-69.0929272086822
710,53,-150,763,46,203,2073,36,142,880,36,2016-06-01,842d458a,56.6580972199737,-69.0929272086822
840,9,-140,849,88,194,1909,80,186,1215,41,2016-07-01,842d458a,56.6580972199737,-69.0929272086822
693,0,-130,693,81,270,1548,77,177,1215,36,2016-08-01,842d458a,56.6580972199737,-69.0929272086822
384,0,-140,384,55,294,1080,29,112,881,19,2016-09-01,842d458a,56.6580972199737,-69.0929272086822
21,0,-100,21,51,294,484,-30,27,570,9,2016-10-01,842d458a,56.6580972199737,-69.0929272086822
