aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-79,0,14,189,415,-157,-22,290,6,2015-01-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-88,0,19,189,738,-137,-11,301,9,2015-02-01,84ad0a50,52.2352339682229,-114.771105648734
15,0,-106,87,17,347,1418,-74,75,382,31,2015-03-01,84ad0a50,52.2352339682229,-114.771105648734
721,0,-154,764,16,404,2015,-52,117,412,49,2015-04-01,84ad0a50,52.2352339682229,-114.771105648734
380,889,-314,1269,16,217,2699,2,178,594,74,2015-05-01,84ad0a50,52.2352339682229,-114.771105648734
639,666,-368,1305,61,156,2531,67,225,934,92,2015-06-01,84ad0a50,52.2352339682229,-114.771105648734
604,770,-449,1374,60,123,2555,78,241,1101,94,2015-07-01,84ad0a50,52.2352339682229,-114.771105648734
882,304,-377,1187,91,102,2261,72,234,1019,94,2015-08-01,84ad0a50,52.2352339682229,-114.771105648734
621,0,-284,621,87,304,1373,21,166,788,52,2015-09-01,84ad0a50,52.2352339682229,-114.771105648734
326,153,-229,479,25,213,917,-6,151,634,52,2015-10-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-166,0,31,213,478,-99,29,359,16,2015-11-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-181,0,8,213,340,-141,-28,282,7,2015-12-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-240,0,8,170,426,-156,-34,312,9,2016-01-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-290,0,6,170,868,-104,25,363,19,2016-02-01,84ad0a50,52.2352339682229,-114.771105648734
36,0,-360,36,10,193,1410,-71,57,380,32,2016-03-01,84ad0a50,52.2352339682229,-114.771105648734
701,57,-400,758,15,173,2003,-27,132,528,63,2016-04-01,84ad0a50,52.2352339682229,-114.771105648734
627,495,-420,1122,62,133,2440,20,175,679,70,2016-05-01,84ad0a50,52.2352339682229,-114.771105648734
624,679,-470,1303,63,108,2756,61,212,916,82,2016-06-01,84ad0a50,52.2352339682229,-114.771105648734
1184,4,-370,1188,125,108,2447,81,221,1169,69,2016-07-01,84ad0a50,52.2352339682229,-114.771105648734
493,632,-380,1125,50,91,2087,74,225,1055,75,2016-08-01,84ad0a50,52.2352339682229,-114.771105648734
531,157,-360,688,55,79,1445,26,169,806,57,2016-09-01,84ad0a50,52.2352339682229,-114.771105648734
306,0,-200,306,58,328,752,-18,95,630,26,2016-10-01,84ad0a50,52.2352339682229,-114.771105648734
89,23,-240,112,8,312,468,-45,74,510,21,2016-11-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-240,0,12,312,331,-187,-71,173,7,2016-12-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-250,0,15,312,454,-198,-59,212,7,2017-01-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-210,0,29,312,844,-150,-26,262,9,2017-02-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-80,0,47,312,1426,-96,27,350,17,2017-03-01,84ad0a50,52.2352339682229,-114.771105648734
466,0,230,466,59,652,1687,-38,87,498,30,2017-04-01,84ad0a50,52.2352339682229,-114.771105648734
920,245,190,1165,38,240,2528,13,179,650,76,2017-05-01,84ad0a50,52.2352339682229,-114.771105648734
1092,173,200,1265,107,166,2550,57,205,876,76,2017-06-01,84ad0a50,52.2352339682229,-114.771105648734
514,998,-170,1512,50,129,2811,90,253,1008,93,2017-07-01,84ad0a50,52.2352339682229,-114.771105648734
170,1101,-320,1271,16,106,2381,72,241,975,94,2017-08-01,84ad0a50,52.2352339682229,-114.771105648734
328,422,-370,750,33,90,1475,30,185,806,62,2017-09-01,84ad0a50,52.2352339682229,-114.771105648734
378,166,-320,544,39,78,808,-27,114,490,45,2017-10-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-300,0,19,78,446,-102,10,350,13,2017-11-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-310,0,12,78,369,-161,-45,223,10,2017-12-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-340,0,12,78,444,-162,-35,302,9,2018-01-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-350,0,17,78,862,-215,-69,163,9,2018-02-01,84ad0a50,52.2352339682229,-114.771105648734
0,0,-300,0,35,78,1381,-120,15,300,21,2018-03-01,84ad0a50,52.2352339682229,-114.771105648734
181,0,-220,181,23,286,2028,-68,79,398,41,2018-04-01,84ad0a50,52.2352339682229,-114.771105648734
1152,0,-190,1152,47,313,2477,39,198,770,99,2018-05-01,84ad0a50,52.2352339682229,-114.771105648734
860,409,-200,1269,78,194,2688,59,201,916,89,2018-06-01,84ad0a50,52.2352339682229,-114.771105648734
625,712,-290,1337,61,144,2541,75,235,1069,77,2018-07-01,84ad0a50,52.2352339682229,-114.771105648734
494,702,-340,1196,49,115,2275,66,228,1005,104,2018-08-01,84ad0a50,52.2352339682229,-114.771105648734
598,0,-230,598,92,391,1207,8,135,666,29,2018-09-01,84ad0a50,52.2352339682229,-114.771105648734
