aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,10,0,12,181,65,-258,-182,140,0,2015-01-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-8,0,9,181,269,-274,-190,108,0,2015-02-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-14,0,9,181,905,-229,-114,144,3,2015-03-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,92,0,19,181,1684,-112,-10,266,15,2015-04-01,84b0ef05,65.2876966851912,-123.897926809817
1009,0,-133,1009,9,372,2508,4,132,533,55,2015-05-01,84b0ef05,65.2876966851912,-123.897926809817
538,779,-129,1317,35,168,2460,84,211,896,91,2015-06-01,84b0ef05,65.2876966851912,-123.897926809817
603,506,62,1110,58,117,1838,106,208,1095,78,2015-07-01,84b0ef05,65.2876966851912,-123.897926809817
605,160,105,765,61,91,1431,81,184,1072,53,2015-08-01,84b0ef05,65.2876966851912,-123.897926809817
350,0,210,354,69,398,713,19,96,686,27,2015-09-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,240,0,37,398,276,-55,-9,437,5,2015-10-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,294,0,25,398,90,-188,-123,197,0,2015-11-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,259,0,8,398,33,-230,-165,136,0,2015-12-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,240,0,12,352,55,-245,-177,87,1,2016-01-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,250,0,15,352,312,-248,-182,85,3,2016-02-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,200,0,7,352,877,-215,-104,133,6,2016-03-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,250,0,24,352,1743,-111,-11,283,11,2016-04-01,84b0ef05,65.2876966851912,-123.897926809817
756,0,300,756,29,468,2018,12,120,583,48,2016-05-01,84b0ef05,65.2876966851912,-123.897926809817
534,730,250,1264,25,172,2563,91,204,902,87,2016-06-01,84b0ef05,65.2876966851912,-123.897926809817
512,719,230,1231,48,119,2193,111,223,1143,81,2016-07-01,84b0ef05,65.2876966851912,-123.897926809817
679,210,260,889,69,92,1578,85,193,1024,59,2016-08-01,84b0ef05,65.2876966851912,-123.897926809817
404,0,280,404,53,190,860,19,106,716,30,2016-09-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,170,0,13,190,386,-76,-30,419,6,2016-10-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,70,0,13,190,93,-182,-120,199,0,2016-11-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-190,0,10,190,35,-266,-203,88,2,2016-12-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-130,0,26,190,63,-281,-190,67,1,2017-01-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,120,0,22,190,252,-266,-200,75,2,2017-02-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,120,0,13,190,953,-262,-163,110,4,2017-03-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,60,0,4,190,1850,-124,-20,263,13,2017-04-01,84b0ef05,65.2876966851912,-123.897926809817
830,0,-100,830,12,426,2390,0,116,530,59,2017-05-01,84b0ef05,65.2876966851912,-123.897926809817
413,777,-190,1190,16,171,2501,88,193,883,76,2017-06-01,84b0ef05,65.2876966851912,-123.897926809817
351,919,-250,1270,31,119,2288,105,223,1093,85,2017-07-01,84b0ef05,65.2876966851912,-123.897926809817
818,112,-120,930,83,92,1607,87,206,1042,64,2017-08-01,84b0ef05,65.2876966851912,-123.897926809817
450,0,160,450,63,242,900,29,123,763,32,2017-09-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,100,0,21,242,344,-63,-9,432,5,2017-10-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-40,0,14,242,91,-235,-175,131,1,2017-11-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,30,0,18,242,34,-234,-162,108,0,2017-12-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-10,0,9,242,62,-271,-204,77,1,2018-01-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,110,0,24,242,239,-304,-211,56,4,2018-02-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,80,0,8,242,923,-245,-135,113,5,2018-03-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-40,0,5,242,1874,-140,-33,263,11,2018-04-01,84b0ef05,65.2876966851912,-123.897926809817
715,0,60,715,20,468,2140,-11,100,483,44,2018-05-01,84b0ef05,65.2876966851912,-123.897926809817
720,382,130,1102,43,172,2093,83,198,892,77,2018-06-01,84b0ef05,65.2876966851912,-123.897926809817
458,753,100,1211,43,119,2091,108,224,1113,81,2018-07-01,84b0ef05,65.2876966851912,-123.897926809817
561,213,130,774,56,92,1147,74,174,968,40,2018-08-01,84b0ef05,65.2876966851912,-123.897926809817
234,83,60,317,23,76,997,-14,79,631,22,2018-09-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-150,0,15,76,387,-73,-12,412,4,2018-10-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-200,0,25,76,94,-197,-140,173,0,2018-11-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-230,0,12,76,33,-231,-167,117,3,2018-12-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-220,0,14,76,66,-266,-188,88,2,2019-01-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-200,0,10,76,315,-248,-168,94,3,2019-02-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-200,0,9,76,810,-132,-23,254,12,2019-03-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-210,0,6,76,1667,-109,2,276,17,2019-04-01,84b0ef05,65.2876966851912,-123.897926809817
896,0,-260,896,16,183,2242,7,115,480,52,2019-05-01,84b0ef05,65.2876966851912,-123.897926809817
376,683,-240,1059,32,124,2281,58,171,744,70,2019-06-01,84b0ef05,65.2876966851912,-123.897926809817
245,931,-320,1176,23,95,2278,92,204,1012,78,2019-07-01,84b0ef05,65.2876966851912,-123.897926809817
497,230,-260,727,51,78,1380,42,147,831,42,2019-08-01,84b0ef05,65.2876966851912,-123.897926809817
125,279,-380,404,12,66,929,32,114,761,30,2019-09-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-400,0,26,66,316,-51,9,485,5,2019-10-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-400,0,24,66,95,-171,-106,196,2,2019-11-01,84b0ef05,65.2876966851912,-123.897926809817
0,0,-410,0,9,66,34,-308,-241,65,0,2019-12-01,84b0ef05,65.2876966851912,-123.897926809817
