aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,761,0,52,270,451,-296,-173,100,1,2015-01-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,717,0,37,270,983,-338,-202,67,1,2015-02-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,700,0,53,270,1515,-233,-79,165,5,2015-03-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,702,0,56,270,1947,-94,30,413,12,2015-04-01,862c8b1b,52.4993536993782,-76.6512176854042
1006,0,644,1006,69,270,2204,17,135,597,53,2015-05-01,862c8b1b,52.4993536993782,-76.6512176854042
727,416,526,1143,59,99,2359,65,189,949,63,2015-06-01,862c8b1b,52.4993536993782,-76.6512176854042
547,512,408,1059,54,69,1907,114,217,1391,59,2015-07-01,862c8b1b,52.4993536993782,-76.6512176854042
818,0,465,818,139,270,1470,125,206,1455,49,2015-08-01,862c8b1b,52.4993536993782,-76.6512176854042
458,0,409,458,78,270,1414,62,157,1186,18,2015-09-01,862c8b1b,52.4993536993782,-76.6512176854042
132,0,353,166,73,270,682,-14,57,621,12,2015-10-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,224,0,41,270,274,-58,9,531,0,2015-11-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,244,0,65,270,300,-125,-68,395,0,2015-12-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,270,0,60,270,376,-229,-120,192,4,2016-01-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,290,0,40,270,851,-265,-131,152,3,2016-02-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,200,0,16,270,1644,-197,-55,222,9,2016-03-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,100,0,12,270,2279,-118,1,288,12,2016-04-01,862c8b1b,52.4993536993782,-76.6512176854042
827,0,140,827,70,270,2324,15,129,672,53,2016-05-01,862c8b1b,52.4993536993782,-76.6512176854042
1028,0,240,1028,123,270,2041,73,192,990,64,2016-06-01,862c8b1b,52.4993536993782,-76.6512176854042
1078,61,290,1139,103,166,2175,112,221,1352,65,2016-07-01,862c8b1b,52.4993536993782,-76.6512176854042
918,0,410,918,149,270,1686,113,214,1382,63,2016-08-01,862c8b1b,52.4993536993782,-76.6512176854042
500,0,460,500,127,270,1168,64,148,1089,29,2016-09-01,862c8b1b,52.4993536993782,-76.6512176854042
215,0,540,215,131,270,650,1,69,715,14,2016-10-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,610,0,124,270,296,-54,8,518,8,2016-11-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,560,0,52,270,311,-191,-102,233,3,2016-12-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,540,0,55,270,395,-213,-109,217,4,2017-01-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,520,0,37,270,819,-248,-119,190,3,2017-02-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,400,0,16,270,1602,-202,-58,197,8,2017-03-01,862c8b1b,52.4993536993782,-76.6512176854042
0,0,380,0,39,270,1924,-81,35,394,18,2017-04-01,862c8b1b,52.4993536993782,-76.6512176854042
777,0,400,777,71,270,2172,19,120,687,51,2017-05-01,862c8b1b,52.4993536993782,-76.6512176854042
