aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,624,0,41,607,503,-233,-109,212,0,2015-01-01,892515bd,48.9490499301503,-86.9327785161536
0,0,579,0,49,607,1016,-283,-151,123,0,2015-02-01,892515bd,48.9490499301503,-86.9327785161536
0,0,479,0,26,607,1437,-154,-26,312,3,2015-03-01,892515bd,48.9490499301503,-86.9327785161536
23,0,447,108,47,607,1990,-54,58,473,19,2015-04-01,892515bd,48.9490499301503,-86.9327785161536
829,0,525,829,123,607,2110,23,137,802,35,2015-05-01,892515bd,48.9490499301503,-86.9327785161536
895,94,476,990,77,445,2446,69,180,1132,40,2015-06-01,892515bd,48.9490499301503,-86.9327785161536
977,135,454,1112,88,299,2620,106,206,1476,39,2015-07-01,892515bd,48.9490499301503,-86.9327785161536
720,0,403,720,76,302,1728,106,191,1506,24,2015-08-01,892515bd,48.9490499301503,-86.9327785161536
550,0,282,550,70,415,1539,86,182,1390,22,2015-09-01,892515bd,48.9490499301503,-86.9327785161536
241,0,261,245,95,607,809,3,88,753,13,2015-10-01,892515bd,48.9490499301503,-86.9327785161536
2,0,299,10,74,607,425,-35,41,664,0,2015-11-01,892515bd,48.9490499301503,-86.9327785161536
0,0,424,0,109,607,267,-88,-16,486,0,2015-12-01,892515bd,48.9490499301503,-86.9327785161536
0,0,380,0,50,607,447,-190,-82,285,0,2016-01-01,892515bd,48.9490499301503,-86.9327785161536
0,0,380,0,56,607,862,-194,-77,273,2,2016-02-01,892515bd,48.9490499301503,-86.9327785161536
0,0,370,0,48,607,1482,-116,1,431,8,2016-03-01,892515bd,48.9490499301503,-86.9327785161536
19,0,390,19,57,607,2023,-68,40,475,20,2016-04-01,892515bd,48.9490499301503,-86.9327785161536
841,0,380,841,87,607,2334,23,144,785,39,2016-05-01,892515bd,48.9490499301503,-86.9327785161536
908,50,360,958,87,521,2352,73,182,1137,49,2016-06-01,892515bd,48.9490499301503,-86.9327785161536
993,22,400,1015,101,492,2488,107,205,1534,52,2016-07-01,892515bd,48.9490499301503,-86.9327785161536
779,0,450,779,112,607,1886,113,208,1665,41,2016-08-01,892515bd,48.9490499301503,-86.9327785161536
511,0,490,511,129,607,1333,88,170,1348,27,2016-09-01,892515bd,48.9490499301503,-86.9327785161536
270,0,460,270,87,607,716,21,99,863,19,2016-10-01,892515bd,48.9490499301503,-86.9327785161536
57,0,370,57,43,607,473,-22,60,715,5,2016-11-01,892515bd,48.9490499301503,-86.9327785161536
0,0,350,0,64,607,342,-151,-63,333,0,2016-12-01,892515bd,48.9490499301503,-86.9327785161536
0,0,320,0,53,607,429,-166,-68,335,0,2017-01-01,892515bd,48.9490499301503,-86.9327785161536
0,0,350,0,63,607,780,-163,-53,327,2,2017-02-01,892515bd,48.9490499301503,-86.9327785161536
0,0,300,0,36,607,1521,-144,-27,333,6,2017-03-01,892515bd,48.9490499301503,-86.9327785161536
289,0,310,289,70,607,1785,-39,73,579,22,2017-04-01,892515bd,48.9490499301503,-86.9327785161536
702,0,310,702,82,607,2050,18,116,760,35,2017-05-01,892515bd,48.9490499301503,-86.9327785161536
927,26,320,953,93,562,2378,80,185,1171,51,2017-06-01,892515bd,48.9490499301503,-86.9327785161536
963,78,340,1041,89,443,2526,95,201,1424,54,2017-07-01,892515bd,48.9490499301503,-86.9327785161536
724,0,430,724,124,607,1883,84,177,1375,35,2017-08-01,892515bd,48.9490499301503,-86.9327785161536
450,0,390,450,84,607,1299,77,170,1356,20,2017-09-01,892515bd,48.9490499301503,-86.9327785161536
286,0,510,286,159,607,837,22,105,879,21,2017-10-01,892515bd,48.9490499301503,-86.9327785161536
0,0,460,0,50,607,397,-86,-9,473,4,2017-11-01,892515bd,48.9490499301503,-86.9327785161536
0,0,420,0,62,607,397,-194,-93,273,0,2017-12-01,892515bd,48.9490499301503,-86.9327785161536
0,0,400,0,60,607,487,-211,-92,259,2,2018-01-01,892515bd,48.9490499301503,-86.9327785161536
0,0,360,0,42,607,924,-229,-95,219,2,2018-02-01,892515bd,48.9490499301503,-86.9327785161536
0,0,290,0,30,607,1670,-154,-27,283,9,2018-03-01,892515bd,48.9490499301503,-86.9327785161536
0,0,320,0,54,607,2255,-99,21,351,22,2018-04-01,892515bd,48.9490499301503,-86.9327785161536
895,0,270,895,73,607,2432,32,168,885,45,2018-05-01,892515bd,48.9490499301503,-86.9327785161536
1020,6,280,1026,106,597,2558,82,192,1223,60,2018-06-01,892515bd,48.9490499301503,-86.9327785161536
984,82,290,1066,89,460,2362,114,218,1532,53,2018-07-01,892515bd,48.9490499301503,-86.9327785161536
835,0,310,835,105,607,2035,104,208,1613,32,2018-08-01,892515bd,48.9490499301503,-86.9327785161536
447,0,370,447,127,607,1327,71,160,1306,22,2018-09-01,892515bd,48.9490499301503,-86.9327785161536
158,0,490,158,147,607,544,-8,55,709,13,2018-10-01,892515bd,48.9490499301503,-86.9327785161536
0,0,440,0,52,607,366,-98,-34,433,4,2018-11-01,892515bd,48.9490499301503,-86.9327785161536
0,0,430,0,68,607,377,-138,-38,369,1,2018-12-01,892515bd,48.9490499301503,-86.9327785161536
0,0,420,0,63,607,405,-230,-105,184,0,2019-01-01,892515bd,48.9490499301503,-86.9327785161536
0,0,580,0,108,607,708,-204,-77,211,2,2019-02-01,892515bd,48.9490499301503,-86.9327785161536
0,0,540,0,43,607,1366,-135,-14,302,8,2019-03-01,892515bd,48.9490499301503,-86.9327785161536
158,0,520,158,60,607,1816,-50,62,446,24,2019-04-01,892515bd,48.9490499301503,-86.9327785161536
760,0,480,760,76,607,2102,3,119,637,38,2019-05-01,892515bd,48.9490499301503,-86.9327785161536
811,252,330,1063,42,223,2662,67,179,966,56,2019-06-01,892515bd,48.9490499301503,-86.9327785161536
939,136,300,1075,93,163,2528,85,191,1199,47,2019-07-01,892515bd,48.9490499301503,-86.9327785161536
771,1,250,772,81,162,1948,79,183,1327,26,2019-08-01,892515bd,48.9490499301503,-86.9327785161536
422,0,250,422,131,607,1251,60,151,1212,12,2019-09-01,892515bd,48.9490499301503,-86.9327785161536
307,0,260,307,97,607,813,2,84,710,15,2019-10-01,892515bd,48.9490499301503,-86.9327785161536
0,0,240,0,54,607,458,-95,-20,383,3,2019-11-01,892515bd,48.9490499301503,-86.9327785161536
0,0,260,0,73,607,332,-154,-50,296,1,2019-12-01,892515bd,48.9490499301503,-86.9327785161536
